代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="300262"	巴安水务	6.55	21.95	1.35	21.94	21.95	291084	2487	0.41	         18.51	20.57	22.66	20.57	20.60	    70.01	645710528	  5.01	环境保护	上海	10.15	22.18	161389	129695	  1.24	20	2210	--  	      15727.58	
="600723"	首商股份	5.23	8.86	0.44	8.85	8.86	263340	5	0.45	          4.01	8.50	9.05	8.41	8.42	    20.91	230395168	  2.22	百货	北京	7.60	8.75	111732	151607	  0.74	5	527	--  	      65722.45	
="600804"	鹏博士	4.75	23.36	1.06	23.35	23.38	528491	77	0.08	          3.94	22.34	23.88	22.11	22.30	    57.75	1229731456	  1.14	电信运营	四川	7.94	23.27	245548	282942	  0.87	25	25	--  	     134194.16	
="600326"	西藏天路	4.60	8.86	0.39	8.86	8.87	288045	12	-0.11	          5.26	8.71	9.18	8.70	8.47	    71.28	257248080	  2.41	建筑施工	西藏	5.67	8.93	130337	157707	  0.83	5	573	--  	      54720.00	
="600201"	金宇集团	2.78	46.15	1.25	46.12	46.15	29652	1	-0.06	          1.06	45.64	47.30	45.64	44.90	    31.95	136928128	  1.33	生物制药	内蒙	3.70	46.18	17203	12448	  1.38	4	339	--  	      28081.49	
="000669"	金鸿能源	2.16	28.38	0.60	28.25	28.38	14215	365	0.63	          0.62	27.70	28.48	27.51	27.78	    43.99	40143712	  0.75	供气供热	吉林	3.49	28.24	5293	8921	  0.59	4	280	--  	      22855.91	
="000061"	农 产 品	2.09	12.70	0.26	12.70	12.71	242082	3776	0.39	          1.51	12.45	12.83	12.45	12.44	   270.01	307348256	  1.24	农业综合	深圳	3.05	12.70	101382	140699	  0.72	2394	2022	--  	     160569.73	
="000713"	丰乐种业	1.88	11.41	0.21	11.41	11.42	132762	3981	-0.08	          4.44	11.35	11.55	11.05	11.20	--  	150424960	  0.95	种植业	安徽	4.46	11.33	63489	69272	  0.92	437	435	--  	      29887.35	
="000758"	中色股份	1.79	15.37	0.27	15.36	15.37	609156	6346	-0.25	          6.76	15.38	16.14	15.36	15.10	   161.21	957649664	  1.69	铅锌	北京	5.17	15.72	293952	315204	  0.93	2233	2729	--  	      90156.15	
="000521"	美菱电器	1.71	6.53	0.11	6.52	6.53	241407	2186	0.00	          4.08	6.42	6.66	6.42	6.42	    15.64	158667904	  2.07	家用电器	安徽	3.74	6.57	121767	119639	  1.02	607	84	--  	      59107.98	
="601801"	皖新传媒	1.48	19.23	0.28	19.23	19.24	78318	50	0.10	          0.86	19.01	19.86	19.01	18.95	    22.95	152203856	  0.72	出版业	安徽	4.49	19.43	36277	42041	  0.86	196	1	--  	      91000.00	
="000550"	江铃汽车	1.21	38.36	0.46	38.36	38.38	20451	557	0.18	          0.40	37.78	38.43	37.51	37.90	    16.22	77692736	  1.09	汽车整车	江西	2.43	37.99	10166	10284	  0.99	12	28	--  	      51742.80	
="000999"	华润三九	1.05	24.12	0.25	24.11	24.12	76221	449	0.00	          0.78	23.89	24.41	23.55	23.87	    22.45	183223424	  0.76	中成药	深圳	3.60	24.04	35505	40716	  0.87	1	189	--  	      97774.22	
="002311"	海大集团	1.01	13.95	0.14	13.95	13.96	52404	386	0.00	          0.49	13.94	14.04	13.69	13.81	    20.75	72754496	  0.64	饲料	广东	2.53	13.88	30179	22225	  1.36	2361	1023	--  	     106940.92	
="300015"	爱尔眼科	0.91	32.25	0.29	32.25	32.26	64550	691	-0.27	          1.23	32.11	33.05	31.83	31.96	    62.00	210239008	  1.25	医疗保健	湖南	3.82	32.57	28040	36510	  0.77	6	4	--  	      52327.30	
