代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="600695"	大江股份	10.04	8.00	0.73	8.00	--  	160193	15	0.00	          4.86	7.20	8.00	7.15	7.27	--  	122163144	  2.38	食品	上海	11.69	7.63	77596	82596	  0.94	33639	0	--  	      32957.28	
="600241"	时代万恒	10.02	9.11	0.83	9.11	--  	1079	9	0.00	          0.06	9.11	9.11	9.11	8.28	--  	982814	  0.03	商贸代理	辽宁	0.00	9.11	1058	20	 52.90	76902	0	--  	      18020.00	
="002323"	中联电气	10.02	24.15	2.20	24.15	--  	1708	7	0.00	          0.20	24.15	24.15	24.15	21.95	   144.04	4124385	  0.09	电气设备	江苏	0.00	24.15	1344	363	  3.70	44989	0	--  	       8350.16	
="600547"	山东黄金	8.21	27.03	2.05	27.04	27.05	768776	32	0.07	          5.40	26.05	27.20	25.63	24.98	    48.78	2020495616	  1.37	黄金	山东	6.29	26.28	365687	403088	  0.91	50	1	--  	     142307.23	
="000501"	鄂武商Ａ	7.97	16.94	1.25	16.94	16.95	143413	1465	-0.35	          2.83	15.74	17.05	15.74	15.69	    13.30	234568976	  1.18	百货	湖北	8.35	16.36	62392	81020	  0.77	263	901	--  	      50718.42	
="601857"	中国石油	7.27	12.69	0.86	12.69	12.70	3513150	1188	0.23	          0.22	11.76	12.90	11.65	11.83	    18.14	4311178752	  1.32	石油开采	北京	10.57	12.27	1687337	1825812	  0.92	78	2594	--  	   16192208.00	
="600268"	国电南自	7.06	8.34	0.55	8.34	8.35	490571	5	0.12	          7.72	7.83	8.56	7.69	7.79	--  	396324672	  2.94	电气设备	江苏	11.17	8.08	230646	259924	  0.89	28	1714	--  	      63524.64	
="600826"	兰生股份	6.79	22.18	1.41	22.16	22.19	145477	1	0.09	          3.46	20.80	22.55	20.79	20.77	   136.74	317111936	  3.70	商贸代理	上海	8.47	21.80	60457	85020	  0.71	24	33	--  	      42064.23	
="600015"	华夏银行	6.23	12.96	0.76	12.94	12.95	2016475	454	0.62	          3.11	12.28	12.98	12.10	12.20	     6.57	2527002624	  1.17	银行	北京	7.21	12.53	918651	1097824	  0.84	2021	80	--  	     648768.69	
="601398"	工商银行	6.03	4.92	0.28	4.93	4.94	7928434	4043	0.20	          0.30	4.68	4.98	4.64	4.64	     5.92	3797531392	  1.10	银行	北京	7.33	4.79	3576235	4352198	  0.82	7107	34180	--  	   26670016.00	
="600511"	国药股份	5.00	33.17	1.58	33.18	33.19	119970	152	0.24	          4.32	31.65	33.46	31.65	31.59	    31.78	394211328	  1.94	医药商业	北京	5.73	32.86	56680	63289	  0.90	73	14	--  	      27764.33	
="600094"	大名城	4.92	9.81	0.46	9.81	9.82	107579	300	0.30	          0.82	9.30	9.82	9.26	9.35	   268.51	103141160	  1.23	区域地产	上海	5.99	9.59	43593	63986	  0.68	36	198	--  	     131283.69	
="000899"	赣能股份	4.84	7.37	0.34	7.37	7.38	171335	1326	0.00	          3.09	7.05	7.50	7.05	7.03	    12.69	125640392	  1.25	火力发电	江西	6.40	7.33	65696	105639	  0.62	227	890	--  	      55518.16	
="000537"	广宇发展	4.80	8.51	0.39	8.50	8.51	213713	1268	0.11	          4.17	8.10	8.55	8.00	8.12	    13.31	178416608	  1.41	区域地产	天津	6.77	8.35	90820	122892	  0.74	2562	2208	--  	      51271.33	
="002385"	大北农	4.74	15.92	0.72	15.92	15.93	804052	3652	0.06	          8.54	15.60	16.29	15.60	15.20	    44.63	1286435840	  3.41	饲料	北京	4.54	16.00	352382	451670	  0.78	2156	318	--  	      94184.88	
="002672"	东江环保	4.66	37.47	1.67	37.47	37.48	29195	198	0.05	          2.31	36.15	38.32	36.15	35.80	    49.70	109425536	  1.67	环境保护	广东	6.06	37.48	12015	17179	  0.70	53	1	--  	      12657.33	
="002271"	东方雨虹	4.65	38.69	1.72	38.69	38.70	44263	415	0.05	          2.03	37.07	39.58	36.97	36.97	    28.17	171296640	  1.26	其他建材	北京	7.06	38.70	20117	24145	  0.83	75	246	--  	      21825.31	
