代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="603678"	N火炬	44.03	14.95	4.57	14.95	--  	465	5	0.00	          0.11	14.95	14.95	14.95	10.38	    17.85	695175	0.00	元器件	福建	0.00	14.95	465	0	--  	221466	0	--  	       4160.00	
="603686"	N龙马	44.01	21.40	6.54	21.40	--  	315	10	0.00	          0.09	17.83	21.40	17.83	14.86	    20.74	669195	0.00	环境保护	福建	24.02	21.26	308	6	 51.33	89882	0	--  	       3335.00	
="000166"	申万宏源	32.06	19.65	4.77	19.64	19.65	12259278	205520	-0.25	         37.67	17.77	21.10	16.37	14.88	    94.03	23755591680	0.00	证券	新疆	31.79	19.38	3988624	8270654	  0.48	2023	5773	--  	     325468.03	
="601069"	西部黄金	10.09	6.22	0.57	6.22	--  	270	5	0.00	          0.02	6.22	6.22	6.22	5.65	    61.80	167940	  0.38	黄金	新疆	0.00	6.22	243	27	  9.00	924872	0	--  	      12600.00	
="600491"	龙元建设	10.06	7.11	0.65	7.10	7.11	761731	85	0.00	          8.04	6.55	7.11	6.53	6.46	    32.31	529855072	  2.32	建筑施工	浙江	8.98	6.96	320770	440961	  0.73	995	10065	--  	      94760.00	
="600603"	大洲兴业	10.06	8.97	0.82	8.97	--  	30566	4	0.00	          1.57	8.70	8.97	8.67	8.15	--  	27079488	  1.72	综合类	福建	3.68	8.86	17216	13349	  1.29	24290	0	--  	      19464.18	
="002647"	宏磊股份	10.05	10.18	0.93	10.18	--  	1464	6	0.00	          0.19	10.18	10.18	10.18	9.25	--  	1489884	  0.12	电气设备	浙江	0.00	10.18	1381	82	 16.84	40165	0	--  	       7694.79	
="600177"	雅戈尔	10.04	12.71	1.16	12.71	--  	1361843	100	0.00	          6.12	11.60	12.71	11.55	11.55	    10.82	1675148160	  2.80	服饰	浙江	10.04	12.30	554288	807555	  0.69	75872	0	--  	     222661.17	
="000627"	天茂集团	10.04	8.00	0.73	8.00	--  	42860	430	0.00	          0.32	8.00	8.00	8.00	7.27	    55.35	34287992	  1.16	化工原料	湖北	0.00	8.00	38055	4804	  7.92	1245755	0	--  	     135358.98	
="601519"	大智慧	10.03	7.24	0.66	7.24	--  	5689	6	0.00	          0.03	7.24	7.24	7.24	6.58	   123.91	4119176	  0.05	软件服务	上海	0.00	7.24	5309	380	 13.97	3339922	0	--  	     198770.00	
="300364"	中文在线	10.03	13.06	1.19	13.06	--  	71	5	0.00	          0.02	13.06	13.06	13.06	11.87	    34.37	92726	0.00	出版业	北京	0.00	13.06	63	8	  7.88	107552	0	--  	       3000.00	
="300005"	探路者	10.02	23.05	2.10	23.05	--  	349088	1827	0.00	         10.83	20.93	23.05	20.80	20.95	    49.46	774090560	  1.10	服饰	北京	10.74	22.17	155752	193336	  0.81	45866	0	--  	      32222.78	
