代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本	
="000159"	国际实业	10.01	10.22	0.93	10.22	--  	296687	4245	          0.00	          6.17	9.19	10.22	9.10	9.29	    56.85	285881664	  1.35	石油贸易	新疆	12.06	9.64	174774	121913	  1.43	42672	0	--  	      48113.92	
="002547"	春兴精工	8.58	17.85	1.41	17.85	17.86	174767	1335	         -0.05	         12.15	16.51	18.05	16.51	16.44	    49.67	304596032	  2.16	通信设备	江苏	 9.37	17.43	65106	109661	  0.59	842	128	--  	      14378.58	
="600875"	东方电气	7.98	16.50	1.22	16.49	16.50	763299	68	          0.24	          4.59	15.33	16.79	15.33	15.28	    22.76	1221785216	  2.20	电气设备	四川	 9.55	16.01	326428	436871	  0.75	90	52	--  	     166386.00	
="000507"	珠海港	7.69	7.00	0.50	6.99	7.00	1090428	8324	          0.28	         14.12	6.64	7.15	6.61	6.50	--  	757029376	  1.35	港口	广东	 8.31	6.94	481314	609114	  0.79	6413	5159	--  	      77214.38	
="000088"	盐 田 港	7.20	8.04	0.54	8.04	8.05	826951	13067	          0.49	          4.26	7.71	8.22	7.71	7.50	    33.94	656338752	  1.10	港口	深圳	 6.80	7.94	359383	467568	  0.77	1320	2939	--  	     194212.78	
="600650"	锦江投资	6.83	13.60	0.87	13.58	13.60	106084	80	          0.66	          2.72	12.79	13.66	12.71	12.73	    33.41	141369312	  0.85	公共交通	上海	 7.46	13.33	45880	60204	  0.76	66	175	--  	      39056.01	
="300019"	硅宝科技	6.78	18.28	1.16	18.27	18.28	47376	656	         -0.10	          4.41	17.12	18.55	17.11	17.12	    37.90	85179400	  4.11	化工原料	四川	 8.41	17.98	12199	35177	  0.35	11	203	--  	      10745.41	
="002202"	金风科技	6.08	12.56	0.72	12.56	12.57	568509	15016	          0.31	          2.66	11.81	12.56	11.80	11.84	    21.24	695285440	  1.47	电气设备	新疆	 6.42	12.23	218217	350292	  0.62	6275	1579	--  	     213853.45	
="600162"	香江控股	5.44	6.40	0.33	6.38	6.39	945109	234	         -0.15	         12.31	6.68	6.68	6.02	6.07	    14.99	593836032	  5.13	全国地产	深圳	10.87	6.28	511248	433861	  1.18	1142	400	--  	      76781.27	
="002177"	御银股份	5.35	7.48	0.38	7.47	7.48	639570	5821	          0.00	         11.77	7.11	7.65	7.11	7.10	    35.87	474860576	  1.67	电脑设备	广东	 7.61	7.42	271524	368046	  0.74	2175	996	--  	      54339.60	
="002253"	川大智胜	5.34	35.50	1.80	35.50	35.51	51667	1984	          0.68	          4.11	33.90	35.75	33.88	33.70	   201.45	180644624	  1.53	软件服务	四川	 5.55	34.96	19285	32382	  0.60	1136	52	--  	      12585.73	
="000545"	金浦钛业	5.21	14.54	0.72	14.53	14.54	140109	513	         -0.20	          8.96	13.96	14.65	13.82	13.82	    97.68	199833184	  1.95	化工原料	吉林	 6.01	14.26	50457	89652	  0.56	93	275	--  	      15637.36	
="300346"	南大光电	4.55	41.60	1.81	41.57	41.60	38413	462	          0.14	         10.72	39.80	41.60	39.30	39.79	    87.95	155743808	  1.88	半导体	江苏	 5.78	40.54	16530	21883	  0.76	6	68	--  	       3584.05	
="002695"	煌上煌	4.44	34.31	1.46	34.30	34.31	29832	237	         -0.05	          6.95	32.90	34.37	32.81	32.85	    38.39	101076824	  1.86	食品	江西	 4.75	33.88	11047	18785	  0.59	123	20	--  	       4293.64	
="002588"	史丹利	4.40	32.54	1.37	32.53	32.54	29196	250	          0.06	          1.77	31.27	32.58	31.20	31.17	    16.87	92838480	  1.35	农药化肥	山东	 4.43	31.80	11537	17659	  0.65	146	112	--  	      16462.27	
="600728"	佳都科技	4.32	16.19	0.67	16.17	16.18	116752	176	         -0.12	          3.22	15.55	16.27	15.40	15.52	   520.85	184934224	  1.13	软件服务	广东	 5.61	15.84	43698	73054	  0.60	169	24	--  	      36280.03	
="300259"	新天科技	4.30	16.48	0.68	16.47	16.48	55509	325	          0.48	          3.90	15.66	16.65	15.60	15.80	    48.70	90257600	  1.93	电器仪表	河南	 6.65	16.26	24782	30727	  0.81	1	53	--  	      14223.29	
="600419"	天润乳业	4.26	22.76	0.93	22.74	22.75	15304	5	         -0.04	          1.91	21.70	22.84	21.70	21.83	   107.06	34261656	  1.36	乳制品	新疆	 5.22	22.39	5613	9691	  0.58	267	5	--  	       8016.00	
="300118"	东方日升	4.12	10.61	0.42	10.60	10.61	131713	5010	          0.18	          3.47	10.13	10.65	10.13	10.19	   156.60	136587456	  0.79	半导体	浙江	 5.10	10.37	62019	69694	  0.89	1006	379	--  	      37982.94	
="601313"	江南嘉捷	4.05	11.57	0.45	11.56	11.57	62332	1	          0.60	          2.32	11.16	11.67	11.12	11.12	    21.31	71125920	  0.85	运输设备	江苏	 4.95	11.41	26464	35868	  0.74	5	134	--  	      26852.53	
="002161"	远 望 谷	3.95	8.95	0.34	8.94	8.95	352187	6899	          0.11	          5.07	8.61	8.98	8.60	8.61	   472.55	310561664	  1.40	通信设备	深圳	 4.41	8.82	140155	212032	  0.66	801	248	--  	      69472.39	
="002350"	北京科锐	3.88	14.44	0.54	14.43	14.44	52050	217	          0.34	          2.39	13.90	14.58	13.90	13.90	    56.95	74493392	  1.54	电气设备	北京	 4.89	14.31	19729	32321	  0.61	9	159	--  	      21821.63	
="600565"	迪马股份	3.85	4.85	0.18	4.84	4.85	408789	110	          0.00	          5.68	4.69	4.95	4.64	4.67	    54.37	197039536	  3.10	全国地产	重庆	 6.64	4.82	145576	263213	  0.55	776	2474	--  	      72000.00	
="600622"	嘉宝集团	3.79	7.95	0.29	7.94	7.95	249353	70	          0.12	          4.85	7.65	7.96	7.61	7.66	    10.63	195312800	  2.01	综合类	上海	 4.57	7.83	110552	138801	  0.80	586	2696	--  	      51430.37	
="300193"	佳士科技	3.72	17.55	0.63	17.54	17.55	60153	1247	          0.22	          3.96	16.91	17.55	16.90	16.92	    49.00	103580624	  1.33	专用机械	深圳	 3.84	17.22	32979	27174	  1.21	151	559	--  	      15209.28	
="002615"	哈尔斯	3.61	31.60	1.10	31.58	31.60	23391	304	          0.19	          4.58	30.40	31.76	30.30	30.50	    38.14	72810040	  1.03	家居用品	浙江	 4.79	31.13	9971	13420	  0.74	136	149	--  	       5106.25	
="001896"	豫能控股	3.48	9.22	0.31	9.22	9.23	55128	1286	          0.21	          1.28	8.81	9.23	8.67	8.91	    14.18	49192416	  0.90	火力发电	河南	 6.29	8.92	26403	28725	  0.92	9	192	--  	      42999.25	
="000650"	仁和药业	3.45	7.50	0.25	7.50	7.51	177692	3398	         -0.13	          1.79	7.24	7.52	7.20	7.25	    27.84	130759096	  1.13	中成药	江西	 4.41	7.36	68659	109033	  0.63	212	1432	--  	      99040.99	
="300055"	万邦达	3.38	37.98	1.24	37.96	37.98	35664	157	          0.13	          2.08	36.55	38.16	36.55	36.74	    62.69	134720480	  1.62	环境保护	北京	 4.38	37.77	14438	21226	  0.68	3	13	--  	      17184.46	
="000877"	天山股份	3.34	8.04	0.26	8.04	8.05	544695	9872	          0.12	          6.19	7.70	8.08	7.51	7.78	    17.28	421958944	  0.77	水泥	新疆	 7.33	7.75	264793	279902	  0.95	1679	6641	--  	      88001.99	
="600138"	中青旅	3.31	16.86	0.54	16.85	16.86	219637	38	         -0.05	          3.53	16.35	17.01	16.27	16.32	    30.40	365424416	  1.41	旅游服务	北京	 4.53	16.64	96447	123190	  0.78	81	27	--  	      62302.50	
="000605"	渤海股份	3.27	18.01	0.57	18.01	18.02	32726	570	         -0.22	          3.70	17.44	18.20	17.38	17.44	    89.55	58774656	  2.20	水务	北京	 4.70	17.96	11140	21586	  0.52	269	3	--  	       8842.98	
="002691"	石中装备	3.24	15.62	0.49	15.62	15.63	53871	1320	          0.12	          8.17	15.14	15.64	14.96	15.13	    90.32	82809584	  1.64	专用机械	河北	 4.49	15.37	22524	31347	  0.72	87	808	--  	       6596.93	
="300302"	同有科技	3.20	25.80	0.80	25.80	25.81	16040	410	          0.00	          3.90	25.10	25.81	25.10	25.00	   235.50	41025792	  1.24	软件服务	北京	 2.84	25.58	6825	9215	  0.74	163	66	--  	       4113.33	
="600293"	三峡新材	3.16	7.50	0.23	7.50	7.51	95138	10	          1.07	          2.76	7.26	7.52	7.16	7.27	   229.68	69727216	  0.99	玻璃	湖北	 4.95	7.33	36921	58217	  0.63	58	704	--  	      34450.26	
="300270"	中威电子	3.09	23.01	0.69	23.01	23.03	14148	485	          0.13	          2.23	22.38	23.01	22.30	22.32	    89.35	32131148	  0.75	通信设备	浙江	 3.18	22.71	5493	8655	  0.63	22	50	--  	       6343.12	
="002700"	新疆浩源	3.01	23.65	0.69	23.65	23.66	36733	1260	          0.04	          3.84	22.98	23.75	22.75	22.96	    53.19	85359016	  0.66	供气供热	新疆	 4.36	23.24	16611	20122	  0.83	109	305	--  	       9564.16	
="002007"	华兰生物	2.99	34.81	1.01	34.81	34.83	127944	815	          0.05	          2.22	33.68	35.20	33.68	33.80	    35.91	443747968	  0.68	生物制药	河南	 4.50	34.68	55903	72041	  0.78	131	31	--  	      57686.69	
="002622"	永大集团	2.97	18.38	0.53	18.37	18.38	22960	188	          0.05	          2.38	17.99	18.48	17.92	17.85	    79.15	41714804	  1.28	电气设备	吉林	 3.14	18.17	9355	13605	  0.69	54	254	--  	       9653.75	
="300306"	远方光电	2.94	32.21	0.92	32.21	32.22	7975	50	         -0.06	          2.15	31.65	32.41	31.06	31.29	    47.56	25304376	  0.92	电器仪表	浙江	 4.31	31.73	3285	4690	  0.70	38	21	--  	       3707.95	
="300138"	晨光生物	2.92	12.70	0.36	12.70	12.71	63718	634	         -0.15	          5.05	12.30	12.76	12.22	12.34	   133.59	79851120	  1.17	食品	河北	 4.38	12.53	30071	33647	  0.89	20	102	--  	      12608.41	
="600120"	浙江东方	2.88	17.87	0.50	17.87	17.88	380500	37	          0.11	          7.53	17.51	18.41	17.29	17.37	    16.69	682057472	  1.00	商贸代理	浙江	 6.45	17.93	170965	209535	  0.82	17	118	--  	      50547.33	
="000981"	银亿股份	2.75	11.97	0.32	11.97	11.98	26172	426	          0.16	          0.30	11.66	12.10	11.66	11.65	    21.93	31188334	  0.69	区域地产	甘肃	 3.78	11.92	13294	12878	  1.03	73	95	--  	      85810.52	
="002479"	富春环保	2.72	10.20	0.27	10.20	10.21	140081	1077	          0.09	          1.92	9.93	10.25	9.80	9.93	    41.26	140999568	  1.08	火力发电	浙江	 4.53	10.07	61393	78688	  0.78	628	3445	--  	      73141.99	
="002680"	黄海机械	2.61	34.99	0.89	34.98	34.99	8224	32	          0.02	          3.43	34.29	35.08	34.01	34.10	   151.72	28583958	  1.07	工程机械	江苏	 3.14	34.75	3166	5058	  0.63	172	50	--  	       2399.22	
="300042"	朗科科技	2.60	17.74	0.45	17.73	17.74	23417	173	          0.11	          3.20	17.35	17.85	17.30	17.29	    86.52	41178176	  0.91	电脑设备	深圳	 3.18	17.58	9576	13841	  0.69	176	107	--  	       7327.91	
="000936"	华西股份	2.60	5.52	0.14	5.51	5.52	188036	1392	          0.18	          2.51	5.38	5.59	5.34	5.38	   105.14	103497864	  1.01	化纤	江苏	 4.65	5.50	77542	110494	  0.70	3629	1404	--  	      74768.59	
="002496"	辉丰股份	2.60	18.15	0.46	18.14	18.15	37129	748	          0.27	          2.01	17.70	18.17	17.41	17.69	    27.71	66082108	  0.73	农药化肥	江苏	 4.30	17.80	17502	19627	  0.89	50	107	--  	      18456.77	
="002215"	诺 普 信	2.54	10.09	0.25	10.08	10.09	58957	756	          0.09	          1.14	9.85	10.09	9.73	9.84	    29.91	58269072	  0.80	农药化肥	深圳	 3.66	9.88	24040	34917	  0.69	5333	719	--  	      51575.60	
="000972"	新中基	2.54	5.25	0.13	5.24	5.25	187596	2007	          0.00	          2.43	5.14	5.37	5.14	5.12	--  	98450920	  1.84	食品	新疆	 4.49	5.25	92107	95489	  0.96	1707	954	--  	      77128.35	
