代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="600029"	南方航空	10.11	4.14	0.38	4.14	--  	3558599	100	          0.00	          5.07	4.07	4.14	4.02	3.76	    24.27	1465782528	  3.30	空运	广东	 3.19	
="601998"	中信银行	10.09	6.11	0.56	6.11	--  	4184033	5	          0.00	          1.31	5.59	6.11	5.59	5.55	     6.64	2494598144	  2.49	银行	北京	 9.37	
="002142"	宁波银行	10.02	13.61	1.24	13.61	--  	1272519	14669	          0.00	          4.43	12.30	13.61	12.15	12.37	     7.24	1653096832	  1.71	银行	浙江	11.80	
="600221"	海南航空	10.00	2.86	0.26	2.86	--  	12116616	1165	          0.00	         10.26	2.78	2.86	2.75	2.60	    13.84	3424391936	  3.85	空运	海南	 4.23	
="002315"	焦点科技	10.00	65.35	5.94	65.35	--  	55701	66	          0.00	          9.25	59.58	65.35	59.55	59.41	    61.40	352728832	  1.42	互联网	江苏	 9.76	
="000001"	平安银行	9.99	12.44	1.13	12.44	--  	4844839	28586	          0.00	          4.93	11.27	12.44	11.18	11.31	     6.79	5793392128	  2.62	银行	深圳	11.14	
="601111"	中国国航	9.98	5.62	0.51	5.62	--  	2249296	25	          0.00	          2.70	5.51	5.62	5.46	5.11	    17.47	1257968768	  2.99	空运	北京	 3.13	
="000750"	国海证券	9.98	14.88	1.35	14.88	--  	2696885	20941	          0.00	         13.36	14.00	14.88	13.85	13.53	    55.40	3910288384	  1.81	证券	广西	 7.61	
="000024"	招商地产	9.97	16.98	1.54	16.98	--  	1148813	875	          0.00	         11.19	15.41	16.98	15.10	15.44	    14.64	1852818048	  1.17	全国地产	深圳	12.18	
="600016"	民生银行	8.59	7.33	0.58	7.33	7.34	12591342	15866	          0.13	          4.65	6.78	7.35	6.76	6.75	     5.09	8921138176	  2.78	银行	北京	 8.74	
="601988"	中国银行	8.12	3.33	0.25	3.33	3.34	9825207	9405	          0.60	          0.50	3.08	3.33	3.07	3.08	     6.08	3172178944	  2.92	银行	北京	 8.44	
="600000"	浦发银行	8.01	12.40	0.92	12.40	12.42	8321832	3081	         -0.32	          5.58	11.53	12.48	11.48	11.48	     4.99	9950390272	  2.23	银行	上海	 8.71	
="600082"	海泰发展	7.52	7.15	0.50	7.15	7.16	505955	892	          0.00	          8.03	6.65	7.27	6.61	6.65	    63.24	353217568	  2.41	园区开发	天津	 9.92	
="000089"	深圳机场	6.39	5.66	0.34	5.65	5.66	388197	2256	          0.17	          2.29	5.37	5.85	5.37	5.32	    37.43	219837616	  2.28	机场	深圳	 9.02	
