代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	
="600792"	云煤能源	10.06	6.89	0.63	6.89	--  	5713	1	0.00	          0.06	6.89	6.89	6.89	6.26	   955.41	3936030	  0.09	焦炭加工	
="600016"	民生银行	10.01	7.91	0.72	7.91	--  	14449643	40	0.00	          5.33	7.45	7.91	7.33	7.19	     5.49	11050961920	  1.92	银行	
="000001"	平安银行	7.63	13.12	0.93	13.11	13.12	3490412	23972	0.00	          3.55	12.14	13.40	12.08	12.19	     7.16	4436545024	  1.15	银行	
="000750"	国海证券	7.20	15.64	1.05	15.63	15.64	2182826	22035	0.32	         10.82	14.33	15.99	14.33	14.59	    58.22	3305372928	  1.17	证券	
="601318"	中国平安	6.98	54.29	3.54	54.30	54.33	2129764	116	-0.14	          4.45	50.50	55.38	50.36	50.75	    10.17	11223116800	  1.25	保险	
="601998"	中信银行	6.04	6.67	0.38	6.68	6.69	3722886	92	-0.89	          1.17	6.19	6.89	6.15	6.29	     7.25	2411000320	  1.31	银行	
="601939"	建设银行	5.85	5.07	0.28	5.08	5.09	4227102	2799	0.19	          4.41	4.73	5.18	4.70	4.79	     5.00	2077574784	  1.38	银行	
="600000"	浦发银行	5.84	12.87	0.71	12.87	12.88	5893711	10353	0.00	          3.95	12.03	13.08	12.03	12.16	     5.17	7404591104	  1.12	银行	
="000563"	陕国投Ａ	5.77	11.36	0.62	11.36	11.37	824646	11444	0.00	         10.96	10.56	11.55	10.53	10.74	    42.38	916017728	  1.03	多元金融	
="601166"	兴业银行	5.62	12.59	0.67	12.60	12.61	6682871	1253	-0.23	          4.13	11.82	12.90	11.75	11.92	     4.70	8204710912	  1.32	银行	
="002142"	宁波银行	5.53	13.94	0.73	13.94	13.95	1076895	6190	0.21	          3.75	13.12	14.28	13.01	13.21	     7.41	1473200640	  1.06	银行	
="601988"	中国银行	5.33	3.56	0.18	3.55	3.56	17256650	1597	0.28	          0.88	3.28	3.64	3.25	3.38	     6.50	5855948288	  2.82	银行	
="600802"	福建水泥	5.26	8.61	0.43	8.60	8.61	227917	120	0.81	          5.97	8.23	8.62	8.23	8.18	--  	192942928	  1.76	水泥	
="601601"	中国太保	5.07	24.89	1.20	24.90	24.91	1018604	51	0.12	          1.62	23.42	25.68	23.33	23.69	    18.88	2495870976	  1.09	保险	
="002220"	天宝股份	5.01	9.43	0.45	9.43	9.44	140091	793	-0.10	          3.60	8.97	9.71	8.97	8.98	    25.45	131773184	  1.30	食品	
