代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="300002"	神州泰岳	3.52	19.11	0.65	19.10	19.11	652557	4621	0.05	          8.99	18.46	19.92	18.30	18.46	    51.90	1260154624	  1.82	软件服务	北京	8.78	19.31	284448	368109	  0.77	3223	93	--  	      72615.95	
="002415"	海康威视	2.49	26.38	0.64	26.37	26.38	348528	1455	0.80	          1.11	25.61	27.13	25.55	25.74	    29.71	932432256	  1.16	电器仪表	浙江	6.14	26.75	146408	202119	  0.72	27	8	--  	     315046.75	
="002372"	伟星新材	2.25	16.80	0.37	16.79	16.80	55580	404	0.00	          1.44	16.26	17.22	16.22	16.43	    19.69	93852664	  1.20	其他建材	浙江	6.09	16.89	17836	37743	  0.47	81	213	--  	      38494.82	
="600873"	梅花生物	2.17	7.99	0.17	8.00	8.01	1249462	218	0.37	          4.02	7.90	8.45	7.75	7.82	    68.67	1013627904	  1.76	食品	西藏	8.95	8.11	596393	653068	  0.91	257	742	--  	     310822.66	
="002028"	思源电气	2.13	13.40	0.28	13.39	13.40	219997	6457	-0.37	          4.72	13.13	13.54	13.07	13.12	    19.18	293270272	  1.37	电气设备	上海	3.58	13.33	96948	123048	  0.79	1259	1277	--  	      46646.76	
="000759"	中百集团	2.10	9.22	0.19	9.21	9.22	73531	782	-0.21	          1.08	9.02	9.34	8.99	9.03	    48.20	67598256	  1.02	超市连锁	湖北	3.88	9.19	32374	41156	  0.79	477	1427	--  	      68057.63	
="000401"	冀东水泥	2.10	12.66	0.26	12.65	12.66	426884	4057	0.00	          3.52	12.53	13.00	12.45	12.40	   616.88	545741696	  1.71	水泥	河北	4.44	12.78	188741	238143	  0.79	4109	64	--  	     121233.36	
="000978"	桂林旅游	1.90	9.63	0.18	9.62	9.63	108340	1125	-0.10	          3.01	9.53	9.85	9.50	9.45	--  	105021808	  1.91	旅游景点	广西	3.70	9.69	54340	54000	  1.01	572	128	--  	      36010.00	
="600583"	海油工程	1.66	10.44	0.17	10.44	10.45	1899064	27	0.00	          4.69	10.55	10.97	10.38	10.27	    13.35	2015839488	  1.20	石油开采	天津	5.74	10.61	907947	991117	  0.92	769	188	--  	     404901.41	
="600015"	华夏银行	1.50	12.84	0.19	12.83	12.84	2301776	541	0.15	          3.55	12.63	13.58	12.52	12.65	     6.51	3010164736	  1.22	银行	北京	8.38	13.08	1103654	1198122	  0.92	1261	463	--  	     648768.69	
="600779"	水井坊	1.43	10.64	0.15	10.65	10.66	373484	890	0.00	         12.65	10.40	10.89	10.30	10.49	--  	399517984	  1.97	白酒	四川	5.62	10.70	165500	207983	  0.80	45	491	--  	      29532.34	
="000729"	燕京啤酒	1.34	8.32	0.11	8.32	8.33	355062	3359	-0.23	          1.42	8.21	8.65	8.17	8.21	    19.14	301071840	  1.37	啤酒	北京	5.85	8.48	138167	216894	  0.64	1187	257	--  	     250045.17	
="600697"	欧亚集团	1.27	25.54	0.32	25.54	25.55	22242	4	0.15	          1.43	25.23	25.86	25.23	25.22	    16.46	56845280	  0.59	百货	吉林	2.50	25.56	13342	8900	  1.50	10	53	--  	      15515.59	
="002032"	苏 泊 尔	1.25	17.89	0.22	17.89	17.90	26354	421	0.05	          0.78	17.60	17.97	17.58	17.67	    16.73	47123808	  1.31	家用电器	浙江	2.21	17.88	11524	14830	  0.78	192	229	--  	      33956.62	
="600066"	宇通客车	1.20	24.51	0.29	24.48	24.50	209408	759	0.28	          1.68	24.24	24.88	23.81	24.22	    24.09	511534176	  0.78	汽车整车	河南	4.42	24.43	113403	96004	  1.18	10	428	--  	     124421.64	
="600511"	国药股份	1.06	33.32	0.35	33.31	33.32	68605	1	0.00	          2.47	33.08	35.18	33.08	32.97	    31.92	233845072	  1.46	医药商业	北京	6.37	34.09	34267	34338	  1.00	104	748	--  	      27764.33	
="601398"	工商银行	1.04	4.88	0.05	4.89	4.90	9915904	679	0.82	          0.37	4.82	5.15	4.74	4.83	     5.87	4905936896	  0.92	银行	北京	8.49	4.95	4635828	5280075	  0.88	296	6526	--  	   26670016.00	
="000655"	金岭矿业	0.95	9.60	0.09	9.59	9.60	126175	2236	0.31	          2.12	9.46	9.95	9.43	9.51	    29.30	122499832	  0.93	普钢	山东	5.47	9.71	52344	73830	  0.71	177	2340	--  	      59534.01	
="600132"	重庆啤酒	0.60	16.68	0.10	16.66	16.67	62143	10	-0.05	          1.28	16.52	16.84	16.51	16.58	    37.91	103808856	  1.11	啤酒	重庆	1.99	16.70	27079	35063	  0.77	344	5	--  	      48397.12	
="002233"	塔牌集团	0.50	9.97	0.05	9.97	9.98	131902	1683	-0.20	          2.37	9.97	10.21	9.93	9.92	    13.55	133082936	  0.72	水泥	广东	2.82	10.09	60758	71143	  0.85	422	1212	--  	      55565.60	
="600252"	中恒集团	0.48	16.65	0.08	16.63	16.64	260089	10	0.00	          2.38	16.56	16.93	16.50	16.57	    19.65	435121504	  0.97	中成药	广西	2.60	16.73	125139	134949	  0.93	8216	10	--  	     109174.75	
