代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="002486"	嘉麟杰	10.09	4.91	0.45	4.91	--  	815878	3151	          0.00	         10.19	4.38	4.91	4.35	4.46	    61.84	383456576	  0.84	服饰	上海	12.56	
="600764"	中电广通	10.06	9.19	0.84	9.19	--  	309011	20	          0.00	          9.37	9.19	9.19	9.03	8.35	  2339.92	283875136	 28.61	通信设备	北京	 1.92	
="600275"	武昌鱼	10.04	5.15	0.47	5.15	--  	2621	20	          0.00	          0.05	5.15	5.15	5.15	4.68	--  	1349877	  0.06	农业综合	湖北	 0.00	
="000791"	甘肃电投	10.01	10.22	0.93	10.22	--  	263463	908	          0.00	         22.95	9.37	10.22	9.29	9.29	   809.15	260565008	  3.63	水力发电	甘肃	10.01	
="300399"	京天利	10.01	41.77	3.80	41.77	--  	1683	5	          0.00	          0.84	41.77	41.77	41.77	37.97	    82.28	7030309	  0.88	互联网	北京	 0.00	
="300216"	千山药机	10.00	35.08	3.19	35.08	--  	98983	135	          0.00	          8.12	32.57	35.08	32.12	31.89	   216.81	337893472	  2.30	医疗保健	湖南	 9.28	
="603169"	兰石重装	10.00	6.27	0.57	6.27	--  	7685	28	          0.00	          0.77	6.27	6.27	6.27	5.70	    49.56	4818809	  1.60	专用机械	甘肃	 0.00	
="002170"	芭田股份	10.00	6.60	0.60	6.60	--  	11297	2	          0.00	          0.18	6.60	6.60	6.60	6.00	    26.51	7456119	  0.09	农药化肥	深圳	 0.00	
="300401"	花园生物	10.00	26.18	2.38	26.18	--  	19644	137	          0.00	          8.65	26.18	26.18	26.18	23.80	    79.87	51428488	  4.81	食品	浙江	 0.00	
="300402"	宝色股份	9.99	15.19	1.38	15.19	--  	8758	112	          0.00	          1.72	15.19	15.19	15.19	13.81	    70.74	13303751	  2.43	专用机械	江苏	 0.00	
="603606"	东方电缆	9.99	20.92	1.90	20.92	--  	102387	10	          0.00	         32.66	20.30	20.92	20.05	19.02	    56.68	211061248	 25.09	电气设备	浙江	 4.57	
="600313"	农发种业	9.99	9.25	0.84	9.25	--  	2634	1	          0.00	          0.09	9.25	9.25	9.25	8.41	--  	2436598	  0.01	种植业	北京	 0.00	
="300400"	劲拓股份	9.98	25.78	2.34	25.78	--  	38205	154	          0.00	         19.10	25.78	25.78	25.78	23.44	    58.36	98493136	 17.69	元器件	深圳	 0.00	
="002408"	齐翔腾达	9.98	18.29	1.66	18.29	--  	146221	254	          0.00	          2.67	18.29	18.29	18.00	16.63	    26.32	267123712	  1.50	化工原料	山东	 1.74	
="002480"	新筑股份	9.98	10.47	0.95	10.47	--  	418517	818	          0.00	          7.56	9.50	10.47	9.41	9.52	   358.21	424801024	  3.28	机械基件	四川	11.13	
="600480"	凌云股份	7.92	13.90	1.02	13.91	13.92	548624	503	          0.21	         15.17	12.75	13.97	12.68	12.88	    28.91	732481536	  2.60	汽车配件	河北	10.02	
="000099"	中信海直	7.56	13.52	0.95	13.51	13.52	635284	6658	          0.00	         10.48	12.60	13.77	12.60	12.57	    48.93	845718784	  2.47	空运	深圳	 9.31	
="600339"	天利高新	7.53	6.43	0.45	6.43	6.44	556407	17	          0.00	          9.62	6.40	6.58	6.28	5.98	--  	358946400	  6.44	石油加工	新疆	 5.02	
="300304"	云意电气	7.05	17.77	1.17	17.77	17.78	87622	1777	          0.11	         13.69	16.63	18.00	16.60	16.60	    43.83	153317728	  2.70	汽车配件	江苏	 8.43	
="600897"	厦门空港	6.95	19.08	1.24	19.08	19.09	108466	66	          0.47	          3.64	17.65	19.10	17.65	17.84	    11.95	202620272	  2.27	机场	福建	 8.13	
="000506"	中润资源	6.44	6.94	0.42	6.93	6.94	353768	9137	          0.43	          3.81	6.47	6.94	6.40	6.52	--  	238017696	  1.07	区域地产	山东	 8.28	
="000501"	鄂武商Ａ	6.44	13.88	0.84	13.87	13.88	159168	1141	          0.43	          3.14	13.02	14.15	13.02	13.04	     9.54	216020256	  3.07	百货	湖北	 8.67	
="002485"	希努尔	6.22	10.08	0.59	10.07	10.08	131091	1950	         -0.49	          4.10	9.48	10.44	9.15	9.49	--  	129498488	  3.18	服饰	山东	13.59	
="600262"	北方股份	6.22	24.09	1.41	24.06	24.09	109791	5	         -0.16	          6.46	22.16	24.50	22.16	22.68	    50.05	261200336	  1.25	工程机械	内蒙	10.32	
="000547"	闽福发Ａ	6.06	16.10	0.92	16.09	16.10	562759	14406	          1.19	          6.74	14.80	16.18	14.70	15.18	    99.90	869438080	  1.14	通信设备	福建	 9.75	
="002131"	利欧股份	6.06	24.86	1.42	24.86	24.87	106882	1180	         -0.08	          5.92	23.40	25.30	23.40	23.44	    36.94	263037552	  3.16	农用机械	浙江	 8.11	
="600990"	四创电子	5.99	45.49	2.57	45.46	45.48	56877	57	          0.24	          4.16	42.48	45.83	42.35	42.92	   369.43	252611520	  2.24	通信设备	安徽	 8.11	
="002173"	千足珍珠	5.77	13.93	0.76	13.93	13.94	140168	1135	          0.00	         12.97	13.15	14.28	12.93	13.17	   181.73	191671824	  1.99	农业综合	浙江	10.25	
="002698"	博实股份	5.73	26.75	1.45	26.74	26.75	44297	2563	          2.64	          4.14	25.13	26.78	24.29	25.30	    47.83	113375488	  2.75	化工机械	黑龙江	 9.84	
="600576"	万好万家	5.38	19.59	1.00	19.55	19.60	80985	422	         -0.20	          3.71	18.50	19.98	18.50	18.59	--  	157666816	  1.52	综合类	浙江	 7.96	
="601299"	中国北车	5.27	6.39	0.32	6.39	6.40	3545627	234	          0.31	          3.50	6.05	6.67	5.97	6.07	    16.86	2247949312	  1.39	运输设备	北京	11.53	
="600973"	宝胜股份	5.26	11.00	0.55	10.99	11.00	150313	11	          0.00	          3.65	10.44	11.06	10.40	10.45	    52.46	162276912	  1.54	电气设备	江苏	 6.32	
="300271"	华宇软件	5.20	46.50	2.30	46.49	46.50	28824	260	          1.06	          3.09	44.42	47.39	44.42	44.20	    56.38	133229944	  1.52	软件服务	北京	 6.72	
="000055"	方大集团	5.11	9.88	0.48	9.87	9.88	200022	3375	          0.81	          4.76	9.35	9.88	9.27	9.40	    94.58	193390288	  1.26	其他建材	深圳	 6.49	
="002091"	江苏国泰	5.03	17.32	0.83	17.32	17.33	232631	2202	          0.17	          6.70	16.41	17.80	16.38	16.49	    28.08	402877440	  2.35	商贸代理	江苏	 8.61	
="002264"	新 华 都	4.97	8.66	0.41	8.66	8.67	387862	4002	          0.11	          7.66	8.25	9.06	8.19	8.25	    50.30	336867392	  1.99	超市连锁	福建	10.55	
="600299"	*ST新材	4.96	7.40	0.35	7.40	--  	12509	5	          0.00	          0.24	7.40	7.40	7.40	7.05	--  	9257163	  7.45	化工原料	北京	 0.00	
