代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本	
="601588"	北辰实业	10.09	3.82	0.35	3.82	--  	1298271	10	          0.00	          4.88	3.80	3.82	3.69	3.47	    30.05	495061216	  7.12	区域地产	北京	 3.75	3.81	1048441	249830	  4.20	129880	0	--  	     266000.00	
="000918"	嘉凯城	10.05	4.27	0.39	4.27	--  	125983	867	          0.00	          0.70	4.27	4.27	4.27	3.88	--  	53795020	  1.51	全国地产	湖南	 0.00	4.27	110755	15228	  7.27	81652	0	--  	     180419.16	
="000046"	泛海控股	10.05	7.01	0.64	7.01	--  	639409	400	          0.00	          1.41	7.01	7.01	6.93	6.37	    66.79	448029408	  3.80	全国地产	深圳	 1.26	7.01	558530	80879	  6.91	252423	0	--  	     454493.25	
="600048"	保利地产	10.03	6.47	0.59	6.47	--  	6569753	30	          0.00	          6.13	6.25	6.47	6.18	5.88	     8.56	4178396672	  4.71	全国地产	广东	 4.93	6.36	3209879	3359874	  0.96	120921	0	--  	    1072397.88	
="600999"	招商证券	10.03	16.34	1.49	16.34	--  	2560306	10	          0.00	          5.49	15.80	16.34	15.61	14.85	    28.10	4140581376	  3.28	证券	深圳	 4.92	16.17	1303842	1256464	  1.04	33065	0	--  	     466109.97	
="000732"	泰禾集团	10.03	11.74	1.07	11.74	--  	53069	62	          0.00	          0.52	11.74	11.74	11.74	10.67	    14.48	62303368	  1.32	区域地产	福建	 0.00	11.74	46482	6587	  7.06	28925	0	--  	     101577.28	
="603169"	兰石重装	10.02	23.71	2.16	23.71	--  	313441	5	          0.00	         31.34	22.99	23.71	22.01	21.55	   220.96	724568960	  0.76	专用机械	甘肃	 7.89	23.12	150204	163237	  0.92	29711	0	--  	      10000.00	
="603019"	中科曙光	10.02	23.93	2.18	23.93	--  	2138	10	          0.00	          0.29	23.93	23.93	23.93	21.75	   181.82	5117909	  1.27	电脑设备	天津	 0.00	23.93	1956	182	 10.75	192539	0	--  	       7500.00	
="000776"	广发证券	10.02	14.82	1.35	14.82	--  	280165	3879	          0.00	          0.47	14.82	14.82	14.82	13.47	    21.64	415204864	  0.22	证券	广东	 0.00	14.82	267805	12360	 21.67	296967	0	--  	     591929.13	
="600410"	华胜天成	10.02	26.69	2.43	26.69	--  	712965	6	          0.00	         11.18	24.55	26.69	23.97	24.26	   176.84	1827353088	  1.83	软件服务	北京	11.21	25.63	298909	414056	  0.72	42022	0	--  	      63744.55	
