代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="601969"	N海矿	44.00	14.89	4.55	14.89	--  	3732	3	0.00	          0.20	12.41	14.89	12.41	10.34	    65.39	5546495	0.00	普钢	海南	23.98	14.86	3711	20	185.55	260588	0	--  	      18667.00	
="600815"	厦工股份	10.06	7.00	0.64	7.00	--  	16221	15	0.00	          0.17	7.00	7.00	7.00	6.36	--  	11354497	  0.22	工程机械	福建	0.00	7.00	14933	1287	 11.60	350499	0	--  	      93970.96	
="300013"	新宁物流	10.04	10.19	0.93	10.19	--  	648	2	0.00	          0.04	10.19	10.19	10.19	9.26	   144.78	659874	  0.02	仓储物流	江苏	0.00	10.19	638	9	 70.89	85392	0	--  	      18000.00	
="000418"	小天鹅Ａ	10.04	13.70	1.25	13.69	13.70	353323	5650	0.00	          8.07	12.70	13.70	12.48	12.45	    12.64	474862400	  3.03	家用电器	江苏	9.80	13.44	221503	131820	  1.68	96	942	--  	      43776.10	
="600369"	西南证券	10.04	14.03	1.28	14.03	--  	29371	101	0.00	          0.13	14.03	14.03	14.03	12.75	    33.35	41206824	  0.16	证券	重庆	0.00	14.03	28658	712	 40.25	3072053	0	--  	     232255.45	
="002732"	燕塘乳业	10.03	17.66	1.61	17.66	--  	278	32	0.00	          0.07	17.66	17.66	17.66	16.05	    32.20	490948	  1.16	乳制品	广东	0.00	17.66	244	34	  7.18	83676	0	--  	       3935.00	
="600678"	四川金顶	10.03	10.75	0.98	10.75	--  	827234	7	0.00	         23.70	10.75	10.75	10.18	9.77	--  	873622656	127.66	水泥	四川	5.83	10.56	389928	437306	  0.89	3452	0	--  	      34899.00	
="600633"	浙报传媒	10.03	19.31	1.76	19.31	--  	1141339	87	0.00	         10.06	17.18	19.31	17.07	17.55	    42.12	2170507776	  2.89	出版业	浙江	12.76	19.02	667373	473966	  1.41	358441	0	--  	     113407.17	
="300409"	道氏技术	10.02	36.47	3.32	36.47	--  	137	2	0.00	          0.08	36.47	36.47	36.47	33.15	    29.75	499639	0.00	矿物制品	广东	0.00	36.47	124	13	  9.54	20671	0	--  	       1625.00	
="603166"	福达股份	10.01	17.91	1.63	17.91	--  	2978	10	0.00	          0.68	17.91	17.91	17.91	16.28	    77.01	5333598	  6.20	汽车配件	广西	0.00	17.91	2728	250	 10.91	91057	0	--  	       4350.00	
="603518"	维格娜丝	10.01	42.21	3.84	42.21	--  	2359	2	0.00	          0.64	42.21	42.21	42.21	38.37	    52.81	9957339	  9.83	服饰	江苏	0.00	42.21	2121	238	  8.91	13480	0	--  	       3699.50	
="002735"	王子新材	10.01	19.46	1.77	19.46	--  	300	50	0.00	          0.15	19.46	19.46	19.46	17.69	    54.90	583800	0.00	塑料	深圳	0.00	19.46	263	37	  7.11	50881	0	--  	       2000.00	
="603368"	柳州医药	10.00	50.26	4.57	50.26	--  	597	8	0.00	          0.27	50.26	50.26	50.26	45.69	    33.57	2998009	0.00	医药商业	广西	0.00	50.26	556	40	 13.90	16286	0	--  	       2250.00	
="002708"	光洋股份	10.00	20.90	1.90	20.90	--  	6688	53	0.00	          1.44	20.90	20.90	20.90	19.00	    63.38	13978296	  0.11	汽车配件	江苏	0.00	20.90	5625	1063	  5.29	17296	0	--  	       4648.00	
="300407"	凯发电气	10.00	47.10	4.28	47.10	--  	196	19	0.00	          0.12	47.10	47.10	47.10	42.82	    68.24	923160	0.00	电气设备	天津	0.00	47.10	175	21	  8.33	15131	0	--  	       1700.00	
="300408"	三环集团	9.99	61.96	5.63	61.96	--  	1567	126	0.00	          0.34	61.96	61.96	61.96	56.33	    43.94	9709132	  6.53	元器件	广东	0.00	61.96	1432	135	 10.61	20174	0	--  	       4600.00	
="603998"	方盛制药	9.99	25.87	2.35	25.87	--  	225	10	0.00	          0.08	25.87	25.87	25.87	23.52	    33.43	582075	0.00	化学制药	湖南	0.00	25.87	204	21	  9.71	56114	0	--  	       2726.00	
="300318"	博晖创新	9.99	23.45	2.13	23.45	--  	3241	1	0.00	          0.54	23.45	23.45	23.45	21.32	    91.08	7600450	  0.08	医疗保健	北京	0.00	23.45	3120	121	 25.79	11497	0	--  	       6039.25	
="600848"	自仪股份	9.99	9.58	0.87	9.58	--  	587	5	0.00	          0.02	9.58	9.58	9.58	8.71	--  	562700	  0.03	电器仪表	上海	0.00	9.58	550	37	 14.86	113706	0	--  	      29214.14	
="002733"	雄韬股份	9.99	27.75	2.52	27.75	--  	477	37	0.00	          0.14	27.75	27.75	27.75	25.23	    39.43	1323675	  1.99	电气设备	深圳	0.00	27.75	445	32	 13.91	40960	0	--  	       3400.00	
