代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="002024"	苏宁云商	9.97	10.26	0.93	10.26	--  	4733919	4043	0.00	          9.58	9.36	10.26	9.36	9.33	--  	4764077568	  2.62	电器连锁	江苏	9.65	10.06	3145886	1588032	  1.98	311745	0	--  	     494071.41	
="600981"	汇鸿股份	9.94	5.09	0.46	5.09	--  	3592	5	0.00	          0.07	5.09	5.09	5.09	4.63	   111.81	1828104	  0.14	商贸代理	江苏	0.00	5.09	3564	27	132.00	313403	0	--  	      51610.64	
="601010"	文峰股份	8.02	11.31	0.84	11.29	11.30	182561	5	-0.44	          2.47	10.52	11.52	10.41	10.47	    19.29	203770736	  1.79	超市连锁	江苏	10.60	11.16	73356	109205	  0.67	170	24	--  	      73920.00	
="600621"	华鑫股份	7.57	9.80	0.69	9.80	9.81	297071	38	-0.10	          5.67	9.10	9.98	9.05	9.11	    40.80	285111808	  1.92	全国地产	上海	10.21	9.60	130535	166536	  0.78	265	418	--  	      52408.23	
="000758"	中色股份	7.35	15.34	1.05	15.34	15.35	555682	5576	0.06	          6.16	14.29	15.36	14.26	14.29	   160.89	830342720	  1.68	铅锌	北京	7.70	14.94	242409	313272	  0.77	2018	1958	--  	      90156.15	
="000530"	大冷股份	5.62	12.60	0.67	12.59	12.60	124001	2880	0.47	          5.75	11.91	12.68	11.81	11.93	    34.37	153193872	  1.48	机械基件	辽宁	7.29	12.35	52283	71717	  0.73	10	489	--  	      21579.34	
="600312"	平高电气	5.60	19.60	1.04	19.59	19.60	383663	15	-0.05	          4.68	18.49	19.76	18.36	18.56	    39.32	737391616	  0.83	电气设备	河南	7.54	19.22	175820	207843	  0.85	5	290	--  	      81896.61	
="600642"	申能股份	5.56	6.45	0.34	6.45	6.46	923380	113	-0.15	          2.03	6.20	6.55	6.12	6.11	    15.48	583222528	  1.85	火力发电	上海	7.04	6.32	439430	483949	  0.91	945	8083	--  	     455203.84	
="600804"	鹏博士	5.47	22.75	1.18	22.73	22.75	480009	6	0.04	          3.58	21.37	23.30	21.37	21.57	    56.24	1089408256	  0.83	电信运营	四川	8.95	22.70	212779	267229	  0.80	800	481	--  	     134194.16	
="002078"	太阳纸业	5.20	4.45	0.22	4.44	4.45	1114788	4789	0.22	          5.64	4.24	4.49	4.23	4.23	    24.44	491651904	  2.25	造纸	山东	6.15	4.41	427402	687385	  0.62	3509	12796	--  	     197669.13	
="600618"	氯碱化工	5.13	9.63	0.47	9.63	9.64	111983	5	-0.51	          1.49	9.11	9.86	9.10	9.16	--  	105943712	  1.72	化工原料	上海	8.30	9.46	49518	62465	  0.79	118	377	--  	      74984.00	
="000690"	宝新能源	5.11	6.79	0.33	6.78	6.79	758126	4400	0.14	          4.43	6.47	6.85	6.45	6.46	    10.55	509876672	  2.19	火力发电	广东	6.19	6.73	367420	390705	  0.94	932	1167	--  	     171265.66	
="000401"	冀东水泥	5.06	12.24	0.59	12.24	12.25	239874	1629	0.24	          1.98	11.70	12.31	11.70	11.65	   596.42	288610624	  1.56	水泥	河北	5.24	12.03	110767	129107	  0.86	128	469	--  	     121233.36	
="600073"	上海梅林	4.93	9.79	0.46	9.78	9.79	373218	10	0.10	          4.54	9.39	9.85	9.33	9.33	    61.33	361040224	  2.22	食品	上海	5.57	9.67	166136	207082	  0.80	659	699	--  	      82273.52	
="600549"	厦门钨业	4.91	34.00	1.59	34.02	34.03	161236	2	0.20	          2.36	32.46	34.50	32.46	32.41	   100.03	543841088	  1.56	小金属	福建	6.29	33.73	69708	91528	  0.76	304	80	--  	      68198.00	
="600105"	永鼎股份	4.75	9.70	0.44	9.70	9.71	148198	83	0.10	          3.89	9.26	9.79	9.17	9.26	    21.87	140893184	  1.17	通信设备	江苏	6.70	9.51	66265	81932	  0.81	232	667	--  	      38095.46	
="603128"	华贸物流	4.60	15.47	0.68	15.47	15.48	87513	75	0.12	          5.47	14.80	15.49	14.41	14.79	    58.05	132272680	  1.57	仓储物流	上海	7.30	15.11	35421	52092	  0.68	107	1597	--  	      16000.00	
="600596"	新安股份	4.60	11.38	0.50	11.38	11.39	402290	163	0.79	          5.92	10.88	11.39	10.87	10.88	    61.41	451940288	  1.59	农药化肥	浙江	4.78	11.23	186262	216027	  0.86	60	8812	--  	      67918.46	
="600826"	兰生股份	4.58	23.06	1.01	23.05	23.07	76031	15	0.08	          1.81	21.91	23.34	21.90	22.05	   142.16	172107952	  1.01	商贸代理	上海	6.53	22.64	33269	42762	  0.78	158	22	--  	      42064.23	
="600111"	北方稀土	4.55	27.12	1.18	27.13	27.14	1110881	105	0.22	          7.51	26.12	27.48	25.95	25.94	   124.14	2989483008	  1.73	小金属	内蒙	5.90	26.91	499218	611663	  0.82	136	108	--  	     147946.98	
="600638"	新黄浦	4.47	19.39	0.83	19.39	19.40	144090	1	0.36	          2.57	18.60	19.56	18.21	18.56	   110.24	274504896	  0.86	区域地产	上海	7.27	19.05	59245	84844	  0.70	1298	1605	--  	      56116.39	
="000488"	晨鸣纸业	4.37	6.93	0.29	6.92	6.93	369251	9082	0.14	          3.34	6.73	6.93	6.69	6.64	    29.50	252718128	  0.83	造纸	山东	3.61	6.84	152884	216366	  0.71	4923	10193	--  	     110503.72	
="300202"	聚龙股份	4.35	30.69	1.28	30.68	30.69	31119	704	0.00	          0.57	29.41	30.79	29.41	29.41	   122.00	94255656	  1.08	专用机械	辽宁	4.69	30.29	10497	20622	  0.51	38	11	--  	      54950.39	
="000636"	风华高科	4.35	9.60	0.40	9.59	9.60	253086	3740	0.20	          3.77	9.21	9.65	9.15	9.20	   111.08	239935152	  2.06	元器件	广东	5.43	9.48	104563	148522	  0.70	1955	536	--  	      67093.63	
="002221"	东华能源	4.34	19.00	0.79	19.00	19.01	143819	1077	-0.26	          3.22	17.65	19.09	17.00	18.21	   216.22	257018016	  1.93	石油贸易	江苏	11.48	17.87	66914	76905	  0.87	341	57	--  	      44718.82	
