代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="002143"	印纪传媒	10.03	18.32	1.67	18.32	--  	123043	538	0.00	         13.67	17.33	18.32	17.00	16.65	--  	221989872	  5.89	影视音像	四川	7.93	18.04	53034	70009	  0.76	21260	0	--  	       8997.95	
="600487"	亨通光电	10.03	20.85	1.90	20.85	--  	98078	20	0.00	          3.16	20.60	20.85	19.33	18.95	    25.96	202128000	  3.58	通信设备	江苏	8.02	20.61	64460	33618	  1.92	19979	0	--  	      31062.38	
="300304"	云意电气	10.02	16.25	1.48	16.25	--  	90463	595	0.00	         14.13	14.75	16.25	14.48	14.77	    40.08	144503952	  6.28	汽车配件	江苏	11.98	15.97	60430	30033	  2.01	21632	0	--  	       6400.00	
="000626"	如意集团	10.01	18.68	1.70	18.68	--  	281051	834	0.00	         13.89	17.00	18.68	16.60	16.98	    24.04	510478240	  2.53	商贸代理	江苏	12.25	18.16	167230	113821	  1.47	24805	0	--  	      20229.75	
="300349"	金卡股份	10.01	28.35	2.58	28.35	--  	75481	19	0.00	         16.77	25.50	28.35	25.21	25.77	    36.17	211687632	  6.84	电器仪表	浙江	12.18	28.05	47072	28408	  1.66	954	0	--  	       4500.00	
="300204"	舒泰神	10.01	28.57	2.60	28.57	--  	44419	460	0.00	          1.88	28.00	28.57	27.81	25.97	    41.64	126498304	  4.21	生物制药	北京	2.93	28.48	38836	5583	  6.96	4198	0	--  	      23575.42	
="300096"	易联众	10.01	11.87	1.08	11.87	--  	526844	6691	0.76	         17.62	10.52	11.87	10.40	10.79	   165.81	607549760	  3.81	软件服务	福建	13.62	11.53	283613	243230	  1.17	6920	0	--  	      29900.63	
="300376"	易事特	10.01	37.59	3.42	37.59	--  	72568	570	0.00	         16.21	34.89	37.59	34.51	34.17	    40.70	268632736	  3.64	电气设备	广东	9.01	37.02	42876	29692	  1.44	1414	0	--  	       4478.00	
="002103"	广博股份	10.01	12.64	1.15	12.64	--  	56923	224	0.00	          3.33	11.31	12.64	11.20	11.49	   214.46	70201664	  2.82	文教休闲	浙江	12.53	12.33	36202	20721	  1.75	33605	0	--  	      17095.44	
="002735"	王子新材	10.01	28.69	2.61	28.69	--  	87922	216	0.00	         43.96	26.37	28.69	25.62	26.08	    80.95	242718624	  5.31	塑料	深圳	11.77	27.61	43390	44532	  0.97	6415	0	--  	       2000.00	
