代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="603799"	N华友	44.03	6.87	2.10	6.87	--  	649	1	0.00	          0.07	5.72	6.87	5.72	4.77	    23.33	443333	0.00	小金属	浙江	24.11	
="600981"	汇鸿股份	10.06	6.78	0.62	6.78	--  	4513	1	0.00	          0.09	6.78	6.78	6.78	6.16	   148.94	3059489	  0.72	商贸代理	江苏	0.00	
="601519"	大智慧	10.05	9.64	0.88	9.64	--  	16190	6	0.00	          0.08	9.64	9.64	9.64	8.76	   164.99	15607160	  0.57	软件服务	上海	0.00	
="600965"	福成五丰	10.04	10.41	0.95	10.41	--  	31216	4	0.00	          0.82	10.41	10.41	10.41	9.46	    92.15	32495680	  0.35	农业综合	河北	0.00	
="000767"	漳泽电力	10.04	5.37	0.49	5.37	--  	1512082	4724	0.00	          9.61	4.97	5.37	4.95	4.88	    28.44	799089920	  5.35	火力发电	山西	8.61	
="300107"	建新股份	10.04	11.84	1.08	11.84	--  	104852	1005	0.00	          6.27	10.65	11.84	10.62	10.76	    63.44	119739920	  2.30	化工原料	河北	11.34	
="000875"	吉电股份	10.02	4.83	0.44	4.83	--  	1125663	1008	0.00	         10.09	4.52	4.83	4.51	4.39	   521.21	536648864	  3.81	火力发电	吉林	7.29	
="000609"	绵世股份	10.02	15.26	1.39	15.26	--  	57166	52	0.00	          2.09	15.00	15.26	14.51	13.87	   694.32	86032544	  0.46	区域地产	北京	5.41	
="603611"	诺力股份	10.02	29.10	2.65	29.10	--  	97	10	0.00	          0.05	29.10	29.10	29.10	26.45	    28.34	282270	  0.40	运输设备	浙江	0.00	
="603601"	再升科技	10.02	18.34	1.67	18.34	--  	371	10	0.00	          0.22	18.34	18.34	18.34	16.67	    29.63	680414	0.00	玻璃	重庆	0.00	
="000050"	深天马Ａ	10.02	20.87	1.90	20.87	--  	383342	564	0.00	          6.68	20.87	20.87	20.04	18.97	    56.84	793376000	  3.43	元器件	深圳	4.38	
="300350"	华鹏飞	10.01	23.84	2.17	23.84	--  	300	10	0.00	          0.12	23.84	23.84	23.84	21.67	    63.24	715510	  0.05	仓储物流	深圳	0.00	
="600292"	中电远达	10.01	24.39	2.22	24.39	--  	324050	4	0.00	          6.33	22.90	24.39	22.90	22.17	    50.21	773711680	  4.22	环境保护	重庆	6.72	
="000797"	中国武夷	10.01	17.81	1.62	17.81	--  	222165	92	0.00	          6.65	15.80	17.81	15.58	16.19	    76.41	381023136	  1.18	全国地产	福建	13.77	
="603600"	永艺股份	10.01	21.55	1.96	21.55	--  	1242	5	0.00	          0.50	21.55	21.55	21.55	19.59	    37.15	2676488	  5.17	家居用品	浙江	0.00	
="000626"	如意集团	10.00	22.32	2.03	22.32	--  	135827	117	0.00	          6.71	20.17	22.32	19.77	20.29	    28.72	291526336	  0.98	商贸代理	江苏	12.57	
