代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="000791"	甘肃电投	10.01	10.22	0.93	10.22	--  	263463	908	          0.00	         22.95	9.37	10.22	9.29	9.29	   809.15	260565008	  3.63	水力发电	甘肃	10.01	
="002480"	新筑股份	9.98	10.47	0.95	10.47	--  	418517	818	          0.00	          7.56	9.50	10.47	9.41	9.52	   358.21	424801024	  3.28	机械基件	四川	11.13	
="000099"	中信海直	7.56	13.52	0.95	13.51	13.52	635284	6658	          0.00	         10.48	12.60	13.77	12.60	12.57	    48.93	845718784	  2.47	空运	深圳	 9.31	
="000501"	鄂武商Ａ	6.44	13.88	0.84	13.87	13.88	159168	1141	          0.43	          3.14	13.02	14.15	13.02	13.04	     9.54	216020256	  3.07	百货	湖北	 8.67	
="002485"	希努尔	6.22	10.08	0.59	10.07	10.08	131091	1950	         -0.49	          4.10	9.48	10.44	9.15	9.49	--  	129498488	  3.18	服饰	山东	13.59	
="002253"	川大智胜	4.67	31.37	1.40	31.37	31.40	54936	589	         -0.44	          4.36	30.00	31.69	30.00	29.97	   174.48	171640384	  2.79	软件服务	四川	 5.64	
="002530"	丰东股份	3.94	9.50	0.36	9.49	9.50	118276	1655	          0.31	          4.41	8.90	9.58	8.88	9.14	   135.04	109235528	  1.96	专用机械	江苏	 7.66	
="000638"	万方发展	3.39	7.33	0.24	7.33	7.34	123550	3793	          0.96	          3.99	7.04	7.33	6.75	7.09	   278.35	88435072	  1.11	批发业	辽宁	 8.18	
="601880"	大连港	3.35	3.70	0.12	3.70	3.71	821705	146	          0.00	          2.44	3.61	3.76	3.52	3.58	    28.79	298032768	  1.95	港口	辽宁	 6.70	
="002673"	西部证券	2.80	15.04	0.41	15.04	15.05	391531	4384	          0.06	          5.69	14.50	15.30	14.45	14.63	    59.25	584430144	  1.49	证券	陕西	 5.81	
="002018"	华星化工	2.76	11.92	0.32	11.92	11.93	128332	1730	          0.33	          2.87	11.55	11.95	11.09	11.60	   148.54	147799296	  0.95	农药化肥	安徽	 7.41	
="600731"	湖南海利	2.75	8.59	0.23	8.59	8.60	100722	50	          0.00	          3.94	8.35	8.67	8.31	8.36	   299.87	85765224	  2.21	农药化肥	湖南	 4.31	
="000100"	TCL 集团	2.74	3.00	0.08	2.99	3.00	3168901	23824	          0.33	          3.89	2.93	3.05	2.92	2.92	     9.62	950329216	  1.20	家用电器	广东	 4.45	
="600375"	华菱星马	2.61	12.19	0.31	12.17	12.19	150663	100	         -0.16	          3.03	11.88	12.25	11.84	11.88	    37.40	181970736	  1.12	汽车整车	安徽	 3.45	
="002661"	克明面业	2.15	40.85	0.86	40.81	40.85	17897	334	         -0.36	          8.38	40.01	41.48	40.01	39.99	    37.99	72963392	  0.96	食品	湖南	 3.68	
="000613"	大东海A	2.10	7.30	0.15	7.30	7.31	118592	1123	          0.13	          4.55	7.15	7.55	7.15	7.15	--  	87358616	  2.51	旅游服务	海南	 5.59	
="002650"	加加食品	2.02	12.10	0.24	12.07	12.10	62004	1111	          0.24	          2.76	11.91	12.25	11.87	11.86	    34.20	74590528	  0.74	食品	湖南	 3.20	
="000551"	创元科技	1.92	10.60	0.20	10.60	10.61	171821	1727	          0.09	          4.29	10.39	10.77	10.32	10.40	    82.70	180818400	  0.57	专用机械	江苏	 4.33	
="600822"	上海物贸	1.68	12.71	0.21	12.65	12.66	349142	42	          0.87	          8.81	12.51	12.96	12.27	12.50	   405.78	438542592	  1.37	商贸代理	上海	 5.52	
="002073"	软控股份	1.60	12.72	0.20	12.72	12.73	524604	5198	          0.07	          8.48	12.55	12.89	12.30	12.52	    43.38	661846656	  1.46	软件服务	山东	 4.71	
="300211"	亿通科技	1.55	22.26	0.34	22.24	22.26	20594	104	          0.27	          4.35	21.90	22.87	21.80	21.92	   102.30	46040604	  1.62	通信设备	江苏	 4.88	
="002615"	哈尔斯	1.53	29.95	0.45	29.95	29.96	26547	602	          0.87	          5.20	29.21	30.27	29.20	29.50	    33.28	78861264	  1.18	家居用品	浙江	 3.63	
="600078"	澄星股份	1.40	8.72	0.12	8.71	8.72	205274	5	         -0.11	          3.10	8.55	8.78	8.36	8.60	   152.08	176264480	  0.75	化工原料	江苏	 4.88	
="002656"	卡奴迪路	1.29	16.51	0.21	16.51	16.54	43919	968	          1.16	          7.35	16.20	16.80	15.85	16.30	    81.77	70680200	  1.24	服饰	广东	 5.83	
="600466"	迪康药业	1.27	6.40	0.08	6.38	6.39	161707	13	          0.62	          3.68	6.29	6.48	6.23	6.32	   147.83	102543408	  0.65	中成药	四川	 3.96	
="002269"	美邦服饰	1.26	11.23	0.14	11.22	11.23	292683	3106	         -0.08	          2.91	11.07	11.49	11.04	11.09	    31.74	329479680	  1.27	服饰	上海	 4.06	
="000516"	开元投资	1.25	8.93	0.11	8.92	8.93	294791	2231	          0.33	          4.18	8.88	9.05	8.73	8.82	    23.03	262917104	  0.61	百货	陕西	 3.63	
="002521"	齐峰新材	1.23	11.50	0.14	11.50	11.51	87003	1018	          0.00	          2.83	11.36	11.54	11.13	11.36	    18.26	98908544	  0.74	造纸	山东	 3.61	
="600717"	天津港	1.21	11.74	0.14	11.74	11.75	265271	10	          0.08	          1.58	11.36	11.78	11.36	11.60	    16.35	307324832	  0.80	港口	天津	 3.62	
="000738"	中航动控	1.20	17.67	0.21	17.67	17.68	234500	2008	          0.05	          2.05	17.30	17.88	17.29	17.46	   101.08	413990688	  1.08	航空航天	江苏	 3.38	
="000735"	罗 牛 山	1.11	7.27	0.08	7.27	7.28	307594	4109	          0.00	          3.50	7.19	7.38	7.12	7.19	   133.74	222617456	  0.39	农业综合	海南	 3.62	
="600359"	新农开发	1.11	10.02	0.11	9.98	9.99	71206	12	          0.50	          2.22	9.90	10.07	9.61	9.91	   319.02	69946744	  0.80	农业综合	新疆	 4.64	
="600329"	中新药业	1.08	14.96	0.16	14.93	14.95	58265	2	          0.20	          1.09	14.80	15.15	14.68	14.80	    27.88	86664560	  0.98	中成药	天津	 3.18	
="600812"	华北制药	1.06	6.69	0.07	6.69	6.70	227700	8	          0.14	          2.21	6.59	6.81	6.53	6.62	   525.60	151655344	  0.56	化学制药	河北	 4.23	
="600808"	马钢股份	1.02	1.98	0.02	1.97	1.98	472997	15	          0.50	          0.79	1.96	2.03	1.93	1.96	--  	93479440	  0.90	普钢	安徽	 5.10	
="600179"	黑化股份	0.99	7.17	0.07	7.16	7.17	87780	200	          0.27	          2.25	7.10	7.25	6.94	7.10	--  	62051992	  0.57	焦炭加工	黑龙江	 4.37	
="002616"	长青集团	0.92	23.01	0.21	22.91	23.01	24782	106	          0.61	          3.04	22.82	23.50	22.41	22.80	   106.07	56526124	  1.17	环境保护	广东	 4.78	
="000078"	海王生物	0.91	10.03	0.09	10.03	10.04	330282	2445	         -0.29	          4.52	9.92	10.16	9.75	9.94	    69.32	328680896	  0.49	生物制药	深圳	 4.12	
