代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本	
="600853"	龙建股份	10.12	4.57	0.42	4.57	--  	506019	10	          0.00	          9.43	4.15	4.57	4.09	4.15	   136.25	223105344	  4.59	建筑施工	黑龙江	11.57	4.41	202685	303334	  0.67	50350	0	--  	      53680.76	
="000717"	韶钢松山	10.11	2.94	0.27	2.94	--  	503618	590	          0.00	          4.46	2.89	2.94	2.80	2.67	--  	145799216	  0.91	钢加工	广东	 5.24	2.90	313538	190080	  1.65	271823	0	--  	     112803.64	
="601800"	中国交建	10.05	6.13	0.56	6.13	--  	2814600	4	          0.00	         20.85	5.82	6.13	5.62	5.57	     7.62	1671919104	  1.89	建筑施工	北京	 9.16	5.94	1503711	1310889	  1.15	300640	0	--  	     134973.55	
="000680"	山推股份	10.02	4.61	0.42	4.61	--  	1068116	2915	          0.00	         11.19	4.33	4.61	4.32	4.19	   112.66	484903840	  3.73	工程机械	山东	 6.92	4.54	629103	439013	  1.43	141084	0	--  	      95481.35	
="000928"	中钢国际	10.02	12.30	1.12	12.30	--  	140064	99	          0.00	          4.95	11.27	12.30	11.26	11.18	    65.56	167645872	  2.75	建筑施工	吉林	 9.30	11.97	61156	78908	  0.78	19124	0	--  	      28289.90	
="600710"	常林股份	10.00	4.95	0.45	4.95	--  	696315	37	          0.00	         10.88	4.66	4.95	4.55	4.50	--  	339303456	  5.69	工程机械	江苏	 8.89	4.87	395117	301198	  1.31	32090	0	--  	      64028.39	
="002483"	润邦股份	9.98	13.44	1.22	13.44	--  	45610	113	          0.00	          1.27	13.44	13.44	13.44	12.22	    40.53	61300740	  0.79	工程机械	江苏	 0.00	13.44	44202	1408	 31.39	89295	0	--  	      36000.00	
="601028"	玉龙股份	9.97	17.21	1.56	17.21	17.22	93631	517	         -0.05	          9.63	15.41	17.22	15.36	15.65	    47.87	152855136	  2.13	钢加工	江苏	11.88	16.33	46106	47525	  0.97	396	208	--  	       9722.50	
="000528"	柳    工	9.96	8.17	0.74	8.17	--  	523858	1175	          0.00	          4.66	7.60	8.17	7.60	7.43	    38.43	418952736	  1.81	工程机械	广西	 7.67	8.00	336553	187305	  1.80	162099	0	--  	     112508.84	
="600896"	中海海盛	9.92	5.65	0.51	5.65	--  	496155	13	          0.00	          8.54	5.30	5.65	5.21	5.14	--  	271458176	  2.42	水运	海南	 8.56	5.47	247651	248504	  1.00	87068	0	--  	      58131.57	
="600320"	振华重工	9.92	5.43	0.49	5.43	--  	379508	100	          0.00	          1.37	5.43	5.43	5.43	4.94	   221.98	206073040	  0.95	工程机械	上海	 0.00	5.43	335182	44326	  7.56	540336	0	--  	     276833.13	
="600068"	葛洲坝	9.63	5.35	0.47	5.35	5.36	2970010	71	         -0.18	          8.52	4.93	5.37	4.88	4.88	    10.60	1555569280	  4.66	建筑施工	湖北	10.04	5.24	1419487	1550523	  0.92	2882	19827	--  	     348745.91	
="601919"	中国远洋	8.63	4.91	0.39	4.91	4.92	2384571	811	         -0.60	          3.12	4.49	4.96	4.44	4.52	--  	1118852992	  2.23	水运	天津	11.50	4.69	1055146	1329425	  0.79	889	1555	--  	     763567.44	
