代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
="601939"	建设银行	10.04	5.70	0.52	5.70	--  	9762901	501	0.00	         10.18	5.22	5.70	5.18	5.18	     5.62	5448354304	  2.07	银行	北京	10.04	5.58	5476914	4285986	  1.28	573168	0	--  	
="002013"	中航机电	10.01	24.18	2.20	24.17	24.18	302568	1817	0.12	         10.33	22.10	24.18	21.22	21.98	    55.76	695912640	  1.80	汽车配件	湖北	13.47	23.00	135357	167210	  0.81	258	2991	--  	
="600369"	西南证券	9.96	11.59	1.05	11.59	--  	8099	1	0.00	          0.03	11.59	11.59	11.59	10.54	    27.55	9387193	  0.03	证券	重庆	0.00	11.59	7933	166	 47.79	4817029	0	--  	
="601633"	长城汽车	9.79	42.38	3.78	42.39	42.40	165402	117	0.18	          0.82	40.01	42.46	39.50	38.60	    17.31	686292096	  1.96	汽车整车	河北	7.67	41.49	74588	90814	  0.82	13	430	--  	
="300255"	常山药业	9.59	32.91	2.88	32.91	32.93	88522	741	-0.36	          6.85	29.80	33.03	29.19	30.03	    64.10	274956768	  2.26	生物制药	河北	12.79	31.06	41459	47062	  0.88	3299	66	--  	
="601288"	农业银行	8.52	3.31	0.26	3.32	3.33	18027286	2986	0.60	          0.63	3.08	3.33	3.01	3.05	     5.29	5726925824	  1.51	银行	北京	10.49	3.18	7618048	10409238	  0.73	3231	69690	--  	
="000022"	深赤湾Ａ	8.44	19.54	1.52	19.54	19.55	176266	2083	0.66	          3.79	17.80	19.55	16.70	18.02	    25.77	325837920	  2.73	港口	深圳	15.82	18.49	75522	100744	  0.75	656	229	--  	
="601398"	工商银行	7.49	4.59	0.32	4.59	4.60	10246444	698	0.00	          0.39	4.30	4.68	4.22	4.27	     5.49	4580277248	  1.45	银行	北京	10.77	4.47	4880372	5366071	  0.91	330	1966	--  	
="600521"	华海药业	6.70	16.08	1.01	16.07	16.08	376977	28	0.56	          4.83	15.05	16.58	14.95	15.07	    46.81	597838976	  3.53	化学制药	浙江	10.82	15.86	168627	208350	  0.81	609	29	--  	
="601988"	中国银行	4.53	3.69	0.16	3.68	3.69	26429000	1026	0.00	          1.35	3.53	3.81	3.42	3.53	     6.74	9513892864	  1.78	银行	北京	11.05	3.60	11187337	15241663	  0.73	18387	27224	--  	
="601877"	正泰电器	4.42	33.28	1.41	33.01	33.14	70222	5	-0.06	          0.70	31.87	34.90	30.85	31.87	    19.09	227726032	  1.25	电气设备	浙江	12.71	32.43	32328	37894	  0.85	51	11	--  	
="000001"	平安银行	4.08	14.53	0.57	14.52	14.53	4413697	33429	-0.13	          4.49	14.05	15.23	13.52	13.96	     7.93	6338168320	  1.09	银行	深圳	12.25	14.36	2130752	2282945	  0.93	1749	1252	--  	
="600875"	东方电气	3.12	18.20	0.55	18.19	18.20	904280	42	-0.38	          5.43	18.06	18.97	17.00	17.65	    25.11	1654054144	  2.36	电气设备	四川	11.16	18.29	429374	474905	  0.90	699	78	--  	
="600153"	建发股份	3.00	8.94	0.26	8.94	8.95	1484880	401	0.22	          5.24	8.68	9.13	8.49	8.68	    12.08	1313913088	  1.58	商贸代理	福建	7.37	8.85	672566	812314	  0.83	220	2653	--  	
="600196"	复星医药	2.80	22.03	0.60	22.03	22.04	690856	128	0.00	          3.63	21.71	22.97	21.30	21.43	    24.26	1532494336	  1.62	化学制药	上海	7.79	22.18	327819	363036	  0.90	9	711	--  	
="600018"	上港集团	2.47	6.23	0.15	6.23	6.24	2580162	189	0.00	          1.13	6.12	6.40	5.98	6.08	    22.72	1602481664	  1.76	港口	上海	6.91	6.21	1215972	1364189	  0.89	6136	5935	--  	
