代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="600873"	梅花生物	9.83	7.82	0.70	7.83	--  	1488153	60	-0.12	          4.79	7.25	7.83	7.25	7.12	    67.20	1147254272	  3.02	食品	西藏	8.15	7.71	713721	774431	  0.92	9446	0	--  	     310822.66	
="000799"	酒 鬼 酒	7.16	16.92	1.13	16.91	16.92	361927	6469	0.89	         16.14	15.77	17.30	15.50	15.79	--  	594713664	  1.93	白酒	湖南	11.40	16.43	160948	200978	  0.80	52	4056	--  	      22420.16	
="600747"	大连控股	3.26	6.97	0.22	6.96	6.97	544559	15	0.14	          5.12	6.72	7.30	6.67	6.75	--  	381337184	  2.08	元器件	辽宁	9.33	7.00	256202	288357	  0.89	945	258	--  	     106432.84	
="600648"	外高桥	3.19	33.97	1.05	33.95	33.96	269906	151	0.17	          3.33	34.10	36.00	33.85	32.92	    53.04	937694720	  3.00	园区开发	上海	6.53	34.74	125195	144710	  0.87	393	8	--  	      81022.34	
="600695"	大江股份	2.89	7.83	0.22	7.83	7.84	120677	117	0.38	          3.66	7.55	8.08	7.53	7.61	--  	93331880	  2.06	食品	上海	7.23	7.73	57823	62854	  0.92	5	561	--  	      32957.28	
="600511"	国药股份	2.55	32.97	0.82	32.92	32.99	47528	23	-0.24	          1.71	32.15	33.94	32.01	32.15	    31.59	156803040	  1.09	医药商业	北京	6.00	32.99	19069	28459	  0.67	97	7	--  	      27764.33	
="603128"	华贸物流	2.45	15.49	0.37	15.48	15.49	106574	22	0.64	          6.66	15.33	16.19	15.25	15.12	    58.12	167153840	  1.51	仓储物流	上海	6.22	15.68	53205	53368	  1.00	51	18	--  	      16000.00	
="002024"	苏宁云商	2.03	9.53	0.19	9.52	9.53	2836742	26188	0.21	          5.74	9.32	9.84	9.29	9.34	--  	2710645760	  1.60	电器连锁	江苏	5.89	9.56	1264308	1572434	  0.80	13503	2215	--  	     494071.41	
="600779"	水井坊	1.94	10.49	0.20	10.48	10.49	308483	194	0.67	         10.45	10.33	10.75	10.00	10.29	--  	321298848	  1.87	白酒	四川	7.29	10.42	142139	166344	  0.85	47	116	--  	      29532.34	
="600335"	国机汽车	1.72	20.67	0.35	20.64	20.65	101145	3	0.09	          1.81	20.84	21.40	19.79	20.32	    15.56	207957840	  1.12	汽车配件	天津	7.92	20.56	45556	55589	  0.82	388	14	--  	      56000.46	
