代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="600029"	南方航空	10.11	4.14	0.38	4.14	--  	3558599	100	0.00	          5.07	4.07	4.14	4.02	3.76	    24.27	1465782528	  3.30	空运	广东	3.19	4.12	1914739	1643860	  1.16	218793	0	--  	     702265.00	
="601998"	中信银行	10.09	6.11	0.56	6.11	--  	4184033	5	0.00	          1.31	5.59	6.11	5.59	5.55	     6.64	2494598144	  2.49	银行	北京	9.37	5.96	2511619	1672414	  1.50	131714	0	--  	    3190516.50	
="165508"	信诚深度	10.03	1.360	0.124	1.265	1.360	295	2	0.00	          1.78	1.266	1.360	1.263	1.236	--  	38244	0.00			7.85	1.296	198	97	  2.04	8	88	--  	        165.55	
="002142"	宁波银行	10.02	13.61	1.24	13.61	--  	1272520	14669	0.00	          4.43	12.30	13.61	12.15	12.37	     7.24	1653096832	  1.71	银行	浙江	11.80	12.99	557040	715479	  0.78	14719	0	--  	     287241.59	
="600221"	海南航空	10.00	2.86	0.26	2.86	--  	12116617	1165	0.00	         10.26	2.78	2.86	2.75	2.60	    13.84	3424391936	  3.85	空运	海南	4.23	2.83	5846656	6269960	  0.93	157179	0	--  	    1181206.38	
="002315"	焦点科技	10.00	65.35	5.94	65.35	--  	55701	66	0.00	          9.25	59.58	65.35	59.55	59.41	    61.40	352728832	  1.42	互联网	江苏	9.76	63.33	26531	29170	  0.91	7825	0	--  	       6021.45	
="000001"	平安银行	9.99	12.44	1.13	12.44	--  	4844840	28586	0.00	          4.93	11.27	12.44	11.18	11.31	     6.79	5793392128	  2.62	银行	深圳	11.14	11.96	2085497	2759342	  0.76	28338	0	--  	     983671.19	
="150092"	诺德300A	9.99	1.178	0.107	1.178	--  	4461	21	0.00	         28.22	1.018	1.178	1.018	1.071	--  	502872	  1.55			14.94	1.127	1165	3296	  0.35	515	0	--  	        158.11	
="601111"	中国国航	9.98	5.62	0.51	5.62	--  	2249297	25	0.00	          2.70	5.51	5.62	5.46	5.11	    17.47	1257968768	  2.99	空运	北京	3.13	5.59	1401052	848244	  1.65	91485	0	--  	     832927.13	
="000750"	国海证券	9.98	14.88	1.35	14.88	--  	2696886	20941	0.00	         13.36	14.00	14.88	13.85	13.53	    55.40	3910288384	  1.81	证券	广西	7.61	14.50	1470741	1226144	  1.20	21130	0	--  	     201821.09	
="000024"	招商地产	9.97	16.98	1.54	16.98	--  	1148813	875	0.00	         11.19	15.41	16.98	15.10	15.44	    14.64	1852818048	  1.17	全国地产	深圳	12.18	16.13	603160	545653	  1.11	37959	0	--  	     102629.85	
="600016"	民生银行	8.59	7.33	0.58	7.33	7.34	12591342	15866	0.00	          4.65	6.78	7.35	6.76	6.75	     5.09	8921138176	  2.78	银行	北京	8.74	7.09	5775093	6816249	  0.85	16238	107	--  	    2710607.50	
="000947"	内地银行	8.17	4408.11	333.10	--  	--  	116478560	--  	-0.10	--  	4083.89	4414.76	4071.09	4075.01	--  	77022863360	  2.73			8.43	4075.01	--  	--  	--  	--  	--  	--  	--  	
="399947"	内地银行	8.17	4408.11	333.10	--  	--  	116478560	--  	-0.13	--  	4083.89	4414.76	4071.09	4075.01	--  	77022863360	  2.73			8.43	4075.01	--  	--  	--  	--  	--  	--  	--  	
="000951"	300银行	8.15	4258.82	321.08	--  	--  	116478560	--  	-0.10	--  	3946.27	4265.32	3934.20	3937.74	--  	77022863360	  2.73			8.41	3937.74	--  	--  	--  	--  	--  	--  	--  	
="399951"	300银行	8.15	4258.82	321.08	--  	--  	116478560	--  	-0.13	--  	3946.27	4265.32	3934.20	3937.74	--  	77022863360	  2.73			8.41	3937.74	--  	--  	--  	--  	--  	--  	--  	
="601988"	中国银行	8.12	3.33	0.25	3.33	3.34	9825207	9405	0.30	          0.50	3.08	3.33	3.07	3.08	     6.08	3172178944	  2.92	银行	北京	8.44	3.23	4531314	5293893	  0.86	8382	30300	--  	   19591296.00	
