代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="601818"	光大银行	10.14	3.80	0.35	3.80	--  	14555321	300	0.00	          3.66	3.51	3.80	3.43	3.45	     5.70	5341157376	  2.41	银行	北京	10.72	3.67	6773697	7781623	  0.87	509613	0	--  	    3981036.00	
="600029"	南方航空	10.11	4.14	0.38	4.14	--  	3558599	100	0.00	          5.07	4.07	4.14	4.02	3.76	    24.27	1465782528	  3.30	空运	广东	3.19	4.12	1914739	1643860	  1.16	218793	0	--  	     702265.00	
="601328"	交通银行	10.10	5.34	0.49	5.34	--  	9617226	365	0.00	          2.94	4.88	5.34	4.84	4.85	     5.77	4947163648	  2.79	银行	上海	10.31	5.14	4478531	5138695	  0.87	273417	0	--  	    3270905.25	
="601998"	中信银行	10.09	6.11	0.56	6.11	--  	4184033	5	0.00	          1.31	5.59	6.11	5.59	5.55	     6.64	2494598144	  2.49	银行	北京	9.37	5.96	2511619	1672414	  1.50	131714	0	--  	    3190516.50	
="600657"	信达地产	10.09	5.13	0.47	5.13	--  	596634	25	0.00	          3.91	4.64	5.13	4.62	4.66	    23.38	291116864	  1.84	全国地产	北京	10.94	4.88	258940	337693	  0.77	20957	0	--  	     152426.05	
="603166"	福达股份	10.06	9.19	0.84	9.19	--  	122	10	0.00	          0.03	9.19	9.19	9.19	8.35	    39.51	112118	  0.17	汽车配件	广西	0.00	9.19	111	11	 10.09	1093952	0	--  	       4350.00	
="600015"	华夏银行	10.05	10.18	0.93	10.18	--  	3972064	69	0.00	          6.12	9.28	10.18	9.21	9.25	     5.16	3884925696	  2.58	银行	北京	10.49	9.78	1821014	2151049	  0.85	95966	0	--  	     648768.69	
="600415"	小商品城	10.05	10.73	0.98	10.73	--  	1096774	34	0.00	          4.03	9.78	10.73	9.54	9.75	    68.23	1128252416	  1.27	商品城	浙江	12.21	10.29	508042	588732	  0.86	16413	0	--  	     272160.72	
="000517"	荣安地产	10.05	9.53	0.87	9.52	9.53	251589	3925	0.00	         11.31	8.70	9.53	8.69	8.66	    27.99	232714256	  3.39	区域地产	浙江	9.70	9.25	100948	150640	  0.67	84	3888	--  	      22250.24	
="600289"	亿阳信通	10.04	11.62	1.06	11.62	--  	624776	15	0.00	         11.01	10.86	11.62	10.77	10.56	  1285.54	712525824	  2.84	软件服务	黑龙江	8.05	11.40	454008	170768	  2.66	76593	0	--  	      56737.87	
="600547"	山东黄金	10.03	18.21	1.66	18.21	--  	19249	10	0.00	          0.14	18.21	18.21	18.21	16.55	    32.86	35052356	  0.09	黄金	山东	0.00	18.21	18397	851	 21.62	346743	0	--  	     142307.23	
="600291"	西水股份	10.03	18.76	1.71	18.76	--  	249827	5	0.00	          6.51	18.18	18.76	18.00	17.05	    23.52	464848992	  1.32	水泥	内蒙	4.46	18.61	177030	72797	  2.43	33042	0	--  	      38400.00	
="000713"	丰乐种业	10.03	8.56	0.78	8.56	--  	4290	1	0.00	          0.14	8.56	8.56	8.56	7.78	--  	3671863	  0.30	种植业	安徽	0.00	8.56	3692	597	  6.18	220972	0	--  	      29887.35	
="002142"	宁波银行	10.02	13.61	1.24	13.61	--  	1272520	14669	0.00	          4.43	12.30	13.61	12.15	12.37	     7.24	1653096832	  1.71	银行	浙江	11.80	12.99	557040	715479	  0.78	14719	0	--  	     287241.59	
="000939"	凯迪电力	10.02	9.99	0.91	9.99	--  	13447	8	0.00	          0.14	9.99	9.99	9.99	9.08	    54.03	13433223	  0.09	火力发电	湖北	0.00	9.99	12070	1376	  8.77	222966	0	--  	      94032.74	
="600115"	东方航空	10.02	5.27	0.48	5.27	--  	3170822	6	0.00	          4.07	5.27	5.27	5.13	4.79	    24.34	1662133760	  3.27	空运	上海	2.92	5.24	1885646	1285176	  1.47	133113	0	--  	     778221.38	
="300339"	润和软件	10.02	27.24	2.48	27.24	--  	102948	42	0.00	          7.98	24.17	27.24	24.17	24.76	    97.70	270714144	  2.41	软件服务	江苏	12.40	26.30	46327	56620	  0.82	4543	0	--  	      12895.58	
="603019"	中科曙光	10.02	35.04	3.19	35.04	--  	4671	5	0.00	          0.62	35.04	35.04	35.04	31.85	   266.24	16368060	  1.77	电脑设备	天津	0.00	35.04	4215	456	  9.24	163510	0	--  	       7500.00	
="000636"	风华高科	10.01	9.34	0.85	9.34	--  	644000	327	0.00	          9.60	8.85	9.34	8.73	8.49	    89.82	589712896	  2.92	元器件	广东	7.18	9.16	313533	330466	  0.95	45575	0	--  	      67093.63	
="601216"	内蒙君正	10.01	10.44	0.95	10.44	--  	691518	56	0.00	          3.38	9.60	10.44	9.45	9.49	    26.81	692316416	  1.08	化工原料	内蒙	10.43	10.01	365703	325815	  1.12	189025	0	--  	     204800.00	
="000158"	常山股份	10.01	11.21	1.02	11.21	--  	408135	20	0.00	          5.68	10.44	11.21	10.26	10.19	--  	446948992	  2.08	纺织	河北	9.32	10.95	193941	214193	  0.91	40424	0	--  	      71886.10	
="300399"	京天利	10.01	63.88	5.81	63.88	--  	73737	82	0.00	         36.87	60.66	63.88	59.50	58.07	   141.36	458078304	  2.40	互联网	北京	7.54	62.12	33080	40656	  0.81	500	0	--  	       2000.00	
="300377"	赢时胜	10.01	63.77	5.80	63.77	--  	61727	7	0.00	         22.28	58.14	63.77	56.80	57.97	   594.08	372828128	  1.18	软件服务	深圳	12.02	60.40	32261	29466	  1.09	1724	0	--  	       2770.00	
="002657"	中科金财	10.00	64.99	5.91	64.99	--  	48232	33	0.00	          7.55	58.84	64.99	56.70	59.08	   150.79	299754208	  1.24	软件服务	北京	14.03	62.15	23462	24769	  0.95	516	0	--  	       6384.43	
="300348"	长亮科技	10.00	102.49	9.32	102.48	102.49	10503	247	0.03	          8.08	96.80	102.49	95.01	93.17	   211.51	104700536	  1.29	软件服务	深圳	8.03	99.68	4690	5813	  0.81	177	853	--  	       1300.00	
="300085"	银之杰	10.00	44.87	4.08	44.87	--  	35255	2	0.00	          2.83	40.43	44.87	40.33	40.79	  2408.13	152954912	  0.89	软件服务	深圳	11.13	43.39	15565	19689	  0.79	3785	0	--  	      12456.71	
="600221"	海南航空	10.00	2.86	0.26	2.86	--  	12116617	1165	0.00	         10.26	2.78	2.86	2.75	2.60	    13.84	3424391936	  3.85	空运	海南	4.23	2.83	5846656	6269960	  0.93	157179	0	--  	    1181206.38	
="600200"	江苏吴中	10.00	13.09	1.19	13.09	--  	18060	1	0.00	          0.35	13.09	13.09	13.09	11.90	   270.24	23640528	  0.16	生物制药	江苏	0.00	13.09	16237	1822	  8.91	96531	0	--  	      52208.92	
="300279"	和晶科技	10.00	30.47	2.77	30.47	--  	87926	34	0.00	         15.48	27.19	30.47	26.70	27.70	   149.66	254682208	  1.13	元器件	江苏	13.61	28.97	42840	45086	  0.95	2849	0	--  	       5679.60	
="300178"	腾邦国际	10.00	35.53	3.23	35.53	--  	105809	42	0.00	          6.81	32.40	35.53	32.18	32.30	    69.09	369801664	  0.98	旅游服务	深圳	10.37	34.95	58380	47429	  1.23	24112	0	--  	      15548.70	
="002667"	鞍重股份	10.00	39.82	3.62	39.82	--  	35217	60	0.00	         12.59	36.05	39.82	36.01	36.20	    59.00	136290368	  1.79	工程机械	辽宁	10.52	38.70	18748	16469	  1.14	9596	0	--  	       2798.00	
="002496"	辉丰股份	10.00	24.53	2.23	24.53	--  	224604	35	0.00	         12.17	23.55	24.53	23.23	22.30	    37.45	541786240	  2.94	农药化肥	江苏	5.83	24.12	100783	123821	  0.81	17102	0	--  	      18456.77	
="000622"	恒立实业	10.00	9.24	0.84	9.24	--  	168284	1053	0.00	          6.16	8.40	9.24	8.30	8.40	--  	150113872	  1.31	汽车配件	湖南	11.19	8.92	75489	92794	  0.81	1865	0	--  	      27320.35	
="002315"	焦点科技	10.00	65.35	5.94	65.35	--  	55701	66	0.00	          9.25	59.58	65.35	59.55	59.41	    61.40	352728832	  1.42	互联网	江苏	9.76	63.33	26531	29170	  0.91	7825	0	--  	       6021.45	
="300233"	金城医药	10.00	41.92	3.81	41.92	--  	39261	1111	0.02	          3.24	38.70	41.92	38.01	38.11	    52.12	159479504	  2.77	化学制药	山东	10.26	40.62	16450	22811	  0.72	595	0	--  	      12100.00	
="603169"	兰石重装	10.00	26.08	2.37	26.08	--  	565924	203	0.00	         56.59	22.45	26.08	22.08	23.71	   243.05	1348160512	  1.51	专用机械	甘肃	16.87	23.82	276144	289779	  0.95	3032	0	--  	      10000.00	
="603011"	合锻股份	10.00	25.64	2.33	25.64	--  	11161	2	0.00	          2.48	25.64	25.64	25.64	23.31	   172.42	28617804	  2.21	机床制造	安徽	0.00	25.64	9911	1250	  7.93	77107	0	--  	       4500.00	
="300326"	凯利泰	9.99	34.34	3.12	34.34	--  	34873	17	0.00	          6.94	34.34	34.34	34.34	31.22	   104.70	119755392	  3.23	医疗保健	上海	0.00	34.34	34861	12	2905.08	14720	0	--  	       5025.00	
="600061"	中纺投资	9.99	15.19	1.38	15.19	--  	30765	20	0.00	          0.72	15.19	15.19	15.19	13.81	--  	46731292	  4.58	化纤	上海	0.00	15.19	29597	1167	 25.36	171881	0	--  	      42908.28	
="300033"	同花顺	9.99	53.72	4.88	53.72	--  	102709	143	0.00	          7.89	49.01	53.72	46.60	48.84	   504.56	525113792	  1.11	软件服务	浙江	14.58	51.13	46112	56596	  0.81	12588	0	--  	      13013.05	
="000001"	平安银行	9.99	12.44	1.13	12.44	--  	4844840	28586	0.00	          4.93	11.27	12.44	11.18	11.31	     6.79	5793392128	  2.62	银行	深圳	11.14	11.96	2085497	2759342	  0.76	28338	0	--  	     983671.19	
