代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本	
="000825"	太钢不锈	10.14	4.02	0.37	4.02	--  	2553009	11812	          0.00	          4.48	3.58	4.02	3.55	3.65	    29.76	1000436992	  2.49	特钢	山西	12.88	3.92	1344232	1208777	  1.11	44397	0	--  	     569598.31	
="601718"	际华集团	10.06	5.25	0.48	5.25	--  	1299649	10	          0.00	          3.37	4.88	5.25	4.84	4.77	    19.20	668856768	  1.10	服饰	北京	 8.60	5.15	800467	499182	  1.60	331963	0	--  	     385700.00	
="600917"	重庆燃气	10.06	7.55	0.69	7.55	--  	14298	1	          0.00	          0.92	7.55	7.55	7.55	6.86	    31.99	10795730	  2.98	供气供热	重庆	 0.00	7.55	11530	2768	  4.17	216737	0	--  	      15600.00	
="000820"	金城股份	10.05	8.32	0.76	8.32	--  	1393	14	          0.00	          0.06	8.32	8.32	8.32	7.56	   360.11	1159467	  0.07	造纸	辽宁	 0.00	8.32	1338	55	 24.33	244093	0	--  	      22087.72	
="000158"	常山股份	10.05	9.64	0.88	9.64	--  	18017	366	          0.00	          0.25	9.64	9.64	9.64	8.76	--  	17368416	  2.42	纺织	河北	 0.00	9.64	14513	3504	  4.14	130863	0	--  	      71886.10	
="002730"	电光科技	10.03	15.47	1.41	15.47	--  	453	5	          0.00	          0.12	15.47	15.47	15.47	14.06	    43.57	701224	  0.94	电气设备	浙江	 0.00	15.47	404	49	  8.24	92114	0	--  	       3667.00	
="300402"	宝色股份	10.03	7.79	0.71	7.79	--  	202	15	          0.00	          0.04	7.79	7.79	7.79	7.08	    36.28	157358	  0.42	专用机械	江苏	 0.00	7.79	180	22	  8.18	217269	0	--  	       5100.00	
="000560"	昆百大Ａ	10.02	14.93	1.36	14.93	--  	165215	20	          0.00	         17.68	14.93	14.93	14.89	13.57	    21.85	246642256	  4.33	百货	云南	 0.29	14.93	58403	106812	  0.55	61641	0	--  	       9346.40	
="300066"	三川股份	10.02	15.59	1.42	15.59	--  	3280	11	          0.00	          0.14	15.59	15.59	15.59	14.17	    37.46	5114409	  0.12	电器仪表	江西	 0.00	15.59	2960	320	  9.25	55799	0	--  	      23132.42	
="600053"	中江地产	10.02	10.98	1.00	10.98	--  	77183	103	          0.00	          1.78	9.98	10.98	9.98	9.98	   132.69	80612112	  1.37	区域地产	江西	10.02	10.44	30577	46606	  0.66	4501	0	--  	      43354.07	
="600647"	同达创业	10.02	16.80	1.53	16.80	--  	1981	1	          0.00	          0.14	16.80	16.80	16.80	15.27	--  	3328130	  0.13	综合类	上海	 0.00	16.80	1929	52	 37.10	36063	0	--  	      13914.36	
="601608"	中信重工	10.02	5.82	0.53	5.82	--  	1086973	5	          0.00	         14.44	5.26	5.82	5.22	5.29	    29.82	618109312	  1.00	专用机械	河南	11.34	5.69	784682	302291	  2.60	263542	0	--  	      75268.29	
="300349"	金卡股份	10.02	28.23	2.57	28.23	--  	68207	151	          0.00	         15.16	28.23	28.23	26.94	25.66	    36.38	192075312	  3.02	电器仪表	浙江	 5.03	28.16	55167	13040	  4.23	5224	0	--  	       4500.00	
="000065"	北方国际	10.01	18.13	1.65	18.13	--  	110282	32	          0.00	          4.35	17.05	18.13	17.05	16.48	    56.75	196358272	  2.72	建筑施工	深圳	 6.55	17.81	64789	45493	  1.42	33859	0	--  	      25340.18	
="603018"	设计股份	10.01	51.10	4.65	51.10	--  	254	10	          0.00	          0.10	51.10	51.10	51.10	46.45	    31.85	1297940	  0.53	建筑施工	江苏	 0.00	51.10	203	51	  3.98	41184	0	--  	       2600.00	
="300399"	京天利	10.01	21.44	1.95	21.44	--  	157	1	          0.00	          0.08	21.44	21.44	21.44	19.49	    42.23	337144	0.00	互联网	北京	 0.00	21.44	149	8	 18.63	67696	0	--  	       2000.00	
="600120"	浙江东方	10.00	16.50	1.50	16.50	--  	640408	10	          0.00	         12.67	15.30	16.50	15.25	15.00	    14.27	1040984064	  1.95	商贸代理	浙江	 8.33	16.25	401743	238665	  1.68	122172	0	--  	      50547.33	
="600862"	南通科技	10.00	10.45	0.95	10.45	--  	15165	2	          0.00	          0.24	10.45	10.45	10.45	9.50	--  	15847927	  0.97	全国地产	江苏	 0.00	10.45	13618	1547	  8.80	408716	0	--  	      63792.85	
="300401"	花园生物	9.99	13.43	1.22	13.43	--  	169	5	          0.00	          0.07	13.43	13.43	13.43	12.21	    40.97	226967	  0.70	食品	浙江	 0.00	13.43	150	19	  7.89	114840	0	--  	       2270.00	
="300378"	鼎捷软件	9.99	37.21	3.38	37.21	--  	92174	135	          0.00	         23.63	33.96	37.21	33.93	33.83	    78.51	338650656	  2.10	软件服务	上海	 9.70	36.74	61013	31161	  1.96	6814	0	--  	       3900.00	
="300398"	飞凯材料	9.99	34.79	3.16	34.79	--  	190	18	          0.00	          0.10	34.79	34.79	34.79	31.63	    36.99	661010	0.00	染料涂料	上海	 0.00	34.79	164	26	  6.31	32973	0	--  	       2000.00	
="603456"	九洲药业	9.98	26.88	2.44	26.88	--  	626	10	          0.00	          0.12	26.88	26.88	26.88	24.44	    37.14	1682688	  0.87	化学制药	浙江	 0.00	26.88	596	30	 19.87	62877	0	--  	       5196.00	
="000411"	英特集团	9.98	19.50	1.77	19.50	--  	115565	3815	          0.05	          5.68	17.76	19.50	17.30	17.73	    61.19	213799840	  1.89	医药连锁	浙江	12.41	18.50	54342	61223	  0.89	10604	0	--  	      20363.83	
="600753"	东方银星	9.98	16.42	1.49	16.42	--  	106674	10	          0.00	          8.33	15.69	16.42	15.00	14.93	--  	168837776	  6.35	批发业	河南	 9.51	15.83	60942	45732	  1.33	3192	0	--  	      12800.00	
