代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="603088"	N精达	43.99	12.34	3.77	12.34	--  	219	10	          0.00	          0.11	10.28	12.34	10.28	8.57	    29.92	270040	0.00	专用机械	浙江	24.04	
="601988"	中国银行	10.14	3.15	0.29	3.15	--  	9860341	91	          0.00	          0.50	2.92	3.15	2.92	2.86	     5.76	3067559168	  8.79	银行	北京	 8.04	
="000972"	新中基	10.08	5.68	0.52	5.68	--  	736432	1184	          0.00	          9.55	5.16	5.68	5.12	5.16	--  	410603680	  5.70	食品	新疆	10.85	
="000833"	贵糖股份	10.04	10.08	0.92	10.07	10.08	401867	5384	          0.00	         13.57	9.28	10.08	9.28	9.16	--  	396041920	  6.29	造纸	广西	 8.73	
="601003"	柳钢股份	10.03	3.84	0.35	3.84	--  	1028108	81	          0.00	          4.01	3.70	3.84	3.67	3.49	    36.17	392862080	  4.00	普钢	广西	 4.87	
="002413"	常发股份	10.02	18.00	1.64	18.00	--  	274817	107	          0.00	         12.46	18.00	18.00	17.50	16.36	    88.31	492481184	 29.36	机械基件	江苏	 3.06	
="603688"	石英股份	10.02	18.11	1.65	18.11	--  	3335	10	          0.00	          0.60	18.11	18.11	18.11	16.46	    65.35	6039685	  4.63	矿物制品	江苏	 0.00	
="300033"	同花顺	10.02	30.53	2.78	30.53	--  	147740	174	          0.00	         11.35	28.38	30.53	28.25	27.75	   286.75	431230816	  2.35	软件服务	浙江	 8.22	
="600917"	重庆燃气	10.02	13.18	1.20	13.18	--  	679882	14	          0.00	         43.58	12.30	13.18	11.86	11.98	    57.70	876958656	  1.31	供气供热	重庆	11.02	
="603988"	中电电机	10.01	34.51	3.14	34.51	--  	884	5	          0.00	          0.44	34.51	34.51	34.51	31.37	    48.52	3050684	  3.68	电气设备	江苏	 0.00	
="300403"	地尔汉宇	10.01	59.58	5.42	59.58	--  	80677	117	          0.00	         23.73	59.58	59.58	58.58	54.16	    63.35	480094592	 67.23	电气设备	广东	 1.85	
="300405"	科隆精化	10.00	50.80	4.62	50.80	--  	2537	63	          0.00	          1.49	50.80	50.80	50.80	46.18	    65.85	12890094	  5.29	化工原料	辽宁	 0.00	
="300406"	九强生物	10.00	44.21	4.02	44.21	--  	285	1	          0.00	          0.12	44.21	44.21	44.21	40.19	    26.49	1261842	0.00	化学制药	北京	 0.00	
="300134"	大富科技	10.00	44.54	4.05	44.54	--  	188497	475	          0.00	          5.36	44.54	44.54	43.70	40.49	    26.61	838949184	  4.27	通信设备	深圳	 2.07	
="601015"	陕西黑猫	10.00	12.98	1.18	12.98	--  	2924	10	          0.00	          0.24	12.98	12.98	12.98	11.80	    45.49	3795352	  3.05	焦炭加工	陕西	 0.00	
="300391"	康跃科技	10.00	43.23	3.93	43.23	--  	52535	8	          0.00	         31.51	39.28	43.23	39.06	39.30	   106.24	220934560	  2.74	机械基件	山东	10.61	
="601016"	节能风电	10.00	13.31	1.21	13.31	--  	569888	1	          0.00	         32.06	12.70	13.31	12.55	12.10	   193.13	750060928	  1.09	新型电力	北京	 6.28	
="300398"	飞凯材料	10.00	71.63	6.51	71.63	--  	72244	60	          0.00	         36.12	66.16	71.63	65.30	65.12	    63.71	494424128	  1.71	染料涂料	上海	 9.72	
="002706"	良信电器	9.99	65.04	5.91	65.04	--  	89894	338	          0.13	         41.73	59.65	65.04	59.51	59.13	    50.56	570335040	  2.68	电气设备	上海	 9.35	
="002731"	萃华珠宝	9.98	27.65	2.51	27.65	--  	909	17	          0.00	          0.24	27.65	27.65	27.65	25.14	    33.18	2513385	  3.79	服饰	辽宁	 0.00	
="002724"	海洋王	9.98	20.60	1.87	20.60	--  	1519	60	          0.00	          0.30	20.60	20.60	20.60	18.73	    69.69	3130191	  6.33	半导体	深圳	 0.00	
="002027"	七喜控股	9.98	10.25	0.93	10.25	--  	214468	1374	          0.00	         10.54	9.30	10.25	9.11	9.32	  2264.42	212572720	  3.84	电脑设备	广东	12.23	
="603019"	中科曙光	9.98	10.14	0.92	10.14	--  	205	10	          0.00	          0.03	10.14	10.14	10.14	9.22	    77.04	207870	  0.85	电脑设备	天津	 0.00	
="002729"	好利来	9.96	49.59	4.49	49.59	49.60	53015	1187	         -0.04	         31.78	44.90	49.61	43.20	45.10	    84.12	244294064	  1.47	元器件	福建	14.21	
="600022"	山东钢铁	9.95	2.32	0.21	2.32	--  	117079	100	          0.00	          0.22	2.32	2.32	2.32	2.11	--  	27162532	  0.43	普钢	山东	 0.00	
="603011"	合锻股份	9.94	7.41	0.67	7.41	--  	146	10	          0.00	          0.03	7.41	7.41	7.41	6.74	    49.83	108186	  0.61	机床制造	安徽	 0.00	
="000090"	天健集团	9.60	11.19	0.98	11.18	11.19	649907	4832	          0.08	         11.76	10.81	11.23	10.64	10.21	    34.20	718401280	  4.69	建筑施工	深圳	 5.78	
="601918"	国投新集	8.52	4.97	0.39	4.97	4.98	2166762	5	          0.81	          8.36	4.67	5.04	4.67	4.58	--  	1067125504	  3.32	煤炭开采	安徽	 8.08	
="002231"	奥维通信	7.52	11.30	0.79	11.29	11.30	289017	4863	          0.17	         14.19	10.43	11.56	10.11	10.51	--  	313809088	  2.69	通信设备	辽宁	13.80	
="600077"	宋都股份	7.39	6.10	0.42	6.09	6.10	416239	339	          0.16	          3.82	5.72	6.11	5.68	5.68	   813.67	243174992	  1.69	全国地产	浙江	 7.57	
="600155"	宝硕股份	7.29	7.95	0.54	7.95	7.96	390471	245	          0.50	          9.47	7.42	8.03	7.40	7.41	--  	304917664	  4.83	化工原料	河北	 8.50	
="600359"	新农开发	7.22	11.28	0.76	11.28	11.30	363601	10	          0.00	         11.33	10.52	11.57	10.52	10.52	--  	409957600	  2.50	农业综合	新疆	 9.98	
="300390"	天华超净	7.03	44.30	2.91	44.29	44.30	45074	1007	          0.22	         28.93	41.90	44.34	40.85	41.39	    86.80	193026768	  2.47	电脑设备	江苏	 8.43	
="601901"	方正证券	6.94	7.24	0.47	7.24	7.25	6072804	617	         -0.41	          9.96	7.12	7.45	7.04	6.77	    30.16	4429776384	  2.10	证券	湖南	 6.06	
="300401"	花园生物	6.75	52.20	3.30	52.19	52.20	100924	2317	          0.96	         44.46	48.00	52.20	47.00	48.90	   144.83	505783392	  1.03	食品	浙江	10.63	
="600208"	新湖中宝	6.59	4.53	0.28	4.53	4.54	1555337	80	         -0.22	          2.49	4.27	4.68	4.22	4.25	    47.70	711154112	  3.92	全国地产	浙江	10.82	
="002719"	麦趣尔	6.28	38.40	2.27	38.40	38.41	75487	1191	          0.39	         32.96	36.90	39.74	36.90	36.13	    70.51	289998976	  3.08	乳制品	新疆	 7.86	
="002606"	大连电瓷	6.28	16.75	0.99	16.74	16.75	183285	4704	         -0.05	         15.21	15.80	16.78	15.58	15.76	   151.94	298882880	  2.78	电气设备	辽宁	 7.61	
="600833"	第一医药	6.28	13.71	0.81	13.72	13.73	142793	10	          0.21	          6.40	12.90	13.77	12.83	12.90	    78.77	191131728	  5.56	医药连锁	上海	 7.29	
="600084"	中葡股份	6.10	5.57	0.32	5.57	5.58	299704	162	          0.54	          3.70	5.25	5.59	5.16	5.25	--  	161936768	  3.54	红黄药酒	新疆	 8.19	
="600146"	大元股份	6.09	14.81	0.85	14.80	14.83	176070	100	          1.43	          8.80	13.96	15.10	13.80	13.96	--  	255085536	  2.11	塑料	宁夏	 9.31	
="601328"	交通银行	6.08	4.71	0.27	4.71	4.72	6163350	5	         -0.42	          1.88	4.48	4.88	4.47	4.44	     5.09	2882455040	  4.34	银行	上海	 9.23	
="300103"	达刚路机	5.85	22.08	1.22	22.05	22.08	133684	2198	         -0.04	          8.62	20.80	22.20	20.48	20.86	    80.62	286367136	  1.97	工程机械	陕西	 8.25	
="600064"	南京高科	5.68	15.63	0.84	15.64	15.65	213255	5	          0.19	          4.13	14.85	16.21	14.85	14.79	    20.43	332077664	  2.86	园区开发	江苏	 9.20	
="300331"	苏大维格	5.64	41.20	2.20	41.18	41.20	25555	262	          0.12	          4.65	37.99	42.00	37.99	39.00	   219.48	100402104	  2.60	元器件	江苏	10.28	
="603006"	联明股份	5.62	42.47	2.26	42.46	42.49	74489	21	          0.71	         37.24	40.12	43.50	40.00	40.21	    51.02	311881056	  1.78	汽车配件	上海	 8.70	
="002205"	国统股份	5.51	19.52	1.02	19.52	19.53	176042	1651	          0.61	         15.16	19.51	20.35	19.10	18.50	    44.24	349214016	  3.74	其他建材	新疆	 6.76	
="000681"	视觉中国	5.50	23.00	1.20	23.00	23.01	46233	1382	          0.43	          3.26	21.78	23.00	21.78	21.80	   164.48	103252256	  1.66	软件服务	江苏	 5.60	
="601288"	农业银行	5.49	2.69	0.14	2.69	2.70	12881039	101	          0.37	          0.45	2.56	2.77	2.56	2.55	     4.30	3440600576	  4.16	银行	北京	 8.24	
="600211"	西藏药业	5.40	43.52	2.23	43.59	43.60	26598	10	          0.04	          2.33	41.02	43.59	41.00	41.29	   154.02	113224408	  1.29	中成药	西藏	 6.27	
="600295"	鄂尔多斯	5.38	9.41	0.48	9.38	9.39	401959	53	         -0.42	          6.57	9.82	9.82	9.10	8.93	    27.50	379750144	 36.41	服饰	内蒙	 8.06	
="601118"	海南橡胶	5.15	8.99	0.44	8.99	9.00	2886331	320	         -0.66	          7.34	8.67	9.23	8.54	8.55	  3269.67	2572226304	  1.93	橡胶	海南	 8.07	
="601225"	陕西煤业	5.09	6.19	0.30	6.19	6.20	1342835	257	         -0.32	         26.86	5.90	6.48	5.86	5.89	    50.29	839094656	  3.54	煤炭开采	陕西	10.53	
="002160"	*ST常铝	5.05	6.87	0.33	6.87	--  	2336	11	          0.00	          0.07	6.87	6.87	6.87	6.54	   116.65	1605189	  0.02	铝	江苏	 0.00	
="601700"	风范股份	5.02	17.35	0.83	17.36	17.38	152416	14	          0.28	          6.46	16.60	17.81	16.54	16.52	    35.13	264680928	  3.97	电气设备	江苏	 7.69	
="600809"	山西汾酒	4.92	18.99	0.89	19.02	19.07	427248	47	          0.58	          4.93	18.40	19.60	18.40	18.10	    30.94	810565312	  3.50	白酒	山西	 6.63	
="002633"	申科股份	4.83	20.82	0.96	20.81	20.82	39246	523	          0.00	          6.28	19.86	21.43	19.80	19.86	--  	80959120	  2.07	机械基件	浙江	 8.21	
="002727"	一心堂	4.70	48.15	2.16	48.14	48.15	125535	1922	          0.08	         19.28	45.72	49.49	45.72	45.99	    41.71	602665216	  3.37	医药连锁	云南	 8.20	
="600098"	广州发展	4.65	6.30	0.28	6.32	6.33	397120	99	          2.60	          1.63	6.10	6.33	5.99	6.02	    12.77	242418864	  1.56	火力发电	广东	 5.65	
="002107"	沃华医药	4.62	23.10	1.02	23.09	23.10	35398	267	          0.13	          4.71	22.25	23.30	22.09	22.08	   189.22	80801232	  2.42	中成药	山东	 5.48	
="300393"	中来股份	4.59	50.60	2.22	50.59	50.60	62350	1022	          0.39	         26.54	48.00	50.77	47.05	48.38	    49.60	305067456	  1.38	塑料	江苏	 7.69	
="300081"	恒信移动	4.37	18.87	0.79	18.87	18.88	75466	883	          0.00	          8.91	18.25	18.99	17.81	18.08	--  	138718176	  2.64	通信设备	河北	 6.53	
="002074"	东源电器	4.35	17.29	0.72	17.29	17.30	336907	4242	          0.00	         15.10	16.53	18.08	16.45	16.57	   118.63	575752768	  4.27	电气设备	江苏	 9.84	
="000069"	华侨城Ａ	4.33	5.78	0.24	5.78	5.79	2106948	10200	          0.52	          6.77	5.56	6.03	5.54	5.54	    11.20	1213859456	  2.49	旅游景点	深圳	 8.84	
="000911"	南宁糖业	4.25	10.30	0.42	10.29	10.30	158157	1162	         -0.09	          5.52	9.93	10.65	9.87	9.88	--  	161700928	  2.75	食品	广西	 7.89	
="601377"	兴业证券	4.25	8.59	0.35	8.60	8.61	7975488	23	          0.46	         16.08	8.30	8.90	8.05	8.24	    30.91	6791932928	  1.93	证券	福建	10.32	
="600312"	平高电气	4.19	14.68	0.59	14.66	14.67	609601	34	          0.06	          7.44	14.15	15.05	13.63	14.09	    29.45	883005888	  1.94	电气设备	河南	10.08	
="002337"	赛象科技	4.13	18.39	0.73	18.39	18.40	35806	1094	          0.05	          1.94	17.63	18.40	17.51	17.66	    78.38	64257252	  2.04	化工机械	天津	 5.04	
="002162"	斯米克	4.11	8.86	0.35	8.85	8.86	243557	4001	          0.00	          5.83	8.55	8.89	8.21	8.51	   382.03	210358848	  1.66	陶瓷	上海	 7.99	
="000952"	广济药业	4.11	13.69	0.54	13.68	13.69	144515	1426	          0.00	          5.74	13.16	13.81	12.92	13.15	--  	194311328	  3.20	化学制药	湖北	 6.77	
