代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
="002732"	N燕塘	44.03	14.59	4.46	14.59	--  	496	5	0.00	          0.13	13.38	14.59	13.38	10.13	    26.60	723422	0.00	乳制品	广东	11.94	14.59	494	2	247.00	320217	0	--  	
="603998"	N方盛	43.97	21.38	6.53	21.38	--  	324	10	0.00	          0.12	17.82	21.38	17.82	14.85	    27.63	689152	0.00	化学制药	湖南	23.97	21.27	319	5	 63.80	117168	0	--  	
="600163"	福建南纸	10.08	5.57	0.51	5.57	--  	6926	10	0.00	          0.10	5.57	5.57	5.57	5.06	--  	3857615	  0.24	造纸	福建	0.00	5.57	6473	452	 14.32	149088	0	--  	
="000516"	开元投资	10.05	10.84	0.99	10.84	--  	52034	813	0.00	          0.74	10.84	10.84	10.84	9.85	    29.39	56404812	  0.23	百货	陕西	0.00	10.84	50401	1632	 30.88	104723	0	--  	
="000835"	四川圣达	10.05	11.17	1.02	11.17	--  	15244	84	0.00	          0.50	11.17	11.17	11.17	10.15	   144.21	17027548	  4.23	软件服务	四川	0.00	11.17	14420	824	 17.50	150337	0	--  	
="002689"	博林特	10.05	11.94	1.09	11.94	--  	159766	779	0.00	          9.36	10.85	11.94	10.34	10.85	    80.19	180856272	  1.78	运输设备	辽宁	14.75	11.32	69037	90729	  0.76	1346	0	--  	
="601939"	建设银行	10.04	5.70	0.52	5.70	--  	9762901	501	0.00	         10.18	5.22	5.70	5.18	5.18	     5.62	5448354304	  2.07	银行	北京	10.04	5.58	5476914	4285986	  1.28	573168	0	--  	
="603166"	福达股份	10.04	14.80	1.35	14.80	--  	1061	5	0.00	          0.24	14.80	14.80	14.80	13.45	    63.64	1570280	0.00	汽车配件	广西	0.00	14.80	1022	39	 26.21	159184	0	--  	
="601377"	兴业证券	10.04	14.80	1.35	14.80	--  	6899591	21	0.06	         13.91	13.76	14.80	13.00	13.45	    53.26	9819043840	  1.29	证券	福建	13.38	14.23	3247831	3651759	  0.89	32593	0	--  	
="600678"	四川金顶	10.04	8.88	0.81	8.88	--  	10129	1	0.00	          0.29	8.88	8.88	8.88	8.07	--  	8994135	  0.84	水泥	四川	0.00	8.88	9611	517	 18.59	144823	0	--  	
="600480"	凌云股份	10.03	16.56	1.51	16.56	--  	423911	41	0.00	         11.72	15.12	16.56	14.20	15.05	    39.00	659253056	  2.51	汽车配件	河北	15.68	15.55	215221	208689	  1.03	13522	0	--  	
="000768"	中航飞机	10.03	17.55	1.60	17.55	--  	1572676	2067	0.00	          6.72	16.27	17.55	15.67	15.95	   750.67	2649387520	  3.34	航空	陕西	11.79	16.85	838819	733856	  1.14	180078	0	--  	
="600677"	航天通信	10.03	17.99	1.64	17.99	--  	541944	1	0.00	         13.60	16.72	17.99	15.98	16.35	--  	931855616	  3.05	通信设备	浙江	12.29	17.19	242454	299490	  0.81	11020	0	--  	
="002733"	雄韬股份	10.02	22.94	2.09	22.94	--  	191	5	0.00	          0.06	22.94	22.94	22.94	20.85	    32.60	438796	  0.80	电气设备	深圳	0.00	22.94	188	3	 62.67	73696	0	--  	
="000783"	长江证券	10.02	13.72	1.25	13.72	--  	5574642	15606	0.00	         11.75	12.96	13.72	12.45	12.47	    39.78	7410066432	  1.48	证券	湖北	10.18	13.29	2652415	2922226	  0.91	5530	0	--  	
="002544"	杰赛科技	10.02	22.84	2.08	22.84	--  	267304	62	0.00	          5.28	20.80	22.84	19.92	20.76	   206.83	588370688	  3.03	软件服务	广东	14.07	22.01	127271	140032	  0.91	3528	0	--  	
="600520"	中发科技	10.02	18.12	1.65	18.12	--  	109984	10	0.00	          9.73	16.60	18.12	16.18	16.47	--  	192718048	  3.25	机械基件	安徽	11.78	17.52	52868	57116	  0.93	2631	0	--  	
="000738"	中航动控	10.02	18.56	1.69	18.56	--  	911013	3682	0.00	          7.95	17.20	18.56	16.23	16.87	   102.66	1628124032	  4.50	航空	江苏	13.81	17.87	393066	517947	  0.76	4243	0	--  	
="000901"	航天科技	10.02	31.30	2.85	31.30	--  	416409	320	0.00	         12.87	29.19	31.30	27.70	28.45	   478.24	1249300864	  3.07	航空	黑龙江	12.65	30.00	216059	200349	  1.08	21727	0	--  	
="000750"	国海证券	10.02	18.78	1.71	18.77	18.78	3000258	23289	0.10	         14.87	17.48	18.78	16.42	17.07	    69.91	5381489664	  1.26	证券	广西	13.83	17.94	1359487	1640771	  0.83	3572	27093	--  	
="601901"	方正证券	10.02	14.17	1.29	14.17	--  	6158948	353	0.00	         10.10	13.41	14.17	12.66	12.88	    59.02	8505327104	  1.15	证券	湖南	11.72	13.81	3014374	3144574	  0.96	36562	0	--  	
