代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="600227"	赤天化	10.10	5.78	0.53	5.78	--  	754120	376	0.00	          7.93	5.26	5.78	5.23	5.25	--  	416177216	  1.78	农药化肥	贵州	10.48	5.52	401561	352559	  1.14	56255	0	--  	      95039.25	
="000068"	华控赛格	10.05	9.09	0.83	9.09	--  	210587	51	0.00	          2.35	8.38	9.09	8.30	8.26	--  	187503504	  3.07	元器件	深圳	9.56	8.90	103785	106802	  0.97	11041	0	--  	      89667.14	
="601216"	内蒙君正	10.04	12.06	1.10	12.06	--  	925825	10	0.00	          4.52	11.22	12.06	11.13	10.96	    30.97	1093590400	  1.24	化工原料	内蒙	8.49	11.81	545827	379998	  1.44	73805	0	--  	     204800.00	
="000788"	北大医药	10.03	14.26	1.30	14.26	--  	371642	760	0.00	          6.65	13.10	14.26	12.96	12.96	   113.87	507860672	  1.83	化学制药	重庆	10.03	13.67	169869	201772	  0.84	16400	0	--  	      55877.44	
="000066"	长城电脑	10.03	7.68	0.70	7.68	--  	671400	2101	0.00	          5.07	6.96	7.68	6.96	6.98	--  	501680096	  1.73	电脑设备	深圳	10.32	7.47	266727	404672	  0.66	22074	0	--  	     132357.02	
="601299"	中国北车	10.03	13.17	1.20	13.17	--  	5678083	23	0.00	          5.61	12.05	13.17	11.91	11.97	    30.59	7282767872	  1.36	运输设备	北京	10.53	12.83	2409198	3268884	  0.74	56610	0	--  	    1012608.38	
="002493"	荣盛石化	10.02	13.28	1.21	13.28	--  	128237	442	0.00	          1.26	12.11	13.28	12.06	12.07	   917.87	166757488	  4.53	化纤	浙江	10.11	13.00	75409	52827	  1.43	25325	0	--  	     101907.50	
="300411"	金盾股份	10.02	29.98	2.73	29.98	--  	49939	131	0.00	         24.97	28.00	29.98	27.49	27.25	    55.34	145718752	  0.71	专用机械	浙江	9.14	29.18	25389	24550	  1.03	10821	0	--  	       2000.00	
="300410"	正业科技	10.02	34.27	3.12	34.27	--  	82636	633	0.00	         55.09	30.65	34.27	30.25	31.15	    59.97	269149280	  1.45	电器仪表	广东	12.91	32.57	42032	40604	  1.04	130	0	--  	       1500.00	
="002279"	久其软件	10.01	31.31	2.85	31.31	--  	46412	68	0.00	          3.07	28.40	31.31	28.20	28.46	   452.11	139952496	  1.36	软件服务	北京	10.93	30.15	20464	25947	  0.79	8512	0	--  	      15107.20	
="002609"	捷顺科技	10.01	21.87	1.99	21.87	--  	148105	194	0.00	         10.79	19.80	21.87	19.80	19.88	    84.66	312788768	  1.88	软件服务	深圳	10.41	21.12	56907	91198	  0.62	13084	0	--  	      13720.08	
="002496"	辉丰股份	10.01	26.60	2.42	26.60	--  	130264	654	0.00	          7.06	23.98	26.60	23.80	24.18	    40.61	334691712	  1.58	农药化肥	江苏	11.58	25.69	63636	66627	  0.96	450	0	--  	      18456.77	
="300363"	博腾股份	10.01	72.99	6.64	72.99	--  	15535	28	0.00	          5.70	65.99	72.99	65.90	66.35	    89.36	109499000	  2.40	化学制药	重庆	10.69	70.49	5431	10103	  0.54	1281	0	--  	       2725.00	
