代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="300313"	天山生物	10.00	26.06	2.37	26.06	--  	58013	86	0.00	         13.89	23.00	26.06	21.47	23.69	   284.49	143522384	  3.78	农业综合	新疆	19.38	
="000899"	赣能股份	5.98	7.98	0.45	7.98	7.99	338518	3673	0.12	          6.10	7.49	8.27	7.40	7.53	    13.74	266283296	  2.20	火力发电	江西	11.55	
="002436"	兴森科技	5.46	36.70	1.90	36.70	36.77	44753	373	0.13	          2.92	34.53	37.38	34.08	34.80	    59.66	160873952	  1.79	元器件	深圳	9.48	
="002024"	苏宁云商	4.91	10.90	0.51	10.89	10.90	4495934	46246	-0.09	          9.10	10.25	11.31	10.19	10.39	--  	4869652992	  1.33	电器连锁	江苏	10.78	
="002078"	太阳纸业	4.35	4.56	0.19	4.56	4.57	789768	15661	0.44	          4.00	4.30	4.59	4.28	4.37	    25.04	351394912	  0.91	造纸	山东	7.09	
="000619"	海螺型材	3.02	9.88	0.29	9.87	9.88	138593	1001	0.30	          3.85	9.55	9.99	9.45	9.59	    26.00	135592784	  1.85	其他建材	安徽	5.63	
="000723"	美锦能源	2.46	8.32	0.20	8.31	8.32	139575	2115	-0.23	          7.16	8.05	8.38	8.02	8.12	   514.51	115166424	  1.54	焦炭加工	山西	4.43	
="002385"	大北农	2.39	17.98	0.42	17.97	17.98	337352	3477	0.27	          3.58	17.56	17.99	17.00	17.56	    50.41	593437888	  0.78	饲料	北京	5.64	
="300262"	巴安水务	1.93	20.60	0.39	20.59	20.60	74947	1212	0.00	          4.77	19.98	20.87	19.72	20.21	    65.70	153514272	  1.20	环境保护	上海	5.69	
="600618"	氯碱化工	1.88	9.76	0.18	9.76	9.77	94080	12	-0.10	          1.25	9.60	9.99	9.50	9.58	--  	92407928	  1.02	化工原料	上海	5.11	
="600804"	鹏博士	1.59	22.30	0.35	22.29	22.30	314392	22	0.17	          2.34	21.88	22.56	21.55	21.95	    55.13	692368640	  0.67	电信运营	四川	4.60	
="000040"	宝安地产	1.17	6.90	0.08	6.89	6.90	95010	734	0.00	          2.05	6.83	7.08	6.76	6.82	   169.82	65960552	  1.21	全国地产	深圳	4.69	
="002239"	金 飞 达	1.16	7.00	0.08	7.00	7.01	252563	2316	-0.14	          5.98	6.86	7.12	6.79	6.92	   287.03	176695344	  1.20	服饰	江苏	4.77	
="000758"	中色股份	1.00	15.10	0.15	15.10	15.11	328408	10930	0.13	          3.64	14.92	15.18	14.40	14.95	   158.37	486755136	  0.88	铅锌	北京	5.22	
="601199"	江南水务	0.89	20.36	0.18	20.33	20.39	19607	50	0.04	          0.84	20.03	20.54	19.83	20.18	    30.39	39505332	  0.64	水务	江苏	3.52	
="000416"	民生控股	0.78	10.33	0.08	10.33	10.34	140228	1063	0.29	          2.64	10.00	10.52	10.00	10.25	   165.42	144399392	  0.50	百货	山东	5.07	
="600843"	上工申贝	0.76	13.31	0.10	13.31	13.32	51211	99	0.15	          2.50	13.15	13.39	13.10	13.21	    88.65	68000128	  0.56	纺织机械	上海	2.20	
="000401"	冀东水泥	0.75	12.15	0.09	12.14	12.15	108488	1054	0.00	          0.89	12.01	12.21	11.70	12.06	   592.03	129577864	  0.71	水泥	河北	4.23	
="603128"	华贸物流	0.60	14.99	0.09	15.00	15.03	47629	130	0.53	          2.98	14.81	15.14	14.66	14.90	    56.25	71089128	  0.71	仓储物流	上海	3.22	
