代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="600618"	氯碱化工	10.04	11.40	1.04	11.40	--  	412992	9	0.00	          5.51	10.41	11.40	10.22	10.36	--  	464453568	  3.28	化工原料	上海	11.39	11.25	245516	167476	  1.47	1317	0	--  	      74984.00	
="600433"	冠豪高新	6.21	15.40	0.90	15.40	15.41	331176	37	0.06	          2.78	14.60	15.78	14.16	14.50	   150.52	498278880	  1.48	造纸	广东	11.17	15.05	150640	180536	  0.83	181	372	--  	     119028.00	
="601888"	中国国旅	4.88	49.01	2.28	49.01	49.05	117809	11	-0.02	          1.21	47.80	50.45	47.80	46.73	    30.09	579868032	  3.34	旅游服务	北京	5.67	49.22	58592	59217	  0.99	2	4	--  	      97623.77	
="002059"	云南旅游	4.17	12.50	0.50	12.50	12.51	38656	1049	0.08	          1.66	12.01	12.50	11.89	12.00	   293.94	47673668	  3.16	旅游景点	云南	5.08	12.33	13966	24690	  0.57	479	20	--  	      23346.71	
="000619"	海螺型材	4.00	10.14	0.39	10.13	10.14	150786	834	0.19	          4.19	9.76	10.29	9.76	9.75	    26.68	152928672	  1.83	其他建材	安徽	5.44	10.14	63458	87328	  0.73	1532	240	--  	      36000.00	
="002304"	洋河股份	3.71	80.81	2.89	80.81	80.83	46505	388	-0.17	          0.53	77.96	81.95	77.88	77.92	    16.38	374388384	  2.31	白酒	江苏	5.22	80.51	20790	25714	  0.81	18	1	--  	      87925.92	
="000530"	大冷股份	3.33	12.74	0.41	12.74	12.75	88362	1458	0.23	          4.09	12.31	12.80	12.21	12.33	    34.75	110940328	  1.80	机械基件	辽宁	4.79	12.56	41176	47186	  0.87	139	470	--  	      21579.34	
="600420"	现代制药	3.27	24.61	0.78	24.60	24.62	58266	6	0.32	          2.03	23.85	24.80	23.50	23.83	    42.55	141713920	  0.75	化学制药	上海	5.46	24.32	26030	32236	  0.81	586	27	--  	      28773.33	
="600459"	贵研铂业	3.00	20.59	0.60	20.59	20.60	131680	3	-0.29	          5.05	19.93	20.94	19.90	19.99	    65.96	270028704	  2.32	小金属	云南	5.20	20.51	56930	74750	  0.76	16	25	--  	      26097.76	
="002239"	金 飞 达	2.77	7.06	0.19	7.06	7.07	258342	3391	-0.14	          6.12	6.86	7.19	6.79	6.87	   289.49	181088656	  1.55	服饰	江苏	5.82	7.01	108321	150021	  0.72	1637	1511	--  	      42210.00	
="002454"	松芝股份	1.69	16.85	0.28	16.85	16.87	31495	262	0.00	          1.31	16.57	17.30	16.57	16.57	    24.98	53443228	  0.91	汽车配件	上海	4.41	16.97	15917	15577	  1.02	6	37	--  	      24081.55	
="000416"	民生控股	1.38	10.26	0.14	10.26	10.27	189840	2584	-0.38	          3.57	10.12	10.60	9.90	10.12	   164.29	194973408	  1.46	百货	山东	6.92	10.27	99387	90453	  1.10	313	793	--  	      53161.03	
="600894"	广日股份	1.34	16.69	0.22	16.68	16.69	143699	6	0.00	          1.85	16.45	16.97	16.21	16.47	    21.30	238352912	  0.83	运输设备	广东	4.61	16.59	77057	66641	  1.16	60	166	--  	      77693.24	
="300124"	汇川技术	1.27	34.16	0.43	34.16	34.18	136305	662	-0.52	          2.24	33.51	34.89	32.88	33.73	    43.09	460728768	  1.48	电器仪表	深圳	5.96	33.80	70933	65371	  1.09	56	196	--  	      60942.64	
="000731"	四川美丰	1.18	9.46	0.11	9.45	9.46	246683	3099	0.42	          4.17	9.35	9.69	9.32	9.35	--  	234621568	  1.16	农药化肥	四川	3.96	9.51	104769	141913	  0.74	1045	759	--  	      59134.76	
="300020"	银江股份	0.85	35.40	0.30	35.40	35.41	80161	1201	-0.53	          3.32	34.80	36.60	34.80	35.10	    55.39	285254336	  0.93	软件服务	浙江	5.13	35.59	37044	43117	  0.86	412	5	--  	      24173.80	
="600893"	中航动力	0.80	31.62	0.25	31.64	31.65	172506	86	-0.31	          1.59	31.40	32.29	31.40	31.37	    99.32	550461120	  1.44	航空	陕西	2.84	31.91	79667	92839	  0.86	137	205	--  	     108622.39	
="300251"	光线传媒	0.66	26.03	0.17	26.02	26.03	149499	2205	-0.15	          2.81	26.01	26.16	25.53	25.86	   100.56	387239616	  0.55	影视音像	北京	2.44	25.90	69287	80212	  0.86	541	173	--  	      53120.28	
="600535"	天士力	0.52	44.22	0.23	44.16	44.28	74277	66	0.06	          0.72	43.98	44.60	43.89	43.99	    30.04	329348768	  1.19	中成药	天津	1.61	44.34	38315	35961	  1.07	69	83	--  	     103284.27	
="600998"	九州通	0.36	19.68	0.07	19.66	19.68	336381	106	-0.05	          2.37	19.59	20.18	19.29	19.61	    82.01	662277952	  2.07	医药商业	湖北	4.54	19.69	159436	176945	  0.90	18	95	--  	     142051.56	
="600638"	新黄浦	0.28	18.04	0.05	18.01	18.03	67864	7	0.22	          1.21	17.99	18.17	17.76	17.99	   102.57	121710512	  0.67	区域地产	上海	2.28	17.93	20995	46868	  0.45	20	18	--  	      56116.39	
="000550"	江铃汽车	0.28	40.01	0.11	40.01	40.05	24807	509	0.02	          0.48	40.15	40.53	39.11	39.90	    16.92	99008392	  1.14	汽车整车	江西	3.56	39.91	11096	13710	  0.81	198	1	--  	      51742.80	
