代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="600804"	鹏博士	10.01	20.55	1.87	20.55	--  	742737	50	0.00	          5.53	18.44	20.55	18.44	18.68	    50.80	1470912000	  2.15	电信运营	四川	11.30	
="300015"	爱尔眼科	9.99	32.80	2.98	32.80	--  	134735	66	0.00	          2.57	30.32	32.80	30.32	29.82	    63.06	431598144	  2.75	医疗保健	湖南	8.32	
="600718"	东软集团	9.98	19.51	1.77	19.51	--  	951019	7	0.00	          7.75	18.02	19.51	18.02	17.74	    83.83	1827504640	  1.14	软件服务	辽宁	8.40	
="002028"	思源电气	9.02	14.63	1.21	14.63	14.64	571459	5848	0.48	         12.25	13.58	14.76	13.58	13.42	    20.94	816209920	  2.68	电气设备	上海	8.79	
="000651"	格力电器	8.22	43.32	3.29	43.31	43.32	497368	7600	0.67	          1.67	41.30	43.32	40.58	40.03	     9.94	2068001792	  1.59	家用电器	广东	6.84	
="600268"	国电南自	8.04	7.79	0.58	7.78	7.79	288034	13	0.51	          4.53	7.27	7.80	7.21	7.21	--  	217981264	  2.33	电气设备	江苏	8.18	
="600998"	九州通	7.68	19.35	1.38	19.34	19.36	339862	88	0.00	          2.39	18.01	19.38	18.01	17.97	    80.63	641603520	  2.29	医药商业	湖北	7.62	
="600660"	福耀玻璃	7.09	13.29	0.88	13.29	13.30	452747	46	0.00	          2.26	12.60	13.30	12.60	12.41	    12.66	590904640	  1.46	汽车配件	福建	5.64	
="002254"	泰和新材	7.08	12.41	0.82	12.41	12.42	260333	2676	0.00	          5.12	11.67	12.65	11.64	11.59	    37.47	315663872	  2.86	化纤	山东	8.71	
="000488"	晨鸣纸业	6.77	6.47	0.41	6.46	6.47	477622	3299	0.00	          4.32	6.06	6.58	6.04	6.06	    27.54	304598976	  2.26	造纸	山东	8.91	
="600614"	鼎立股份	6.70	14.98	0.94	14.97	15.00	159457	70	-0.13	          3.57	14.04	15.38	14.04	14.04	   360.00	237223904	  1.13	综合类	上海	9.54	
="300197"	铁汉生态	6.61	16.44	1.02	16.43	16.44	242145	2379	0.06	          8.27	15.60	16.47	15.35	15.42	    44.86	385670176	  2.40	环境保护	深圳	7.26	
="300077"	国民技术	6.54	30.78	1.89	30.77	30.78	146860	1623	-0.09	          5.82	29.09	30.90	29.09	28.89	  1198.81	443381472	  1.52	半导体	深圳	6.27	
="000498"	山东路桥	6.37	5.34	0.32	5.33	5.34	338616	5332	0.37	          9.56	5.03	5.36	5.03	5.02	    31.84	177322608	  0.95	建筑施工	山东	6.57	
="002481"	双塔食品	6.35	17.75	1.06	17.75	17.76	44224	356	0.11	          1.18	16.72	17.80	16.72	16.69	    60.19	76288544	  1.74	食品	山东	6.47	
="000063"	中兴通讯	6.00	19.08	1.08	19.08	19.09	1074169	9018	0.21	          3.83	18.65	19.19	18.31	18.00	    26.86	2023512704	  1.63	通信设备	深圳	4.89	
="002056"	横店东磁	5.61	23.55	1.25	23.55	23.56	107257	1408	0.12	          2.61	22.42	23.56	22.42	22.30	    27.70	248415136	  2.38	元器件	浙江	5.11	
="002271"	东方雨虹	5.33	36.97	1.87	36.89	36.97	42276	209	0.46	          1.94	35.99	37.33	35.40	35.10	    26.92	153987264	  1.32	其他建材	北京	5.50	
="002239"	金 飞 达	5.30	6.56	0.33	6.55	6.56	271153	4011	0.30	          6.42	6.16	6.58	6.16	6.23	   268.99	172112464	  1.47	服饰	江苏	6.74	
="600312"	平高电气	5.23	18.70	0.93	18.70	18.71	569244	1	0.05	          6.95	18.00	18.99	18.00	17.77	    37.51	1056006528	  1.60	电气设备	河南	5.57	
="000619"	海螺型材	5.15	8.98	0.44	8.97	8.98	89023	2312	0.55	          2.47	8.65	8.98	8.65	8.54	    23.63	78260416	  0.94	其他建材	安徽	3.86	
="300255"	常山药业	5.11	34.58	1.68	34.52	34.58	26552	459	0.29	          2.05	32.90	34.90	32.61	32.90	    67.36	90621776	  2.17	生物制药	河北	6.96	
="002543"	万和电气	5.06	12.67	0.61	12.66	12.67	86650	1550	0.15	          2.72	12.05	12.68	12.05	12.06	    18.45	107704392	  1.05	家用电器	广东	5.22	
="002078"	太阳纸业	5.00	4.20	0.20	4.19	4.20	630223	5901	0.00	          3.19	4.01	4.23	4.01	4.00	    23.07	262366592	  3.05	造纸	山东	5.50	
="000826"	桑德环境	4.75	29.31	1.33	29.30	29.31	235542	2364	0.00	          2.81	28.30	29.60	28.30	27.98	    36.20	685130176	  1.79	环境保护	湖北	4.65	
="600690"	青岛海尔	4.75	20.30	0.92	20.30	20.31	343492	20	0.00	          1.26	19.55	20.35	19.52	19.38	    11.00	688662912	  0.90	家用电器	山东	4.28	
="600195"	中牧股份	4.65	17.32	0.77	17.32	17.33	134433	97	0.11	          3.13	16.63	17.33	16.63	16.55	    23.37	228781184	  1.32	饲料	北京	4.23	
="600066"	宇通客车	4.31	24.67	1.02	24.68	24.70	176062	18	0.28	          1.42	23.72	25.28	23.72	23.65	    24.25	433916864	  1.17	汽车整车	河南	6.60	
="000040"	宝安地产	4.30	6.31	0.26	6.31	6.32	46816	290	0.00	          1.01	6.07	6.38	6.07	6.05	   155.30	29467424	  0.72	全国地产	深圳	5.12	
="002372"	伟星新材	4.29	17.74	0.73	17.73	17.74	47099	228	0.11	          1.22	17.05	18.16	17.05	17.01	    20.79	83523776	  0.91	其他建材	浙江	6.53	
="300262"	巴安水务	4.25	19.89	0.81	19.88	19.89	70246	762	0.05	          4.47	19.01	20.08	19.01	19.08	    63.44	138278816	  1.37	环境保护	上海	5.61	
="600094"	大名城	4.00	9.35	0.36	9.34	9.35	74550	50	0.21	          0.57	8.90	9.41	8.90	8.99	   255.92	68821776	  0.90	区域地产	上海	5.67	
="000669"	金鸿能源	3.97	27.47	1.05	27.47	27.48	20501	239	0.14	          0.90	26.60	27.47	26.60	26.42	    42.58	55586480	  1.36	供气供热	吉林	3.29	
="000058"	深 赛 格	3.72	6.97	0.25	6.96	6.97	149484	1264	0.00	          2.78	6.72	6.97	6.70	6.72	    88.06	102635816	  1.50	元器件	深圳	4.02	
="002226"	江南化工	3.64	12.23	0.43	12.22	12.23	74206	865	0.16	          1.88	11.95	12.30	11.92	11.80	    23.02	89988272	  1.10	化工原料	安徽	3.22	
="002242"	九阳股份	3.56	11.94	0.41	11.93	11.94	97597	1671	0.16	          1.28	11.52	11.97	11.52	11.53	    15.74	114755320	  0.79	家用电器	山东	3.90	
="600267"	海正药业	3.52	17.37	0.59	17.35	17.36	151225	10	0.05	          1.80	16.77	17.41	16.77	16.78	    55.40	259701632	  1.65	化学制药	浙江	3.81	
="601857"	中国石油	3.41	11.83	0.39	11.84	11.85	2475010	123	0.33	          0.15	11.61	12.04	11.43	11.44	    16.91	2918343680	  1.02	石油开采	北京	5.33	
="600547"	山东黄金	3.39	24.98	0.82	24.99	25.00	631652	1	0.36	          4.44	23.80	25.15	23.50	24.16	    45.08	1547451648	  1.18	黄金	山东	6.83	
="002672"	东江环保	3.38	35.80	1.17	35.80	35.84	18694	189	-0.16	          1.48	34.88	35.87	34.50	34.63	    47.48	65965904	  1.16	环境保护	广东	3.96	
="600778"	友好集团	3.35	9.86	0.32	9.85	9.87	86207	37	-0.10	          2.78	9.55	9.88	9.55	9.54	    28.68	83694968	  0.65	百货	新疆	3.46	
="600621"	华鑫股份	3.32	8.41	0.27	8.41	8.42	90448	21	0.23	          1.73	8.20	8.45	8.20	8.14	    35.01	75589840	  0.85	全国地产	上海	3.07	
="000860"	顺鑫农业	3.25	20.97	0.66	20.96	20.97	209106	3060	-0.04	          4.77	20.31	21.00	20.15	20.31	    31.77	432324416	  1.82	农业综合	北京	4.19	
="601607"	上海医药	3.24	16.56	0.52	16.55	16.56	263841	10	0.30	          1.37	16.27	16.59	16.17	16.04	    17.46	432561216	  1.27	医药商业	上海	2.62	
="601888"	中国国旅	3.20	45.19	1.40	45.19	45.20	49475	15	0.48	          0.51	43.90	45.20	43.02	43.79	    27.75	220634496	  1.28	旅游服务	北京	4.98	
="600518"	康美药业	3.15	17.05	0.52	17.05	17.06	577953	6	0.00	          2.63	16.76	17.19	16.58	16.53	    18.77	973228288	  1.00	中成药	广东	3.69	
="600309"	万华化学	3.08	22.41	0.67	22.41	22.42	417135	10	0.22	          1.93	22.02	22.99	21.75	21.74	    17.32	928924096	  1.13	化工原料	山东	5.70	
="600761"	安徽合力	3.06	14.13	0.42	14.13	14.14	96317	20	0.14	          1.56	13.78	14.16	13.78	13.71	    13.51	135392992	  0.91	工程机械	安徽	2.77	
="002221"	东华能源	3.05	18.90	0.56	18.88	18.90	51471	305	0.10	          1.15	18.36	19.13	18.36	18.34	   215.08	96933920	  0.67	石油贸易	江苏	4.20	
="600638"	新黄浦	3.04	17.29	0.51	17.28	17.29	187830	6	0.00	          3.35	16.70	17.30	16.70	16.78	    98.30	321403168	  1.65	区域地产	上海	3.58	
="002005"	德豪润达	3.01	8.55	0.25	8.54	8.55	524859	5705	0.11	          4.51	8.38	8.58	8.34	8.30	   127.10	445779712	  1.56	家用电器	广东	2.89	
="000999"	华润三九	3.00	23.34	0.68	23.34	23.35	84687	419	0.08	          0.87	22.68	23.50	22.68	22.66	    21.72	196052080	  0.94	中成药	深圳	3.62	
="000723"	美锦能源	2.98	7.96	0.23	7.96	7.97	74353	704	-0.12	          3.82	7.70	8.03	7.61	7.73	   492.25	58432256	  1.14	焦炭加工	山西	5.43	
="000530"	大冷股份	2.97	11.80	0.34	11.79	11.80	67914	1857	0.00	          3.15	11.50	11.83	11.50	11.46	    32.19	79563512	  0.64	机械基件	辽宁	2.88	
="000899"	赣能股份	2.93	7.03	0.20	7.02	7.03	101861	2386	0.00	          1.83	6.95	7.06	6.88	6.83	    12.10	71263560	  0.63	火力发电	江西	2.64	
="002033"	丽江旅游	2.90	15.59	0.44	15.58	15.59	44317	1010	0.19	          2.08	15.15	15.59	15.14	15.15	    20.26	68331912	  1.26	旅游景点	云南	2.97	
="000581"	威孚高科	2.87	29.78	0.83	29.78	29.79	181964	1049	-0.10	          2.68	29.05	29.90	28.80	28.95	    18.38	535503520	  1.29	汽车配件	江苏	3.80	
="000957"	中通客车	2.74	14.60	0.39	14.60	14.61	74842	1162	0.34	          3.14	14.75	14.75	14.27	14.21	     9.41	108729552	  0.83	汽车整车	山东	3.38	
="000665"	湖北广电	2.74	14.27	0.38	14.27	14.28	27248	467	0.42	          1.43	13.90	14.27	13.82	13.89	    52.06	38488316	  1.46	影视音像	湖北	3.24	
