代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="603788"	N高发	43.97	14.80	4.52	14.80	--  	1013	10	0.00	          0.30	14.80	14.80	14.80	10.28	    23.45	1499225	0.00	汽车配件	浙江	0.00	
="002067"	景兴纸业	10.12	3.70	0.34	3.70	--  	364345	60	0.00	          3.79	3.48	3.70	3.46	3.36	   492.24	132948944	  1.76	造纸	浙江	7.14	
="000627"	天茂集团	10.08	5.46	0.50	5.46	--  	28567	55	0.00	          0.21	5.46	5.46	5.46	4.96	    37.78	15597800	  0.07	化工原料	湖北	0.00	
="000797"	中国武夷	10.05	11.94	1.09	11.94	--  	124860	97	0.00	          3.73	10.86	11.94	10.86	10.85	    51.22	145278496	  2.23	全国地产	福建	9.95	
="601766"	中国南车	10.04	13.26	1.21	13.26	--  	6377982	1	0.00	          6.12	12.21	13.26	12.20	12.05	    34.54	8205782528	  1.01	运输设备	北京	8.80	
="300135"	宝利沥青	10.03	9.76	0.89	9.76	--  	258736	5658	0.00	          7.12	8.87	9.76	8.87	8.87	    74.05	245830896	  1.72	化工原料	江苏	10.03	
="600100"	同方股份	10.03	13.49	1.23	13.49	--  	2594365	5	0.00	         12.53	12.45	13.49	12.31	12.26	   180.57	3458314752	  2.84	电脑设备	北京	9.62	
="600288"	大恒科技	10.03	13.71	1.25	13.71	--  	10586	5	0.00	          0.24	13.71	13.71	13.71	12.46	   471.77	14513666	  0.17	通信设备	北京	0.00	
="300304"	云意电气	10.03	17.88	1.63	17.88	--  	141247	62	0.00	         22.07	16.41	17.88	16.41	16.25	    44.10	244288544	  4.63	汽车配件	江苏	9.05	
="300067"	安诺其	10.03	11.63	1.06	11.63	--  	117451	2573	0.00	          6.23	10.79	11.63	10.77	10.57	    38.03	135134432	  0.98	染料涂料	上海	8.14	
="300096"	易联众	10.03	13.06	1.19	13.06	--  	692682	946	0.00	         23.17	11.98	13.06	11.70	11.87	   182.43	864038912	  3.13	软件服务	福建	11.46	
="000150"	宜华地产	10.03	17.56	1.60	17.56	--  	83772	10	0.00	          2.59	16.01	17.56	16.01	15.96	  5345.88	144224592	  2.36	区域地产	广东	9.71	
="000836"	鑫茂科技	10.02	9.11	0.83	9.11	--  	175372	1665	0.00	          6.00	8.27	9.11	8.27	8.28	--  	156799472	  2.74	软件服务	天津	10.14	
="002189"	利达光电	10.02	23.49	2.14	23.49	--  	148448	155	0.00	          7.47	21.54	23.49	21.20	21.35	   377.57	342159904	  1.72	元器件	河南	10.73	
="603166"	福达股份	10.02	18.99	1.73	18.99	--  	153975	1	0.00	         35.40	17.28	18.99	17.00	17.26	    81.65	283984960	  2.88	汽车配件	广西	11.53	
="002324"	普利特	10.02	24.04	2.19	24.04	--  	92713	116	0.00	          5.95	21.90	24.04	21.90	21.85	    31.81	218833456	  0.64	塑料	上海	9.79	
="002063"	远光软件	10.02	25.47	2.32	25.47	--  	307371	796	0.03	          8.02	23.35	25.47	23.20	23.15	    61.96	758311168	  2.12	软件服务	广东	9.81	
="600764"	中电广通	10.02	10.65	0.97	10.65	--  	93338	20	0.00	          2.83	9.66	10.65	9.66	9.68	   570.29	97321672	  3.63	通信设备	北京	10.23	
="002285"	世联行	10.02	16.36	1.49	16.36	--  	208445	119	0.00	          2.73	14.87	16.36	14.87	14.87	    42.84	334240992	  1.96	房产服务	深圳	10.02	
="603011"	合锻股份	10.02	22.29	2.03	22.29	--  	94487	2	0.00	         21.00	20.26	22.29	20.10	20.26	   149.89	204542304	  2.66	机床制造	安徽	10.81	
="002516"	江苏旷达	10.02	24.71	2.25	24.71	--  	173669	2027	0.00	         15.95	22.88	24.71	22.47	22.46	    36.86	417353952	  5.03	纺织	江苏	9.97	
="300292"	吴通通讯	10.02	18.78	1.71	18.78	--  	6787	171	0.00	          1.04	18.78	18.78	18.78	17.07	   108.84	12745892	  0.20	通信设备	江苏	0.00	
="603555"	贵人鸟	10.02	20.21	1.84	20.21	--  	154396	1	0.00	         17.35	20.21	20.21	20.00	18.37	    48.60	311996320	  3.08	服饰	福建	1.14	
="300213"	佳讯飞鸿	10.02	27.13	2.47	27.13	--  	62548	16	0.00	          5.20	24.85	27.13	24.72	24.66	   102.15	163861312	  1.49	通信设备	北京	9.77	
="002413"	常发股份	10.01	22.19	2.02	22.19	--  	62431	119	0.00	          2.83	20.00	22.19	20.00	20.17	   108.86	132659248	  1.81	机械基件	江苏	10.86	
="300220"	金运激光	10.01	30.32	2.76	30.32	--  	43952	1	0.00	          6.73	27.61	30.32	27.58	27.56	   294.92	127778664	  1.70	元器件	湖北	9.94	
="002730"	电光科技	10.01	23.40	2.13	23.40	--  	71214	71	0.00	         19.42	21.39	23.40	21.39	21.27	    59.03	162418624	  3.41	电气设备	浙江	9.45	
="601008"	连云港	10.01	8.57	0.78	8.57	--  	1072599	35	0.00	         13.22	8.20	8.57	8.08	7.79	    79.59	909660032	  1.43	港口	江苏	6.29	
="002183"	怡 亚 通	10.01	17.25	1.57	17.25	--  	475129	2694	0.00	          4.82	15.93	17.25	15.75	15.68	    55.00	802669312	  0.71	仓储物流	深圳	9.57	
="300231"	银信科技	10.01	17.58	1.60	17.58	--  	172544	366	0.00	         10.11	16.50	17.58	16.10	15.98	    71.54	294710528	  1.73	软件服务	北京	9.26	
="603088"	宁波精达	10.01	36.04	3.28	36.04	--  	39723	5	0.00	         19.86	32.78	36.04	32.44	32.76	    87.39	137541456	  2.10	专用机械	浙江	10.99	
="000555"	神州信息	10.01	47.36	4.31	47.35	47.36	42836	356	0.00	          4.73	44.29	47.36	42.70	43.05	   127.21	200863072	  1.88	通信设备	深圳	10.82	
="600804"	鹏博士	10.01	20.55	1.87	20.55	--  	742737	50	0.00	          5.53	18.44	20.55	18.44	18.68	    50.80	1470912000	  2.15	电信运营	四川	11.30	
="002690"	美亚光电	10.01	43.19	3.93	43.19	--  	35529	28	0.00	          3.20	39.20	43.19	39.20	39.26	    56.59	150992592	  2.43	专用机械	安徽	10.16	
="002733"	雄韬股份	10.01	33.08	3.01	33.08	--  	112261	38	0.00	         33.02	30.10	33.08	29.89	30.07	    47.01	363838880	  3.77	电气设备	深圳	10.61	
="002731"	萃华珠宝	10.01	33.19	3.02	33.19	--  	79329	23	0.00	         21.05	30.27	33.19	30.26	30.17	    39.83	255414816	  4.24	服饰	辽宁	9.71	
="300222"	科大智能	10.01	33.52	3.05	33.52	--  	32500	46	0.00	          4.12	30.78	33.52	30.49	30.47	    97.95	104923808	  1.46	电气设备	上海	9.94	
="002055"	得润电子	10.01	12.42	1.13	12.42	--  	186649	333	0.00	          4.63	11.50	12.42	11.49	11.29	    40.56	225431552	  2.50	元器件	深圳	8.24	
="603606"	东方电缆	10.01	26.16	2.38	26.16	--  	118232	2	0.00	         37.71	24.70	26.16	24.21	23.78	    72.04	298665344	  5.73	电气设备	浙江	8.20	
="601299"	中国北车	10.01	13.63	1.24	13.63	--  	5280389	19	0.00	          5.21	12.65	13.63	12.65	12.39	    31.66	7040018432	  1.28	运输设备	北京	7.91	
="300269"	联建光电	10.01	40.56	3.69	40.56	--  	98702	9	0.00	         14.37	36.91	40.56	35.51	36.87	    69.13	389486784	  1.44	半导体	深圳	13.70	
