代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="002308"	威创股份	10.06	9.08	0.83	9.08	--  	19931	240	0.00	          0.24	9.08	9.08	9.08	8.25	   109.99	18096984	  0.26	电脑设备	广东	0.00	9.08	18970	960	 19.76	187619	0	--  	      83550.63	
="600491"	龙元建设	10.06	7.99	0.73	7.99	--  	747905	65	0.00	          7.89	7.30	7.99	7.13	7.26	    36.31	581631104	  2.09	建筑施工	浙江	11.85	7.78	386269	361635	  1.07	36813	0	--  	      94760.00	
="603799"	华友钴业	10.05	10.07	0.92	10.07	--  	355	10	0.00	          0.04	10.07	10.07	10.07	9.15	    34.20	357485	  1.48	小金属	浙江	0.00	10.07	334	21	 15.90	299335	0	--  	       9100.00	
="002128"	露天煤业	10.04	10.52	0.96	10.51	10.52	225882	41564	0.00	          1.70	9.56	10.52	9.56	9.56	    56.11	236439984	  1.16	煤炭开采	内蒙	10.04	10.47	178303	47579	  3.75	274	5178	--  	     132668.17	
="600869"	智慧能源	10.04	11.29	1.03	11.29	--  	545038	5	0.00	          5.51	10.45	11.29	10.41	10.26	    44.04	600069504	  4.65	电气设备	青海	8.58	11.01	297179	247858	  1.20	18290	0	--  	      99004.34	
="600618"	氯碱化工	10.04	11.40	1.04	11.40	--  	412992	9	0.00	          5.51	10.41	11.40	10.22	10.36	--  	464453568	  3.28	化工原料	上海	11.39	11.25	245516	167476	  1.47	1317	0	--  	      74984.00	
="601216"	内蒙君正	10.03	14.70	1.34	14.70	--  	974985	98	0.00	          4.76	13.17	14.70	13.17	13.36	    37.75	1392379392	  1.66	化工原料	内蒙	11.45	14.28	455021	519963	  0.88	134210	0	--  	     204800.00	
="300089"	长城集团	10.03	18.98	1.73	18.98	--  	67761	3	0.00	          7.83	17.01	18.98	17.01	17.25	   207.48	125593528	  1.26	陶瓷	广东	11.42	18.53	42845	24916	  1.72	11100	0	--  	       8650.71	
="002553"	南方轴承	10.03	15.91	1.45	15.91	--  	214239	857	0.00	         19.68	14.60	15.91	14.47	14.46	    41.09	331994784	  3.18	机械基件	江苏	9.96	15.50	102477	111762	  0.92	14330	0	--  	      10887.00	
="300293"	蓝英装备	10.02	21.63	1.97	21.63	--  	170538	716	0.00	         25.26	19.70	21.63	19.39	19.66	    81.94	360491840	  3.17	专用机械	辽宁	11.39	21.14	99361	71177	  1.40	26649	0	--  	       6750.00	
