代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="002027"	七喜控股	9.98	10.25	0.93	10.25	--  	214468	1374	          0.00	         10.54	9.30	10.25	9.11	9.32	  2264.42	212572720	  3.84	电脑设备	广东	12.23	
="600022"	山东钢铁	9.95	2.32	0.21	2.32	--  	117079	100	          0.00	          0.22	2.32	2.32	2.32	2.11	--  	27162532	  0.43	普钢	山东	 0.00	
="600077"	宋都股份	7.39	6.10	0.42	6.09	6.10	416239	339	          0.16	          3.82	5.72	6.11	5.68	5.68	   813.67	243174992	  1.69	全国地产	浙江	 7.57	
="600359"	新农开发	7.22	11.28	0.76	11.28	11.30	363601	10	          0.00	         11.33	10.52	11.57	10.52	10.52	--  	409957600	  2.50	农业综合	新疆	 9.98	
="002606"	大连电瓷	6.28	16.75	0.99	16.74	16.75	183285	4704	         -0.05	         15.21	15.80	16.78	15.58	15.76	   151.94	298882880	  2.78	电气设备	辽宁	 7.61	
="601700"	风范股份	5.02	17.35	0.83	17.36	17.38	152416	14	          0.28	          6.46	16.60	17.81	16.54	16.52	    35.13	264680928	  3.97	电气设备	江苏	 7.69	
="600098"	广州发展	4.65	6.30	0.28	6.32	6.33	397120	99	          2.60	          1.63	6.10	6.33	5.99	6.02	    12.77	242418864	  1.56	火力发电	广东	 5.65	
="002162"	斯米克	4.11	8.86	0.35	8.85	8.86	243557	4001	          0.00	          5.83	8.55	8.89	8.21	8.51	   382.03	210358848	  1.66	陶瓷	上海	 7.99	
="600676"	交运股份	3.45	8.39	0.28	8.38	8.39	516851	123	          0.35	          6.61	8.19	8.88	8.01	8.11	    22.74	432161696	  1.49	汽车配件	上海	10.73	
="600540"	新赛股份	2.34	8.74	0.20	8.74	8.75	144461	26	          0.34	          4.77	8.53	9.03	8.42	8.54	   657.67	125852160	  2.17	种植业	新疆	 7.14	
="601998"	中信银行	2.33	5.27	0.12	5.27	5.28	3038370	42	          0.00	          0.95	5.17	5.50	5.10	5.15	     5.73	1611863680	  2.08	银行	北京	 7.77	
="002230"	科大讯飞	2.20	30.26	0.65	30.26	30.27	325787	1689	          0.00	          5.63	30.58	32.30	29.80	29.61	    91.83	1003399808	  2.50	软件服务	安徽	 8.44	
="600811"	东方集团	1.95	7.31	0.14	7.31	7.32	1079505	169	          0.27	          6.48	7.20	7.68	7.18	7.17	     8.10	797072320	  2.68	综合类	黑龙江	 6.97	
="000936"	华西股份	1.85	5.50	0.10	5.49	5.50	206640	8329	         -0.36	          2.76	5.40	5.53	5.18	5.40	   104.76	110485136	  1.26	化纤	江苏	 6.48	
="000816"	江淮动力	1.57	6.47	0.10	6.47	6.48	360948	1478	          0.46	          3.32	6.37	6.66	6.32	6.37	   163.42	234338480	  1.64	机械基件	江苏	 5.34	
