代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本	
="002685"	华东重机	10.02	14.27	1.30	14.27	--  	154056	1	          0.00	         15.48	13.80	14.27	13.50	12.97	   455.81	216653376	  3.15	工程机械	江苏	 5.94	14.06	113010	41046	  2.75	54227	0	--  	       9950.00	
="002496"	辉丰股份	9.98	20.27	1.84	20.27	--  	150563	98	          0.00	          8.16	18.75	20.27	18.75	18.43	    30.95	299833696	  3.15	农药化肥	江苏	 8.25	19.91	71273	79290	  0.90	1286	0	--  	      18456.77	
="000514"	渝 开 发	9.94	7.08	0.64	7.08	--  	273615	1269	          0.00	          3.24	6.43	7.08	6.35	6.44	    36.98	184597104	  2.53	区域地产	重庆	11.34	6.75	155122	118493	  1.31	59394	0	--  	      84377.09	
="300308"	中际装备	8.06	11.40	0.85	11.40	11.41	269619	4191	         -0.08	         23.94	11.05	11.61	11.05	10.55	   538.36	308191648	  5.85	工程机械	山东	 5.31	11.43	149962	119657	  1.25	214	912	--  	      11263.04	
="002168"	深圳惠程	6.87	9.96	0.64	9.96	9.97	399419	5936	         -0.20	          7.03	9.32	10.08	9.32	9.32	--  	388389280	  3.21	电气设备	深圳	 8.15	9.72	149830	249589	  0.60	545	1022	--  	      56803.58	
="601058"	赛轮股份	6.64	18.95	1.18	18.95	18.96	71719	4	          0.26	          1.90	17.84	19.02	17.78	17.77	    21.35	132397336	  2.53	汽车配件	山东	 6.98	18.46	24666	47053	  0.52	30	5	--  	      37800.00	
="002557"	洽洽食品	6.59	23.77	1.47	23.76	23.77	144180	329	         -0.04	          4.27	22.06	24.29	21.98	22.30	    29.18	335132576	  2.24	食品	安徽	10.36	23.24	33125	111055	  0.30	14	556	--  	      33800.00	
="000776"	广发证券	6.37	16.69	1.00	16.68	16.69	2184204	16705	          0.18	          3.69	15.86	16.87	15.74	15.69	    24.37	3575060480	  1.92	证券	广东	 7.20	16.37	1029985	1154219	  0.89	1688	2844	--  	     591929.13	
="300083"	劲胜精密	6.35	26.48	1.58	26.48	26.49	82297	501	         -0.26	          9.37	25.20	26.80	24.92	24.90	   128.93	211684656	  2.40	元器件	广东	 7.55	25.72	32588	49709	  0.66	158	69	--  	       8787.37	
="600068"	葛洲坝	6.23	5.80	0.34	5.79	5.80	1783094	10	          0.17	          5.11	5.60	6.00	5.60	5.46	    11.49	1032471616	  2.04	建筑施工	湖北	 7.33	5.79	783147	999947	  0.78	1692	4999	--  	     348745.91	
="002302"	西部建设	5.48	15.77	0.82	15.77	15.78	227474	2191	          0.50	          8.40	15.05	15.77	14.77	14.95	    35.79	348383872	  2.38	水泥	新疆	 6.69	15.32	110575	116899	  0.95	1365	367	--  	      27091.33	
="601901"	方正证券	5.36	8.85	0.45	8.85	8.86	4574804	26	          0.45	          7.50	8.38	9.12	8.33	8.40	    36.86	4003144192	  1.37	证券	湖南	 9.40	8.75	2039369	2535435	  0.80	3360	2184	--  	     610000.00	
="002688"	金河生物	5.05	18.09	0.87	18.08	18.09	110077	984	          0.11	         10.15	17.53	18.80	17.50	17.22	    47.59	199825328	  2.35	化学制药	内蒙	 7.55	18.15	53736	56341	  0.95	474	189	--  	      10849.66	
="601009"	南京银行	4.90	12.00	0.56	11.99	12.00	1615498	152	          0.25	          5.44	11.43	12.22	11.26	11.44	     6.42	1900924928	  1.50	银行	江苏	 8.39	11.77	780058	835440	  0.93	671	533	--  	     296893.31	
="000966"	长源电力	4.57	10.29	0.45	10.29	10.30	192128	1622	          0.39	          3.47	9.89	10.49	9.86	9.84	     6.88	197104160	  1.95	火力发电	湖北	 6.40	10.26	78688	113440	  0.69	153	1855	--  	      55414.19	
="600837"	海通证券	4.50	14.17	0.61	14.17	14.18	4129893	40	          0.28	          5.10	13.75	14.45	13.75	13.56	    20.58	5801497600	  1.29	证券	上海	 5.16	14.05	1833368	2296525	  0.80	13	4257	--  	     809213.13	
="300145"	南方泵业	4.31	27.60	1.14	27.59	27.60	30910	35	         -0.36	          1.77	26.56	27.98	26.16	26.46	    39.82	83895000	  1.65	专用机械	浙江	 6.88	27.14	15572	15338	  1.02	6	213	--  	      17417.00	
="002142"	宁波银行	4.27	12.20	0.50	12.19	12.20	1039410	8903	          0.24	          3.62	11.73	12.47	11.60	11.70	     6.49	1251017728	  2.21	银行	浙江	 7.44	12.04	491008	548402	  0.90	707	1547	--  	     287241.59	
="300345"	红宇新材	4.19	22.88	0.92	22.81	22.88	47783	344	         -0.17	          7.73	21.75	23.08	21.75	21.96	   933.82	108589728	  1.61	钢加工	湖南	 6.06	22.73	21435	26348	  0.81	7	81	--  	       6180.70	
="002035"	华帝股份	4.09	13.74	0.54	13.74	13.75	141167	424	         -0.29	          4.76	13.18	13.87	13.10	13.20	    18.31	191690608	  3.21	家用电器	广东	 5.83	13.58	79451	61716	  1.29	210	58	--  	      29677.21	
="600300"	维维股份	4.07	5.88	0.23	5.87	5.88	1035617	98	         -0.16	          6.19	5.79	6.20	5.68	5.65	    87.19	617293312	  3.57	软饮料	江苏	 9.20	5.96	455615	580002	  0.79	2535	1059	--  	     167200.00	
="000564"	西安民生	3.87	6.17	0.23	6.16	6.17	267115	3043	          0.00	          7.96	5.95	6.46	5.80	5.94	    40.32	162692608	  2.49	百货	陕西	11.11	6.09	137981	129134	  1.07	1176	979	--  	      33562.01	
="600845"	宝信软件	3.86	37.38	1.39	37.39	37.40	18724	53	          0.16	          0.83	35.95	37.45	35.80	35.99	    49.61	69269744	  2.11	软件服务	上海	 4.58	36.99	6952	11772	  0.59	4	571	--  	      22651.73	
="002500"	山西证券	3.79	10.69	0.39	10.69	10.70	1100445	7499	         -0.27	          4.42	10.48	11.18	10.44	10.30	    54.39	1179491328	  1.43	证券	山西	 7.18	10.72	556393	544052	  1.02	3841	1719	--  	     248846.95	
="000750"	国海证券	3.54	12.30	0.42	12.30	12.31	1432972	6799	         -0.08	          7.10	12.06	12.68	12.00	11.88	    45.79	1767061504	  1.48	证券	广西	 5.72	12.33	670536	762436	  0.88	4267	3722	--  	     201821.09	
="000900"	现代投资	3.36	6.76	0.22	6.76	6.77	368363	7397	         -0.29	          3.64	6.65	6.90	6.57	6.54	    17.59	247665312	  2.54	路桥	湖南	 5.05	6.72	176678	191685	  0.92	525	529	--  	     101128.75	
="601998"	中信银行	3.30	5.32	0.17	5.31	5.32	1988205	20	          0.75	          0.62	5.15	5.36	5.11	5.15	     5.78	1043308352	  2.11	银行	北京	 4.85	5.25	909962	1078243	  0.84	192	334	--  	    3190516.50	
="002231"	奥维通信	3.23	11.50	0.36	11.50	11.51	182129	721	         -0.08	          8.94	11.15	11.65	11.06	11.14	--  	206964352	  2.02	通信设备	辽宁	 5.30	11.36	71276	110853	  0.64	519	13	--  	      20369.00	
="000916"	华北高速	3.11	5.63	0.17	5.63	5.64	142959	818	          0.00	          1.31	5.46	5.64	5.40	5.46	    20.95	78886168	  1.47	路桥	北京	 4.40	5.52	52732	90227	  0.58	975	686	--  	     108997.39	
="601988"	中国银行	2.69	3.05	0.08	3.05	3.06	3814832	1	          0.00	          0.19	2.96	3.08	2.95	2.97	     5.57	1152062080	  1.53	银行	北京	 4.38	3.02	1582495	2232337	  0.71	8949	51415	--  	   19591296.00	
="601313"	江南嘉捷	2.53	11.73	0.29	11.73	11.75	50569	10	          0.17	          1.88	11.43	11.90	11.31	11.44	    21.60	59026644	  1.08	运输设备	江苏	 5.16	11.67	21893	28676	  0.76	24	686	--  	      26852.53	
="000652"	泰达股份	2.30	6.22	0.14	6.21	6.22	414859	4650	          0.16	          2.83	6.08	6.28	6.06	6.08	--  	256415168	  1.35	综合类	天津	 3.62	6.18	175268	239591	  0.73	2424	338	--  	     146567.00	
="600378"	天科股份	2.27	15.31	0.34	15.31	15.33	40414	40	          0.19	          1.36	14.95	15.33	14.88	14.97	    67.60	61404108	  1.68	化工原料	四川	 3.01	15.19	18336	22078	  0.83	34	404	--  	      29719.33	
="000993"	闽东电力	2.24	10.52	0.23	10.52	10.53	77240	770	          0.19	          2.07	10.37	10.85	10.30	10.29	    33.38	81723216	  2.02	水力发电	福建	 5.34	10.58	36031	41209	  0.87	936	55	--  	      37300.00	
="600336"	澳柯玛	2.20	6.49	0.14	6.48	6.49	314969	38	         -0.15	          4.63	6.36	6.59	6.32	6.35	    36.14	204207904	  1.44	家用电器	山东	 4.25	6.48	141895	173074	  0.82	441	29	--  	      68007.20	
="600000"	浦发银行	2.17	11.32	0.24	11.32	11.33	4522633	351	          0.26	          3.03	11.25	11.43	11.10	11.08	     4.55	5092828672	  1.76	银行	上海	 2.98	11.26	2093954	2428679	  0.86	5524	9444	--  	    1492277.75	
="600419"	天润乳业	2.16	23.19	0.49	23.19	23.20	12852	3	         -0.04	          1.60	22.75	23.22	22.63	22.70	   109.09	29653534	  1.62	乳制品	新疆	 2.60	23.07	3291	9561	  0.34	53	56	--  	       8021.08	
="000001"	平安银行	2.09	11.21	0.23	11.20	11.21	2184918	11779	          0.00	          2.22	10.99	11.37	10.92	10.98	     6.12	2437181184	  1.76	银行	深圳	 4.10	11.15	1064371	1120547	  0.95	6171	5777	--  	     983671.19	
="000816"	江淮动力	2.08	7.35	0.15	7.35	7.36	496886	1763	         -0.13	          4.56	7.26	7.53	7.20	7.20	   185.65	367512224	  1.64	机械基件	江苏	 4.58	7.40	219574	277312	  0.79	719	1920	--  	     108877.75	
="600750"	江中药业	2.06	21.83	0.44	21.82	21.83	67605	4	          0.13	          2.25	21.40	22.13	21.28	21.39	    31.64	146791392	  1.72	中成药	江西	 3.97	21.71	32914	34691	  0.95	54	59	--  	      30000.00	
="600483"	福能股份	2.04	10.98	0.22	10.98	10.99	114773	100	          0.09	          3.98	10.76	11.28	10.65	10.76	    19.25	126434464	  1.48	火力发电	福建	 5.86	11.02	50393	64380	  0.78	25	173	--  	      28848.36	
="600016"	民生银行	1.98	6.70	0.13	6.69	6.70	5486044	19	          0.00	          2.02	6.57	6.75	6.54	6.57	     4.65	3648671488	  1.88	银行	北京	 3.20	6.65	2380709	3105335	  0.77	4860	10416	--  	    2710607.50	
="000915"	山大华特	1.82	31.41	0.56	31.41	31.42	26573	111	         -0.12	          1.48	30.84	31.52	30.72	30.85	    30.67	82637360	  0.73	生物制药	山东	 2.59	31.10	11964	14609	  0.82	6	130	--  	      17930.16	
