代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
="601601"	中国太保	9.98	26.66	2.42	26.66	--  	1371778	12	0.00	          2.18	24.49	26.66	24.05	24.24	    20.22	3507417344	  1.25	保险	上海	10.77	25.57	583009	788768	  0.74	12245	0	--  	
="600016"	民生银行	9.37	8.99	0.77	8.98	8.99	14035647	305	0.11	          5.18	8.30	9.00	8.11	8.22	     6.24	12005710848	  1.15	银行	北京	10.83	8.55	6253835	7781811	  0.80	124	4334	--  	
="601318"	中国平安	9.05	59.99	4.98	60.00	60.04	2434037	114	-0.01	          5.09	55.04	60.24	54.58	55.01	    11.24	13895520256	  1.15	保险	深圳	10.29	57.09	1039031	1395005	  0.74	9087	32	--  	
="600783"	鲁信创投	8.78	25.39	2.05	25.35	25.39	557618	339	-0.85	          7.49	23.85	25.67	23.65	23.34	    44.43	1400416512	  1.53	矿物制品	山东	8.65	25.11	265233	292384	  0.91	2	487	--  	
="600036"	招商银行	7.83	13.64	0.99	13.66	13.67	4876203	376	-0.72	          2.36	12.85	13.88	12.70	12.65	     5.63	6530002432	  1.26	银行	深圳	9.33	13.39	2091296	2784906	  0.75	508	629	--  	
="601166"	兴业银行	7.35	13.29	0.91	13.28	13.29	7263880	174	0.52	          4.49	12.43	13.37	12.28	12.38	     4.96	9324282880	  1.10	银行	福建	8.80	12.84	3287564	3976316	  0.83	1236	1171	--  	
="000001"	平安银行	6.56	13.96	0.86	13.96	13.97	3450181	38018	0.57	          3.51	13.14	13.97	12.90	13.10	     7.62	4674285056	  0.91	银行	深圳	8.17	13.55	1510285	1939895	  0.78	18154	4640	--  	
="600015"	华夏银行	6.34	11.58	0.69	11.59	11.60	3191039	6	0.25	          4.92	10.89	11.60	10.79	10.89	     5.87	3578339584	  0.96	银行	北京	7.44	11.21	1421963	1769076	  0.80	84	8495	--  	
="601328"	交通银行	5.63	6.19	0.33	6.18	6.19	7224883	144	0.65	          2.21	5.84	6.20	5.68	5.86	     6.69	4318143488	  0.89	银行	上海	8.87	5.98	3415816	3809066	  0.90	4739	445	--  	
="600000"	浦发银行	5.48	13.27	0.69	13.27	13.28	7200417	107	-0.07	          4.83	12.58	13.30	12.37	12.58	     5.33	9307945984	  1.13	银行	上海	7.39	12.93	3501345	3699071	  0.95	2845	96	--  	
="600153"	建发股份	5.47	8.68	0.45	8.68	8.70	1216314	400	-0.34	          4.29	8.23	8.78	8.15	8.23	    11.73	1028945728	  1.41	商贸代理	福建	7.65	8.46	522140	694173	  0.75	912	3894	--  	
="601998"	中信银行	5.29	6.77	0.34	6.78	6.79	3232074	17	-0.14	          1.01	6.40	6.85	6.27	6.43	     7.36	2127172992	  0.88	银行	北京	9.02	6.58	1393253	1838821	  0.76	7704	7064	--  	
="000088"	盐 田 港	5.06	8.92	0.43	8.91	8.92	874123	9569	0.11	          4.50	8.55	8.95	8.40	8.49	    37.66	764452736	  2.00	港口	深圳	6.48	8.75	380706	493416	  0.77	1156	329	--  	
="002508"	老板电器	5.01	35.62	1.70	35.62	35.63	60826	283	-0.05	          1.95	34.31	35.98	34.31	33.92	    24.71	214495680	  1.36	家用电器	浙江	4.92	35.26	29100	31725	  0.92	745	79	--  	
="002142"	宁波银行	4.92	14.28	0.67	14.27	14.28	1257660	18224	0.56	          4.38	13.54	14.33	13.40	13.61	     7.59	1749826432	  1.09	银行	浙江	6.83	13.91	570742	686917	  0.83	828	3708	--  	
="000900"	现代投资	4.88	7.09	0.33	7.08	7.09	431856	2539	0.14	          4.27	6.80	7.10	6.75	6.76	    18.45	300817312	  1.64	路桥	湖南	5.18	6.97	178819	253036	  0.71	3281	2815	--  	
="601939"	建设银行	4.86	5.18	0.24	5.18	5.19	3796797	43	0.00	          3.96	4.96	5.20	4.91	4.94	     5.10	1922048896	  0.88	银行	北京	5.87	5.06	1737256	2059541	  0.84	233	14537	--  	
="601668"	中国建筑	4.68	4.70	0.21	4.69	4.70	9550283	2455	0.00	          3.20	4.48	4.75	4.46	4.49	     6.26	4382040064	  1.20	建筑施工	北京	6.46	4.59	4442261	5108022	  0.87	13127	4394	--  	
="601288"	农业银行	4.45	3.05	0.13	3.05	3.06	10797022	336	0.32	          0.38	2.94	3.06	2.90	2.92	     4.87	3216189440	  0.99	银行	北京	5.48	2.98	4870146	5926876	  0.82	22701	158686	--  	
="000039"	中集集团	4.39	19.99	0.84	19.99	20.00	662332	2843	-0.09	          5.37	19.15	20.26	18.90	19.15	    24.63	1302659328	  1.99	轻工机械	深圳	7.10	19.67	293541	368791	  0.80	1074	1243	--  	
="600019"	宝钢股份	4.26	5.87	0.24	5.85	5.86	2063936	73	0.34	          1.26	5.67	5.90	5.56	5.63	    14.47	1189541376	  0.95	普钢	上海	6.04	5.76	957654	1106282	  0.87	6403	1609	--  	
="300144"	宋城演艺	4.23	26.88	1.09	26.87	26.88	63780	461	0.11	          3.26	25.79	26.99	25.66	25.79	    35.55	169580528	  1.20	旅游景点	浙江	5.16	26.59	28260	35519	  0.80	612	241	--  	
="000069"	华侨城Ａ	4.15	6.78	0.27	6.77	6.78	2380239	14683	-0.14	          7.65	6.52	6.86	6.45	6.51	    13.14	1597169280	  1.10	旅游景点	深圳	6.30	6.71	1153957	1226281	  0.94	704	397	--  	
="601398"	工商银行	4.15	4.27	0.17	4.27	4.28	7137844	216	-0.23	          0.27	4.10	4.28	4.08	4.10	     5.11	2985764608	  1.14	银行	北京	4.88	4.18	3437464	3700379	  0.93	6609	27574	--  	
="002146"	荣盛发展	3.97	13.88	0.53	13.88	13.89	504713	2952	0.07	          3.03	13.35	14.00	13.26	13.35	     9.59	685830464	  0.67	全国地产	河北	5.54	13.59	215717	288995	  0.75	544	1303	--  	
="300196"	长海股份	3.94	21.38	0.81	21.37	21.38	32203	452	-0.04	          2.95	20.59	21.50	20.20	20.57	    28.85	66934104	  1.97	玻璃	江苏	6.32	20.79	17387	14816	  1.17	21	212	--  	
="600259"	广晟有色	3.79	55.11	2.01	55.07	55.08	232333	33	0.20	          9.32	53.56	55.97	53.22	53.10	  1206.81	1271482496	  1.97	小金属	海南	5.18	54.73	111854	120478	  0.93	101	86	--  	
="002271"	东方雨虹	3.63	33.40	1.17	33.40	33.41	59407	377	0.45	          2.72	32.19	34.19	31.60	32.23	    24.32	197478080	  0.84	其他建材	北京	8.04	33.24	28613	30793	  0.93	111	2	--  	
="601988"	中国银行	3.52	3.53	0.12	3.52	3.53	18862470	1330	0.28	          0.96	3.40	3.54	3.32	3.41	     6.45	6472786432	  1.59	银行	北京	6.45	3.43	6804615	12057855	  0.56	16110	2389	--  	
="000966"	长源电力	3.45	10.80	0.36	10.80	10.81	209840	5806	0.27	          3.79	10.55	10.84	10.34	10.44	     7.22	223213072	  1.53	火力发电	湖北	4.79	10.64	98452	111387	  0.88	2349	144	--  	
="600801"	华新水泥	3.37	9.20	0.30	9.19	9.20	443254	40	0.00	          4.56	8.95	9.26	8.75	8.90	    12.67	400763040	  1.24	水泥	湖北	5.73	9.04	215928	227325	  0.95	731	69	--  	
="601669"	中国电建	3.26	4.44	0.14	4.44	4.45	2901505	20	0.00	          8.79	4.29	4.47	4.27	4.30	     9.61	1271238784	  1.19	建筑施工	北京	4.65	4.38	1231006	1670498	  0.74	10853	29216	--  	
="000926"	福星股份	3.04	9.84	0.29	9.83	9.84	402403	4945	0.00	          7.61	9.53	9.88	9.47	9.55	     9.07	391223904	  1.05	区域地产	湖北	4.29	9.72	206830	195572	  1.06	2074	831	--  	
="600497"	驰宏锌锗	3.03	12.94	0.38	12.93	12.94	901301	310	0.00	          5.40	12.68	13.10	12.50	12.56	   105.84	1155523968	  1.81	铅锌	云南	4.78	12.82	436551	464750	  0.94	10	214	--  	
="002563"	森马服饰	2.98	39.70	1.15	39.60	39.70	24361	121	0.25	          3.48	38.55	40.40	38.41	38.55	    29.72	96696328	  2.16	服饰	浙江	5.16	39.69	10440	13921	  0.75	33	439	--  	
="002688"	金河生物	2.94	17.48	0.50	17.48	17.49	69797	409	-0.05	          6.43	17.05	17.75	16.98	16.98	    45.98	121684048	  1.23	化学制药	内蒙	4.53	17.43	32984	36812	  0.90	604	71	--  	
="600750"	江中药业	2.87	21.16	0.59	21.16	21.17	90931	7	0.09	          3.03	20.59	21.25	20.59	20.57	    30.67	191127024	  1.32	中成药	江西	3.21	21.02	44199	46731	  0.95	109	102	--  	
="600795"	国电电力	2.87	3.23	0.09	3.22	3.23	5208751	496	0.00	          3.38	3.14	3.26	3.10	3.14	     8.16	1652066432	  1.29	火力发电	辽宁	5.10	3.17	2182872	3025878	  0.72	30567	2843	--  	
="600875"	东方电气	2.86	17.65	0.49	17.65	17.66	541848	39	-0.05	          3.26	17.14	17.88	16.81	17.16	    24.35	940247616	  1.63	电气设备	四川	6.24	17.35	261884	279963	  0.94	321	10	--  	
="000159"	国际实业	2.84	11.24	0.31	11.24	11.25	430998	4572	0.08	          8.96	10.85	11.30	10.71	10.93	    62.52	479374240	  1.84	石油贸易	新疆	5.40	11.12	196596	234401	  0.84	2887	3363	--  	
="000752"	西藏发展	2.54	14.96	0.37	14.96	14.97	175793	1677	0.00	          6.67	14.67	15.07	14.40	14.59	   218.12	261198768	  1.89	啤酒	西藏	4.59	14.86	69740	106052	  0.66	230	392	--  	
="002685"	华东重机	2.45	14.61	0.35	14.61	14.62	77546	832	0.00	          7.79	14.38	14.77	14.21	14.26	   466.67	112664720	  0.62	工程机械	江苏	3.93	14.53	36488	41058	  0.89	152	3	--  	
="600009"	上海机场	2.43	18.13	0.43	18.13	18.14	283085	117	0.22	          2.59	17.60	18.19	17.60	17.70	    16.60	506392352	  0.94	机场	上海	3.33	17.89	118312	164773	  0.72	191	266	--  	
="600033"	福建高速	2.40	3.41	0.08	3.40	3.41	1001734	33	0.29	          3.65	3.33	3.47	3.30	3.33	    14.06	340048480	  1.22	路桥	福建	5.11	3.39	421946	579787	  0.73	2908	14551	--  	
="600005"	武钢股份	2.31	3.10	0.07	3.09	3.10	1972133	70	0.32	          1.95	3.02	3.11	2.99	3.03	    30.46	601731328	  0.91	普钢	湖北	3.96	3.05	964660	1007473	  0.96	2066	29038	--  	
="600802"	福建水泥	2.20	8.81	0.19	8.81	8.82	243474	105	0.11	          6.38	8.60	8.89	8.48	8.62	--  	212697248	  1.44	水泥	福建	4.76	8.74	103295	140178	  0.74	94	661	--  	
="002294"	信立泰	2.20	37.15	0.80	37.14	37.15	69679	366	0.05	          2.43	36.45	37.60	36.45	36.35	    24.24	259100656	  1.23	化学制药	深圳	3.16	37.18	30971	38707	  0.80	47	36	--  	
="601058"	赛轮股份	2.14	18.58	0.39	18.68	18.69	54284	5	0.43	          1.44	18.27	18.90	18.02	18.19	    24.50	100760528	  1.32	汽车配件	山东	4.84	18.56	24484	29800	  0.82	33	233	--  	
="000993"	闽东电力	2.13	10.09	0.21	10.09	10.10	74353	278	0.00	          1.99	9.92	10.30	9.82	9.88	    32.01	75033488	  1.27	水力发电	福建	4.86	10.09	38994	35358	  1.10	196	259	--  	
="000539"	粤电力Ａ	2.10	6.33	0.13	6.32	6.33	349034	8551	0.00	          1.64	6.21	6.38	6.15	6.20	     8.23	218045600	  1.29	火力发电	广东	3.71	6.25	178495	170538	  1.05	1266	276	--  	
="600639"	浦东金桥	2.04	16.97	0.34	16.94	16.96	257504	97	0.47	          3.92	16.50	16.98	16.30	16.63	    37.05	429396000	  1.03	园区开发	上海	4.09	16.68	141132	116371	  1.21	56	98	--  	
="600655"	豫园商城	2.00	12.22	0.24	12.21	12.22	236814	10	0.08	          1.65	11.98	12.24	11.90	11.98	    22.57	285845472	  1.04	百货	上海	2.84	12.07	102700	134113	  0.77	650	399	--  	
="300094"	国联水产	1.95	10.45	0.20	10.43	10.45	121854	1645	-0.66	          3.47	10.25	10.68	10.10	10.25	    92.98	127188160	  1.45	渔业	广东	5.66	10.44	41186	80668	  0.51	2	85	--  	
