代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="600705"	中航资本	10.01	25.06	2.28	25.06	--  	11827	6	0.00	          0.16	25.06	25.06	25.06	22.78	    23.70	29637234	  0.08	多元金融	黑龙江	0.00	25.06	11439	387	 29.56	440158	0	--  	      74464.21	
="600486"	扬农化工	9.99	31.26	2.84	31.26	--  	154250	2	0.00	          5.97	28.60	31.26	28.60	28.42	    19.09	469523456	  2.53	农药化肥	江苏	9.36	30.44	57299	96951	  0.59	13220	0	--  	      25824.91	
="600271"	航天信息	9.08	30.64	2.55	30.63	30.64	367901	25	0.45	          3.98	28.20	30.90	28.20	28.09	    23.50	1107428864	  2.23	电脑设备	北京	9.61	30.10	156173	211728	  0.74	53	137	--  	      92340.00	
="300262"	巴安水务	8.67	20.30	1.62	20.30	20.31	209901	2955	-0.44	         13.35	18.98	20.50	18.60	18.68	    64.74	414036256	  1.86	环境保护	上海	10.17	19.73	78217	131684	  0.59	1414	122	--  	      15727.58	
="600143"	金发科技	7.25	6.66	0.45	6.66	6.67	1343484	8	0.30	          5.25	6.28	6.83	6.28	6.21	    28.00	895205056	  1.97	塑料	广东	8.86	6.66	692770	650714	  1.06	1120	4100	--  	     256000.00	
="600583"	海油工程	7.23	10.68	0.72	10.69	10.70	2805421	480	0.00	          6.93	10.04	10.89	9.82	9.96	    13.66	2926308352	  0.97	石油开采	天津	10.74	10.43	1313607	1491813	  0.88	5500	1913	--  	     404901.41	
="600280"	中央商场	6.50	13.11	0.80	13.11	13.12	92368	130	0.00	          1.61	12.39	13.25	12.39	12.31	    11.42	119668344	  0.89	百货	江苏	6.99	12.96	36372	55996	  0.65	32	137	--  	      57416.73	
="600352"	浙江龙盛	5.46	19.89	1.03	19.88	19.89	1214263	147	-0.05	          7.95	19.26	20.10	18.85	18.86	    11.29	2388863232	  1.68	染料涂料	浙江	6.63	19.67	571645	642617	  0.89	253	1911	--  	     152786.59	
="300299"	富春通信	5.28	13.15	0.66	13.15	13.17	30271	498	0.99	          4.11	12.70	13.15	12.45	12.49	   137.68	38747216	  0.66	通信设备	福建	5.60	12.80	15331	14939	  1.03	68	80	--  	       7358.18	
="000830"	鲁西化工	5.19	5.67	0.28	5.67	5.68	936241	20931	0.35	          6.40	5.38	5.71	5.36	5.39	    20.62	519993088	  1.42	农药化肥	山东	6.49	5.55	424877	511364	  0.83	4486	6087	--  	     146398.02	
="603128"	华贸物流	5.15	14.50	0.71	14.48	14.49	75769	90	0.00	          4.74	13.90	14.54	13.90	13.79	    54.41	107890864	  0.56	仓储物流	上海	4.64	14.24	37195	38573	  0.96	55	95	--  	      16000.00	
="600873"	梅花生物	5.14	6.75	0.33	6.74	6.75	666162	30	-0.14	          2.14	6.39	6.90	6.31	6.42	    58.01	445266496	  1.58	食品	西藏	9.19	6.68	307583	358578	  0.86	457	45	--  	     310822.66	
="600277"	亿利能源	4.61	9.98	0.44	9.97	9.98	769653	176	0.91	          3.68	9.60	9.99	9.50	9.54	    41.21	754293696	  1.25	化工原料	内蒙	5.14	9.80	397014	372639	  1.07	54	6415	--  	     208958.95	
="000422"	湖北宜化	4.04	7.21	0.28	7.21	7.22	269038	4415	0.13	          3.08	6.94	7.22	6.94	6.93	   267.10	190473296	  0.64	农药化肥	湖北	4.04	7.08	137356	131681	  1.04	955	1574	--  	      87374.47	
