代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="000005"	世纪星源	10.13	3.37	0.31	3.37	--  	1243923	1274	          0.00	         13.61	3.12	3.37	3.08	3.06	--  	399694112	  3.96	区域地产	深圳	 9.48	
="600212"	江泉实业	10.13	4.24	0.39	4.24	--  	2720	2	          0.00	          0.05	4.24	4.24	4.24	3.85	--  	1153615	  0.06	综合类	山东	 0.00	
="000720"	新能泰山	10.11	4.79	0.44	4.79	--  	1735408	2488	          0.00	         20.10	4.43	4.79	4.16	4.35	    57.64	784282304	  2.02	火力发电	山东	14.48	
="600868"	梅雁吉祥	10.07	3.17	0.29	3.17	--  	1399037	10	          0.00	          7.37	2.86	3.17	2.83	2.88	   237.24	421134240	  2.02	水力发电	广东	11.81	
="600308"	华泰股份	10.06	3.72	0.34	3.72	--  	519160	4	          0.00	          4.45	3.41	3.72	3.41	3.38	    38.39	191206928	  2.49	造纸	山东	 9.17	
="601106"	中国一重	10.04	2.74	0.25	2.74	--  	3803034	5	          0.00	          5.82	2.57	2.74	2.52	2.49	--  	1014599424	  5.30	工程机械	黑龙江	 8.84	
="600760"	中航黑豹	10.04	11.62	1.06	11.62	--  	531938	2	          0.08	         15.42	10.69	11.62	10.56	10.56	--  	592046080	  1.86	汽车整车	山东	10.04	
="000017"	深中华A	10.04	9.32	0.85	9.32	--  	144997	509	          0.00	          4.79	8.48	9.32	8.38	8.47	  1370.65	132345224	  1.64	文教休闲	深圳	11.10	
="600060"	海信电器	10.04	12.50	1.14	12.50	--  	1463594	29	          0.00	         11.19	11.23	12.50	11.23	11.36	    13.34	1751802752	  1.99	家用电器	山东	11.18	
="002517"	泰亚股份	10.03	12.72	1.16	12.72	--  	179339	114	          0.00	         10.14	11.60	12.72	11.21	11.56	--  	214980784	  2.29	服饰	福建	13.06	
="300128"	锦富新材	10.03	16.78	1.53	16.78	--  	4297	15	          0.00	          0.11	16.78	16.78	16.78	15.25	    46.40	7210937	  0.05	元器件	江苏	 0.00	
="000099"	中信海直	10.03	11.85	1.08	11.85	--  	670291	1026	          0.00	         11.65	10.75	11.85	10.74	10.77	    40.71	777493376	  2.20	空运	深圳	10.31	
="002681"	奋达科技	10.02	30.20	2.75	30.20	--  	2016	1	          0.00	          0.27	30.20	30.20	30.20	27.45	    80.72	6089075	  0.02	家用电器	深圳	 0.00	
="002441"	众业达	10.02	20.87	1.90	20.87	--  	126155	1359	          0.00	          8.72	19.00	20.87	19.00	18.97	    20.17	255650416	  3.46	批发业	广东	 9.86	
="300161"	华中数控	10.01	16.37	1.49	16.37	--  	245269	3	          0.00	         15.95	15.01	16.37	14.88	14.88	   252.35	389590176	  5.77	机床制造	湖北	10.01	
="002074"	东源电器	10.01	10.66	0.97	10.66	--  	2983	4	          0.00	          0.13	10.66	10.66	10.66	9.69	    65.09	3180827	  0.08	电气设备	江苏	 0.00	
="600270"	外运发展	10.01	14.07	1.28	14.07	--  	272074	30	          0.00	          8.22	12.89	14.07	12.89	12.79	    31.34	373926592	  2.08	仓储物流	北京	 9.23	
="002183"	怡 亚 通	10.01	14.29	1.30	14.29	--  	987620	2222	          0.00	         10.02	13.05	14.29	13.00	12.99	    46.30	1360268928	  0.96	仓储物流	深圳	 9.93	
="002680"	黄海机械	10.01	28.69	2.61	28.69	--  	65518	397	          0.00	         27.31	25.95	28.69	25.83	26.08	   119.25	182398672	  4.55	工程机械	江苏	10.97	
="300220"	金运激光	10.01	31.00	2.82	31.00	--  	103962	20	          0.00	         15.93	28.10	31.00	28.00	28.18	   270.58	310897152	  3.94	元器件	湖北	10.65	
="300392"	腾信股份	10.01	50.02	4.55	50.02	--  	420	10	          0.00	          0.26	50.02	50.02	50.02	45.47	    41.83	2103341	0.00	互联网	北京	 0.00	
="600523"	贵航股份	10.01	18.58	1.69	18.58	--  	13276	10	          0.00	          0.46	18.58	18.58	18.58	16.89	    57.36	24667756	  0.10	汽车配件	贵州	 0.00	
="300396"	迪瑞医疗	10.01	56.62	5.15	56.62	--  	280	7	          0.00	          0.18	56.62	56.62	56.62	51.47	    39.21	1589097	  1.17	医疗保健	吉林	 0.00	
="603188"	亚邦股份	10.01	43.21	3.93	43.21	--  	453861	10	          0.00	         63.04	43.21	43.21	41.00	39.28	    15.77	1927586176	210.12	染料涂料	江苏	 5.63	
="002568"	百润股份	10.01	21.88	1.99	21.88	--  	887	1	          0.00	          0.08	21.88	21.88	21.88	19.89	    53.96	1941128	  0.11	食品	上海	 0.00	
="002548"	金新农	10.00	24.08	2.19	24.08	--  	120448	20	          0.00	          8.54	21.90	24.08	21.88	21.89	    57.17	279197920	  2.14	饲料	深圳	10.05	
="601608"	中信重工	10.00	4.40	0.40	4.40	--  	1170101	20	          0.00	         15.55	4.30	4.40	4.21	4.00	    22.55	510257792	  3.12	专用机械	河南	 4.75	
="600725"	云维股份	10.00	4.62	0.42	4.62	--  	321922	145	          0.00	          5.22	4.20	4.62	4.17	4.20	--  	142904256	  2.63	焦炭加工	云南	10.71	
="000797"	中国武夷	10.00	9.68	0.88	9.68	--  	264775	650	          0.00	          7.92	8.81	9.68	8.76	8.80	    45.50	251824096	  2.52	全国地产	福建	10.45	
="600485"	中创信测	10.00	38.28	3.48	38.28	--  	103184	210	          0.00	          7.45	34.70	38.28	34.34	34.80	   590.27	388258016	  2.04	通信设备	北京	11.32	
="000918"	嘉凯城	10.00	3.41	0.31	3.41	--  	418423	444	          0.00	          2.32	3.11	3.41	3.08	3.10	--  	138200848	  3.85	全国地产	湖南	10.65	
="000627"	天茂集团	10.00	3.52	0.32	3.52	--  	1152367	883	          0.00	          8.51	3.20	3.52	3.19	3.20	    13.46	394357920	  3.67	化工原料	湖北	10.31	
="300397"	天和防务	10.00	46.09	4.19	46.09	--  	266	5	          0.00	          0.09	46.09	46.09	46.09	41.90	--  	1228299	0.00	通信设备	陕西	 0.00	
="300284"	苏交科	10.00	10.34	0.94	10.34	--  	9457	2	          0.00	          0.35	10.34	10.34	10.34	9.40	    31.76	9779107	  0.21	建筑施工	江苏	 0.00	
="600850"	华东电脑	10.00	34.22	3.11	34.22	--  	87149	50	          0.00	          5.10	33.50	34.22	32.67	31.11	    61.52	296782784	  1.87	电脑设备	上海	 4.98	
="300192"	科斯伍德	10.00	23.77	2.16	23.77	--  	87521	1795	          0.29	         12.86	21.95	23.77	21.85	21.61	    70.12	202016304	  2.15	染料涂料	江苏	 8.88	
="300324"	旋极信息	9.99	38.63	3.51	38.63	--  	33432	6	          0.00	          5.10	35.09	38.63	35.08	35.12	--  	125388848	  0.92	软件服务	北京	10.11	
="600856"	长百集团	9.99	12.44	1.13	12.44	--  	166285	20	          0.00	          7.08	11.32	12.44	11.32	11.31	  1754.75	202767424	  2.27	百货	吉林	 9.90	
="300242"	明家科技	9.99	33.36	3.03	33.36	--  	40932	3	          0.00	         15.24	32.00	33.36	31.41	30.33	   830.95	135014480	  2.51	元器件	广东	 6.43	
="300395"	菲利华	9.99	36.67	3.33	36.67	--  	365	1	          0.00	          0.23	36.67	36.67	36.67	33.34	    37.88	1341755	0.00	玻璃	湖北	 0.00	
="002697"	红旗连锁	9.99	9.14	0.83	9.14	--  	639121	170	          0.00	         20.75	8.66	9.14	8.65	8.31	    34.42	575117824	  2.39	超市连锁	四川	 5.90	
="002377"	国创高新	9.99	8.59	0.78	8.59	--  	233203	6668	          0.00	          5.45	7.83	8.59	7.80	7.81	   958.27	194893088	  2.13	化工原料	湖北	10.12	
="300089"	长城集团	9.99	15.75	1.43	15.75	--  	2523	2	          0.00	          0.29	15.75	15.75	15.75	14.32	   142.76	3974513	  0.11	陶瓷	广东	 0.00	
="002076"	雪 莱 特	9.98	13.33	1.21	13.33	--  	10286	44	          0.00	          0.85	13.33	13.33	13.33	12.12	   115.39	13711731	  0.26	家用电器	广东	 0.00	
="300393"	中来股份	9.98	26.00	2.36	26.00	--  	84	3	          0.00	          0.04	26.00	26.00	26.00	23.64	    23.77	218400	  0.35	塑料	江苏	 0.00	
="600980"	北矿磁材	9.98	18.73	1.70	18.73	--  	178131	100	          1.07	         13.70	17.00	18.73	16.91	17.03	   658.12	322860480	  3.20	元器件	北京	10.69	
="300213"	佳讯飞鸿	9.98	18.07	1.64	18.07	--  	4233	10	          0.00	          0.35	18.07	18.07	18.07	16.43	    98.45	7650025	  0.10	通信设备	北京	 0.00	
="600446"	金证股份	9.98	38.13	3.46	38.10	38.11	87467	20	          0.02	          3.31	34.85	38.14	34.68	34.67	   113.61	322415584	  3.28	软件服务	深圳	 9.98	
="002729"	好利来	9.98	18.85	1.71	18.85	--  	89	5	          0.00	          0.05	18.85	18.85	18.85	17.14	    36.04	168708	  0.19	元器件	福建	 0.00	
="002276"	万马股份	9.98	9.26	0.84	9.26	--  	548763	635	          0.00	          6.80	8.43	9.26	8.41	8.42	    44.88	494445856	  4.36	电气设备	浙江	10.10	
="002605"	姚记扑克	9.98	18.19	1.65	18.19	--  	255028	194	          0.00	         10.02	16.99	18.19	16.98	16.54	    53.21	454985472	  4.60	文教休闲	上海	 7.32	
="002053"	云南盐化	9.98	13.23	1.20	13.23	--  	75162	30	          0.00	          4.04	13.23	13.23	12.88	12.03	   487.76	99067936	  2.29	化工原料	云南	 2.91	
="002406"	远东传动	9.97	11.91	1.08	11.91	--  	187281	70	          0.00	         10.60	11.55	11.91	11.20	10.83	    21.85	215573616	  2.79	汽车配件	河南	 6.56	
="600965"	福成五丰	9.97	6.62	0.60	6.62	--  	2238	6	          0.00	          0.06	6.62	6.62	6.62	6.02	    66.08	1482119	  0.03	农业综合	河北	 0.00	
="000617"	石油济柴	9.96	10.82	0.98	10.82	--  	108339	47	          0.00	          3.77	10.31	10.82	10.31	9.84	--  	116960320	  1.98	机械基件	山东	 5.18	
="600891"	秋林集团	9.96	7.62	0.69	7.62	--  	11876	10	          0.00	          0.37	7.62	7.62	7.62	6.93	    47.46	9050236	  0.84	百货	黑龙江	 0.00	
="600260"	凯乐科技	9.94	7.19	0.65	7.19	--  	2410	1	          0.00	          0.05	7.19	7.19	7.19	6.54	    23.83	1733380	  0.06	白酒	湖北	 0.00	
="600408"	安泰集团	9.91	3.55	0.32	3.55	--  	1047544	5	          0.00	         10.40	3.21	3.55	3.19	3.23	--  	367639488	  4.03	焦炭加工	山西	11.15	
="002196"	方正电机	9.70	17.99	1.59	17.99	18.00	54277	373	          0.00	          6.33	16.50	18.00	16.50	16.40	   505.06	94920952	  1.29	纺织机械	浙江	 9.15	
="300007"	汉威电子	9.52	29.46	2.56	29.46	29.47	45479	130	         -0.03	          5.51	27.00	29.59	27.00	26.90	   103.97	132396760	  2.06	电器仪表	河南	 9.63	
="002354"	科冕木业	8.58	56.67	4.48	--  	--  	18746	3	         -0.01	          2.87	52.19	57.20	52.19	52.19	--  	103562312	  1.63	家居用品	辽宁	 9.60	
="002488"	金固股份	8.44	19.40	1.51	19.39	19.40	50966	791	          0.31	          5.85	17.94	19.40	17.94	17.89	    46.92	96593328	  1.70	汽车配件	浙江	 8.16	
