代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本	
="002084"	海鸥卫浴	10.05	11.61	1.06	11.61	--  	441524	91	          0.00	         10.87	10.10	11.61	10.10	10.55	   136.02	487475840	  1.66	家居用品	广东	14.31	11.04	223655	217869	  1.03	16720	0	--  	      40605.57	
="002203"	海亮股份	10.05	9.31	0.85	9.31	--  	648379	322	          0.00	          4.44	8.50	9.31	8.26	8.46	    30.72	579933760	  3.01	铜	浙江	12.41	8.94	287369	361010	  0.80	49245	0	--  	     146151.59	
="000889"	茂业物流	10.05	11.94	1.09	11.94	--  	312607	231	          0.08	          9.23	10.85	11.94	10.73	10.85	    51.41	366688480	  3.64	批发业	河北	11.15	11.73	156547	156060	  1.00	9471	0	--  	      33852.69	
="600106"	重庆路桥	10.04	5.26	0.48	5.26	--  	828878	5	          0.00	          9.13	4.78	5.26	4.73	4.78	    18.48	424398528	  5.40	路桥	重庆	11.09	5.12	422030	406848	  1.04	26370	0	--  	      90774.20	
="000565"	渝三峡Ａ	10.04	15.13	1.38	15.12	15.13	113745	437	          0.00	          6.56	13.73	15.13	13.66	13.75	    47.21	167224000	  4.39	染料涂料	重庆	10.69	14.70	58205	55540	  1.05	132	1402	--  	      17343.68	
="601688"	华泰证券	10.03	13.93	1.27	13.93	--  	28774	10	          0.00	          0.05	13.93	13.93	13.93	12.66	    22.12	40083184	  0.02	证券	江苏	 0.00	13.93	24393	4381	  5.57	628637	0	--  	     560000.00	
="300099"	尤洛卡	10.03	15.47	1.41	15.47	--  	109228	396	          0.00	         10.08	14.13	15.47	14.09	14.06	   194.90	163288208	  4.06	电器仪表	山东	 9.82	14.95	49121	60107	  0.82	8754	0	--  	      10838.75	
="601028"	玉龙股份	10.03	19.64	1.79	19.64	--  	13280	9	          0.00	          0.71	19.64	19.64	19.64	17.85	    61.07	26082490	  0.29	钢加工	江苏	 0.00	19.64	12363	917	 13.48	89855	0	--  	      18687.50	
="002685"	华东重机	10.02	14.27	1.30	14.27	--  	154056	1	          0.00	         15.48	13.80	14.27	13.50	12.97	   455.81	216653376	  3.15	工程机械	江苏	 5.94	14.06	113010	41046	  2.75	54227	0	--  	       9950.00	
="603011"	合锻股份	10.02	21.19	1.93	21.19	--  	9534	10	          0.00	          2.12	21.19	21.19	21.19	19.26	   142.49	20203456	  3.31	机床制造	安徽	 0.00	21.19	7858	1676	  4.69	83949	0	--  	       4500.00	
="600505"	西昌电力	10.02	11.75	1.07	11.75	--  	159375	6	          0.00	          4.37	10.70	11.75	10.70	10.68	    64.18	186197088	  6.04	水力发电	四川	 9.83	11.68	99515	59860	  1.66	2162	0	--  	      36456.75	
="600279"	重庆港九	10.02	13.51	1.23	13.51	--  	183871	13	          0.00	          5.37	12.18	13.51	12.01	12.28	    63.68	238177888	  2.90	港口	重庆	12.21	12.95	103181	80690	  1.28	23091	0	--  	      34209.23	
="300275"	梅安森	10.02	21.09	1.92	21.09	--  	149767	101	          0.00	         14.26	20.50	21.09	20.11	19.17	    75.30	312524544	  5.29	软件服务	重庆	 5.11	20.87	80640	69127	  1.17	14546	0	--  	      10505.59	
="600806"	昆明机床	10.02	7.14	0.65	7.14	--  	569969	10	          0.00	         14.61	7.14	7.14	7.02	6.49	--  	406731072	  6.37	机床制造	云南	 1.85	7.14	456844	113125	  4.04	16300	0	--  	      39018.62	
="300033"	同花顺	10.01	44.40	4.04	44.40	--  	94053	18	          0.00	          7.23	39.36	44.40	39.05	40.36	   417.03	409350528	  0.95	软件服务	浙江	13.26	43.52	54186	39867	  1.36	7343	0	--  	      13013.05	
="600391"	成发科技	10.00	26.50	2.41	26.50	--  	404606	5	          0.00	         12.26	24.31	26.50	24.15	24.09	   247.66	1052916736	  4.63	航空航天	四川	 9.76	26.02	194120	210486	  0.92	19318	0	--  	      33012.94	
="300376"	易事特	10.00	39.04	3.55	39.04	--  	90962	247	          0.00	         20.31	35.55	39.04	35.55	35.49	    42.27	350300224	  5.74	电气设备	广东	 9.83	38.51	46398	44564	  1.04	4431	0	--  	       4478.00	
="000939"	凯迪电力	10.00	8.25	0.75	8.25	--  	10876	7	          0.00	          0.12	8.25	8.25	8.25	7.50	    44.62	8973244	  0.05	火力发电	湖北	 0.00	8.25	10580	296	 35.74	251328	0	--  	      94032.74	
="300369"	绿盟科技	10.00	72.39	6.58	72.39	--  	40457	47	          0.00	         11.96	66.30	72.39	65.80	65.81	--  	287751872	  3.92	软件服务	北京	10.01	71.12	22310	18147	  1.23	263	0	--  	       3384.00	
="300377"	赢时胜	10.00	52.70	4.79	52.70	--  	36455	2	          0.00	         13.16	50.18	52.70	48.90	47.91	   490.95	187574624	  0.76	软件服务	深圳	 7.93	51.45	25663	10792	  2.38	3160	0	--  	       2770.00	
="300293"	蓝英装备	9.99	20.91	1.90	20.91	--  	26540	2	          0.00	          3.93	20.91	20.91	20.91	19.01	    79.21	55496040	  0.46	专用机械	辽宁	 0.00	20.91	24099	2441	  9.87	42692	0	--  	       6750.00	
