代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	
="600678"	四川金顶	10.07	6.67	0.61	6.67	--  	1459	50	0.00	          0.04	6.67	6.67	6.67	6.06	--  	972860	  0.04	水泥	
="600792"	云煤能源	10.06	6.89	0.63	6.89	--  	5713	1	0.00	          0.06	6.89	6.89	6.89	6.26	   955.41	3936030	  0.09	焦炭加工	
="601158"	重庆水务	10.06	7.55	0.69	7.55	--  	915972	227	0.00	          1.91	6.89	7.55	6.87	6.86	    18.97	677255488	  2.51	水务	
="002500"	山西证券	10.03	13.38	1.22	13.38	--  	1473782	13634	0.00	          5.92	12.00	13.38	11.92	12.16	    68.08	1887486464	  1.11	证券	
="300402"	宝色股份	10.02	24.37	2.22	24.37	--  	85331	322	0.00	         16.73	22.00	24.37	21.90	22.15	   114.39	203663792	  1.21	专用机械	
="601788"	光大证券	10.02	21.41	1.95	21.41	--  	1575479	4	0.00	          4.61	19.18	21.41	19.00	19.46	    61.08	3228342016	  1.10	证券	
="300360"	炬华科技	10.02	27.34	2.49	27.34	--  	122033	835	0.00	         20.46	24.85	27.34	24.58	24.85	    33.95	323539264	  1.91	电器仪表	
="000728"	国元证券	10.02	23.61	2.15	23.61	--  	1213276	515	0.00	          6.18	21.20	23.61	21.11	21.46	    36.89	2783599616	  1.51	证券	
="600455"	博通股份	10.02	25.26	2.30	25.26	--  	14687	19	0.00	          2.95	25.26	25.26	25.26	22.96	   390.18	37098300	  0.82	软件服务	
="300056"	三维丝	10.02	19.77	1.80	19.77	--  	949	10	0.00	          0.08	19.77	19.77	19.77	17.97	    70.83	1876232	  0.01	专用机械	
="002513"	蓝丰生化	10.02	13.51	1.23	13.51	--  	112027	1565	0.07	          5.26	12.27	13.51	12.22	12.28	--  	145721328	  2.62	农药化肥	
="600016"	民生银行	10.01	7.91	0.72	7.91	--  	14449643	40	0.00	          5.33	7.45	7.91	7.33	7.19	     5.49	11050961920	  1.92	银行	
="002612"	朗姿股份	10.01	26.59	2.42	26.59	--  	46262	6	0.00	          4.43	24.18	26.59	24.18	24.17	    45.29	121057408	  2.22	服饰	
="601199"	江南水务	10.01	19.67	1.79	19.67	--  	41038	106	0.00	          1.76	18.20	19.67	18.20	17.88	    29.36	79269568	  1.25	水务	
="600580"	卧龙电气	10.01	10.66	0.97	10.66	--  	374518	25	0.00	          5.45	9.71	10.66	9.71	9.69	    38.44	388850368	  2.11	电气设备	
="601901"	方正证券	10.01	10.88	0.99	10.88	--  	5037974	10	0.00	          8.26	9.70	10.88	9.61	9.89	    45.32	5302259200	  1.03	证券	
="002673"	西部证券	10.01	22.86	2.08	22.86	--  	491445	780	0.00	          7.15	20.53	22.86	20.36	20.78	    48.89	1085078272	  1.25	证券	
="300401"	花园生物	10.01	46.93	4.27	46.93	--  	42959	31	0.00	         18.92	42.54	46.93	42.54	42.66	   130.21	197462496	  1.21	食品	
="603088"	宁波精达	10.01	51.56	4.69	51.56	--  	41948	5	0.00	         20.97	51.00	51.56	49.70	46.87	   125.03	213860816	  2.36	专用机械	
="002676"	顺威股份	10.01	20.56	1.87	20.56	--  	36413	107	0.00	          8.52	18.74	20.56	18.61	18.69	    62.63	71827368	  2.02	塑料	
="300400"	劲拓股份	10.01	42.66	3.88	42.66	--  	27456	77	0.00	         13.73	39.10	42.66	39.10	38.78	   107.95	114305728	  0.91	元器件	
="601015"	陕西黑猫	10.00	22.54	2.05	22.54	--  	335829	10	0.00	         27.99	21.00	22.54	21.00	20.49	    78.99	737176960	  1.29	焦炭加工	
="300266"	兴源过滤	10.00	47.50	4.32	47.50	--  	21223	1	0.00	          4.10	43.29	47.50	43.20	43.18	   150.93	99604520	  1.52	机械基件	
="600599"	熊猫烟花	10.00	30.24	2.75	30.24	--  	160346	10	0.00	         12.73	27.51	30.24	27.08	27.49	   163.38	464032416	  1.03	日用化工	
="300213"	佳讯飞鸿	10.00	29.80	2.71	29.80	--  	44800	41	0.00	          3.72	26.70	29.80	26.56	27.09	   112.21	129780336	  0.80	通信设备	
="300036"	超图软件	10.00	30.79	2.80	30.79	--  	50473	1041	0.00	          5.64	28.02	30.79	28.02	27.99	--  	152115104	  0.97	软件服务	
="600536"	中国软件	10.00	31.89	2.90	31.89	--  	395942	7	0.00	          8.77	28.60	31.89	28.50	28.99	--  	1235617280	  2.64	软件服务	
="300212"	易华录	10.00	33.98	3.09	33.98	--  	154569	20	0.00	          5.20	33.96	33.98	31.50	30.89	   149.19	524091104	  2.60	软件服务	
="603011"	合锻股份	10.00	31.02	2.82	31.02	--  	3903	10	0.00	          0.87	31.02	31.02	31.02	28.20	   208.60	12106951	  0.46	机床制造	
="601555"	东吴证券	10.00	17.82	1.62	17.82	--  	1591778	91	0.67	         13.03	16.02	17.82	15.81	16.20	    46.69	2723588352	  1.49	证券	
="600559"	老白干酒	10.00	28.82	2.62	28.82	--  	4339	4	0.00	          0.31	28.82	28.82	28.82	26.20	    66.52	12503903	  0.15	白酒	
="600163"	福建南纸	10.00	4.18	0.38	4.18	--  	1975	10	0.00	          0.03	4.18	4.18	4.18	3.80	--  	825629	  0.02	造纸	
="300399"	京天利	10.00	72.05	6.55	72.05	--  	36479	241	0.00	         18.24	66.94	72.05	66.30	65.50	   159.44	255361296	  0.79	互联网	
