代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
="603518"	N维格	44.01	28.83	8.81	28.83	--  	480	10	0.00	          0.13	24.02	28.83	24.02	20.02	    36.07	1379992	0.00	服饰	江苏	24.03	28.75	476	4	119.00	81756	0	--  	
="300407"	N凯发	44.00	32.17	9.83	32.17	--  	199	5	0.00	          0.12	26.81	32.17	26.81	22.34	    46.61	635622	0.00	电气设备	天津	23.99	31.94	167	32	  5.22	81698	0	--  	
="002733"	N雄韬	44.00	18.95	5.79	18.95	--  	471	5	0.00	          0.14	15.79	18.95	15.79	13.16	    26.93	892071	0.00	电气设备	深圳	24.01	18.94	397	74	  5.36	203341	0	--  	
="300408"	N三环	43.99	42.32	12.93	42.32	--  	583	20	0.00	          0.13	35.27	42.32	35.27	29.39	    30.01	2455276	0.00	元器件	广东	23.99	42.11	470	113	  4.16	77313	0	--  	
="300409"	N道氏	43.99	24.91	7.61	24.91	--  	139	5	0.00	          0.09	20.76	24.91	20.76	17.30	    20.32	344799	0.00	矿物制品	广东	23.99	24.81	126	13	  9.69	100691	0	--  	
="002735"	N王子	43.99	13.29	4.06	13.29	--  	360	5	0.00	          0.18	11.08	13.29	11.08	9.23	    37.50	475366	0.00	塑料	深圳	23.94	13.20	296	64	  4.63	426505	0	--  	
="600246"	万通地产	10.07	4.59	0.42	4.59	--  	270573	15	0.00	          2.22	4.20	4.59	4.19	4.17	    45.55	122475488	  1.30	区域地产	北京	9.59	4.53	164037	106536	  1.54	218403	0	--  	
="600163"	福建南纸	10.05	4.60	0.42	4.60	--  	3885	64	0.00	          0.05	4.60	4.60	4.60	4.18	--  	1787026	  0.05	造纸	福建	0.00	4.60	3046	838	  3.63	294610	0	--  	
="000060"	中金岭南	10.05	9.20	0.84	9.20	--  	1387544	1162	0.00	          6.73	8.32	9.20	8.30	8.36	    34.71	1252901248	  2.78	铅锌	深圳	10.77	9.03	773499	614044	  1.26	76121	0	--  	
="600678"	四川金顶	10.04	7.34	0.67	7.34	--  	2144	5	0.00	          0.06	7.34	7.34	7.34	6.67	--  	1573711	  0.07	水泥	四川	0.00	7.34	2052	92	 22.30	242061	0	--  	
="600531"	豫光金铅	10.04	15.02	1.37	15.02	--  	172545	95	0.00	          5.84	13.50	15.02	13.43	13.65	   159.52	250041408	  1.70	铅锌	河南	11.65	14.49	89283	83262	  1.07	103060	0	--  	
="601168"	西部矿业	10.03	8.34	0.76	8.34	--  	2079090	90	0.00	          8.72	7.58	8.34	7.53	7.58	    58.38	1687989120	  2.99	铜	青海	10.69	8.12	994078	1085012	  0.92	64637	0	--  	
="000562"	宏源证券	10.03	21.07	1.92	21.07	--  	1843516	1578	0.00	          5.24	21.07	21.07	20.71	19.15	    50.32	3882075392	  1.27	证券	新疆	1.88	21.06	1491063	352452	  4.23	194076	0	--  	
="002468"	艾迪西	10.02	13.83	1.26	13.83	--  	46986	10	0.00	          1.42	13.83	13.83	13.83	12.57	   271.17	64982248	  2.28	其他建材	浙江	0.00	13.83	45353	1633	 27.77	39211	0	--  	
="000758"	中色股份	10.02	13.73	1.25	13.73	--  	989695	388	0.00	         10.98	12.60	13.73	12.50	12.48	   144.01	1328788224	  3.07	铅锌	北京	9.86	13.43	522169	467525	  1.12	43197	0	--  	
="002084"	海鸥卫浴	10.02	14.06	1.28	14.06	--  	353906	267	0.00	          8.72	12.95	14.06	12.53	12.78	   164.72	471537600	  1.17	家居用品	广东	11.97	13.32	177656	176249	  1.01	13799	0	--  	
="300056"	三维丝	10.02	21.75	1.98	21.75	--  	4443	1	0.00	          0.39	21.75	21.75	21.75	19.77	    77.92	9664482	  0.06	专用机械	福建	0.00	21.75	3615	828	  4.37	35111	0	--  	
="600792"	云煤能源	10.01	7.58	0.69	7.58	--  	41882	2	0.00	          0.44	7.58	7.58	7.58	6.89	  1051.08	31746192	  0.69	焦炭加工	云南	0.00	7.58	30152	11729	  2.57	127494	0	--  	
="600362"	江西铜业	10.01	17.25	1.57	17.25	--  	1294849	27	0.00	          6.24	15.70	17.25	15.60	15.68	    19.27	2184291840	  2.09	铜	江西	10.52	16.87	697069	597779	  1.17	23901	0	--  	
="002496"	辉丰股份	10.01	27.36	2.49	27.36	--  	140950	10	0.00	          7.64	25.05	27.36	25.05	24.87	    41.77	379229600	  0.90	农药化肥	江苏	9.29	26.91	79157	61792	  1.28	7651	0	--  	
="000835"	四川圣达	10.01	9.23	0.84	9.23	--  	5169	51	0.00	          0.17	9.23	9.23	9.23	8.39	   119.17	4770978	  0.15	软件服务	四川	0.00	9.23	4886	282	 17.33	171514	0	--  	
="600061"	中纺投资	10.01	20.22	1.84	20.22	--  	31909	51	0.00	          0.74	20.22	20.22	20.22	18.38	--  	64520928	  0.57	化纤	上海	0.00	20.22	24021	7888	  3.05	208775	0	--  	
="300400"	劲拓股份	10.01	46.93	4.27	46.93	--  	92138	55	0.00	         46.07	46.10	46.93	44.70	42.66	   118.75	427495232	  3.02	元器件	深圳	5.23	46.40	52062	40076	  1.30	3553	0	--  	
="002378"	章源钨业	10.01	24.29	2.21	24.29	--  	131413	131	0.00	          3.07	22.04	24.29	21.71	22.08	   139.99	313352640	  3.28	小金属	江西	11.68	23.84	89670	41743	  2.15	31120	0	--  	
="000878"	云南铜业	10.01	13.41	1.22	13.41	--  	508362	863	0.00	          3.59	12.20	13.41	12.05	12.19	   153.46	661818880	  1.27	铜	云南	11.16	13.02	291880	216482	  1.35	51584	0	--  	
="600259"	广晟有色	10.01	53.10	4.83	53.10	--  	256297	5	0.00	         10.28	48.28	53.10	47.80	48.27	  1162.80	1336365440	  3.14	小金属	海南	10.98	52.14	129931	126366	  1.03	10291	0	--  	
="300155"	安居宝	10.00	24.08	2.19	24.08	--  	158723	112	0.00	          8.93	21.51	24.08	20.80	21.89	    93.92	352178944	  1.00	元器件	广东	14.98	22.19	80021	78702	  1.02	23216	0	--  	
="600685"	广船国际	10.00	31.01	2.82	31.01	--  	303313	9	0.00	          6.92	28.25	31.01	28.19	28.19	--  	930162368	  2.74	船舶	广东	10.00	30.67	137883	165429	  0.83	14255	0	--  	
="603019"	中科曙光	10.00	46.63	4.24	46.63	--  	2542	2	0.00	          0.34	46.63	46.63	46.63	42.39	   354.30	11853579	  0.81	电脑设备	天津	0.00	46.63	2211	331	  6.68	104647	0	--  	
="600226"	升华拜克	10.00	9.57	0.87	9.57	--  	340054	4	0.00	          8.39	8.73	9.57	8.60	8.70	    30.08	312852928	  3.01	农药化肥	浙江	11.15	9.20	148179	191875	  0.77	1058	0	--  	
="300288"	朗玛信息	10.00	177.10	16.10	177.10	--  	10356	3	0.00	          3.86	161.01	177.10	153.31	161.00	   485.03	169779312	  1.44	软件服务	贵州	14.78	163.95	4900	5455	  0.90	1895	0	--  	
="300263"	隆华节能	10.00	20.79	1.89	20.79	--  	126399	118	0.00	          7.13	18.90	20.79	17.63	18.90	    72.73	243749632	  1.70	专用机械	河南	16.72	19.28	56298	70100	  0.80	2273	0	--  	
="002555"	顺荣股份	10.00	38.50	3.50	38.50	--  	1535	9	0.00	          0.26	38.50	38.50	38.50	35.00	  1186.12	5910058	  0.08	汽车配件	安徽	0.00	38.50	1491	44	 33.89	40392	0	--  	
="300146"	汤臣倍健	10.00	30.15	2.74	30.15	--  	305012	14206	0.49	          9.27	27.57	30.15	27.40	27.41	    31.08	881045376	  2.93	食品	广东	10.03	28.89	133817	171194	  0.78	5647	0	--  	
="603011"	合锻股份	9.99	34.12	3.10	34.12	--  	6186	5	0.00	          1.37	34.12	34.12	34.12	31.02	   229.44	21106460	  0.76	机床制造	安徽	0.00	34.12	5910	275	 21.49	52695	0	--  	
="600559"	老白干酒	9.99	31.70	2.88	31.70	--  	4236	6	0.00	          0.30	31.70	31.70	31.70	28.82	    73.17	13427549	  0.21	白酒	河北	0.00	31.70	3488	747	  4.67	74129	0	--  	
="002428"	云南锗业	9.99	16.07	1.46	16.07	--  	822884	242	0.00	         13.27	14.68	16.07	14.52	14.61	    74.54	1287542272	  3.06	小金属	云南	10.61	15.65	382719	440164	  0.87	40302	0	--  	
="300162"	雷曼光电	9.99	54.71	4.97	54.71	--  	47318	22	0.00	          5.72	51.01	54.71	48.00	49.74	   218.79	244003648	  1.10	元器件	深圳	13.49	51.57	27526	19792	  1.39	806	0	--  	
="000630"	铜陵有色	9.99	13.10	1.19	13.10	--  	388646	864	0.00	          2.73	11.93	13.10	11.88	11.91	    62.26	494858368	  1.18	铜	安徽	10.24	12.73	275348	113298	  2.43	148210	0	--  	
="300299"	富春通信	9.99	12.22	1.11	12.22	--  	373	5	0.00	          0.05	12.22	12.22	12.22	11.11	   127.94	456356	  0.01	通信设备	福建	0.00	12.22	365	8	 45.63	84712	0	--  	
="300022"	吉峰农机	9.99	9.47	0.86	9.47	--  	280328	308	0.00	          8.88	8.75	9.47	8.60	8.61	--  	253096992	  1.61	其他商业	四川	10.10	9.03	149772	130555	  1.15	23963	0	--  	
="000931"	中 关 村	9.99	8.92	0.81	8.92	--  	518827	1135	0.00	         10.24	8.18	8.92	8.09	8.11	--  	440178016	  1.70	区域地产	北京	10.23	8.48	292167	226660	  1.29	90799	0	--  	
="600888"	新疆众和	9.99	8.15	0.74	8.15	--  	458643	23	0.00	          7.15	7.41	8.15	7.38	7.41	--  	362157920	  3.31	铝	新疆	10.39	7.90	217804	240838	  0.90	13395	0	--  	
="600497"	驰宏锌锗	9.98	12.56	1.14	12.56	--  	1045854	78	0.31	          6.27	11.42	12.56	11.33	11.42	   102.73	1270016512	  2.69	铅锌	云南	10.77	12.14	470185	575669	  0.82	35744	0	--  	
="603166"	福达股份	9.98	12.23	1.11	12.23	--  	291	5	0.00	          0.07	12.23	12.23	12.23	11.12	    52.59	355893	  1.21	汽车配件	广西	0.00	12.23	256	35	  7.31	358613	0	--  	
="002495"	佳隆股份	9.98	16.42	1.49	16.42	--  	5430	2	0.00	          0.36	16.42	16.42	16.42	14.93	   101.13	8915650	  0.12	食品	广东	0.00	16.42	4838	591	  8.19	167808	0	--  	
="600898"	三联商社	9.98	10.80	0.98	10.80	--  	218562	20	0.00	          8.66	9.87	10.80	9.60	9.82	   102.55	228566128	  3.13	电器连锁	山东	12.22	10.46	120971	97590	  1.24	11222	0	--  	
="300107"	建新股份	9.98	13.23	1.20	13.23	--  	167740	96	0.00	         10.04	12.08	13.23	12.08	12.03	    70.89	215341568	  4.48	化工原料	河北	9.56	12.84	77885	89854	  0.87	1362	0	--  	
="600695"	大江股份	9.97	8.05	0.73	8.05	--  	108431	10	0.00	          3.29	7.60	8.05	7.60	7.32	--  	86048768	  1.08	食品	上海	6.15	7.94	78065	30366	  2.57	34502	0	--  	
="603333"	明星电缆	9.97	6.40	0.58	6.40	--  	145517	10	0.00	          7.48	6.06	6.40	6.06	5.82	--  	92211488	  1.43	电气设备	四川	5.84	6.34	94681	50835	  1.86	235559	0	--  	
="000426"	兴业矿业	9.97	12.58	1.14	12.58	--  	363726	574	0.00	          7.90	11.44	12.58	11.33	11.44	    32.64	449477440	  2.77	小金属	内蒙	10.93	12.36	169466	194259	  0.87	26915	0	--  	
="000861"	海印股份	9.95	9.72	0.88	9.72	--  	424277	1936	0.00	          5.06	8.99	9.72	8.84	8.84	    66.16	393664320	  2.15	房产服务	广东	9.95	9.28	167935	256341	  0.66	3203	0	--  	
="000688"	建新矿业	9.95	9.06	0.82	9.06	--  	372891	1464	0.00	         12.59	8.09	9.06	8.09	8.24	    45.00	329901152	  2.37	铅锌	重庆	11.77	8.85	161872	211019	  0.77	4340	0	--  	
="600391"	成发科技	9.92	29.04	2.62	28.98	29.00	429280	261	-0.06	         13.00	26.51	29.06	25.80	26.42	   271.39	1175735040	  1.63	航空	四川	12.34	27.39	187645	241634	  0.78	21	537	--  	
="300027"	华谊兄弟	9.79	29.50	2.63	29.49	29.50	1220794	11700	0.40	         14.08	27.10	29.56	26.95	26.87	    60.19	3494397440	  3.21	影视音像	浙江	9.71	28.62	556915	663879	  0.84	1713	1120	--  	
="002522"	浙江众成	9.70	20.81	1.84	20.81	20.83	77729	1873	0.09	          3.48	19.00	20.85	19.00	18.97	   172.46	154488304	  1.45	塑料	浙江	9.75	19.88	31921	45807	  0.70	343	28	--  	
="600372"	中航电子	9.70	28.17	2.49	28.17	28.18	287871	131	2.21	          1.64	25.45	28.25	25.45	25.68	    99.47	761962624	  1.93	航空	江西	10.90	26.47	109439	178431	  0.61	46	1	--  	
="300279"	和晶科技	9.22	31.88	2.69	31.88	31.89	60274	912	0.44	         10.61	28.80	32.10	28.04	29.19	   156.59	182271232	  0.90	元器件	江苏	13.91	30.24	24126	36148	  0.67	154	99	--  	
="600736"	苏州高新	9.03	6.28	0.52	6.28	6.29	1140876	185	0.64	         10.78	5.84	6.32	5.78	5.76	    48.49	689643904	  1.82	园区开发	江苏	9.37	6.04	522010	618865	  0.84	504	3649	--  	
="600111"	包钢稀土	9.03	25.00	2.07	25.02	25.03	2159697	30	0.60	         14.60	22.94	25.22	22.76	22.93	   114.43	5263052800	  2.99	小金属	内蒙	10.73	24.37	1060276	1099420	  0.96	502	388	--  	
="300109"	新开源	8.94	31.82	2.61	31.82	31.85	85853	629	0.41	         10.68	29.20	32.00	28.47	29.21	   117.53	259824704	  1.17	化工原料	河南	12.08	30.26	34250	51602	  0.66	67	7	--  	
="600006"	东风汽车	8.86	6.02	0.49	6.02	6.03	704955	265	1.17	          3.52	5.59	6.03	5.52	5.53	    48.60	406863584	  2.48	汽车整车	湖北	9.22	5.77	302426	402528	  0.75	1292	926	--  	
="000693"	华泽钴镍	8.79	27.85	2.25	27.84	27.85	176944	3988	0.10	         24.59	25.32	28.00	24.56	25.60	    88.20	471531424	  1.16	小金属	四川	13.44	26.65	82013	94931	  0.86	37	348	--  	
="002517"	泰亚股份	8.61	16.52	1.31	16.50	16.52	71562	2087	0.24	          4.05	15.28	16.73	15.21	15.21	--  	115545144	  2.13	服饰	福建	9.99	16.15	28974	42588	  0.68	695	104	--  	
="600082"	海泰发展	8.61	7.82	0.62	7.81	7.82	638133	61	0.51	         10.13	7.35	7.92	7.16	7.20	    69.17	480555712	  1.98	园区开发	天津	10.56	7.53	304246	333887	  0.91	126	347	--  	
="300291"	华录百纳	8.60	32.08	2.54	32.08	32.09	67623	816	0.09	          4.66	29.60	32.36	29.28	29.54	   177.18	207994464	  2.20	影视音像	北京	10.43	30.76	31703	35920	  0.88	143	3	--  	
="000831"	五矿稀土	8.60	26.65	2.11	26.65	26.66	516082	12226	2.22	          6.93	24.55	26.95	24.19	24.54	--  	1340990208	  2.98	小金属	山西	11.25	25.98	205799	310282	  0.66	752	239	--  	
="600645"	中源协和	8.54	39.51	3.11	39.47	39.48	177693	64	1.15	          5.47	36.96	39.88	35.68	36.40	   205.73	670317568	  1.42	生物制药	天津	11.54	37.72	76735	100958	  0.76	88	4	--  	
="601788"	光大证券	8.50	23.23	1.82	23.20	23.30	2224136	681	2.51	          6.51	22.20	23.55	21.68	21.41	    66.27	5060396544	  1.41	证券	上海	8.73	22.75	1133502	1090634	  1.04	63	57	--  	
="300133"	华策影视	8.30	30.14	2.31	30.14	30.15	196800	2342	0.50	          4.60	28.15	30.16	27.90	27.83	    50.07	572416256	  2.67	影视音像	浙江	8.12	29.09	89351	107449	  0.83	1180	900	--  	
="600811"	东方集团	8.26	9.17	0.70	9.18	9.19	1961252	2243	2.45	         11.77	8.66	9.20	8.50	8.47	    10.16	1729093248	  1.96	综合类	黑龙江	8.26	8.82	952248	1009003	  0.94	365	30	--  	
="300070"	碧水源	8.26	34.20	2.61	34.19	34.20	453254	2182	-0.86	          7.01	32.00	34.59	31.20	31.59	   164.37	1477964544	  2.63	环境保护	北京	10.73	32.61	214761	238492	  0.90	4	1343	--  	
="600595"	中孚实业	8.14	6.51	0.49	6.51	6.52	631917	196	0.15	          4.17	6.02	6.62	5.95	6.02	    51.96	403169760	  3.39	铝	河南	11.13	6.38	271950	359966	  0.76	9	1629	--  	
="000409"	山东地矿	8.08	11.64	0.87	11.64	11.65	239452	2738	0.86	          8.11	10.71	11.85	10.65	10.77	   269.58	274379168	  3.90	普钢	山东	11.14	11.46	110100	129351	  0.85	269	1055	--  	
="300034"	钢研高纳	8.06	23.33	1.74	23.33	23.34	118051	1734	0.17	          3.71	21.05	23.40	21.05	21.59	    71.75	264049824	  1.80	小金属	北京	10.88	22.37	50555	67496	  0.75	713	20	--  	
="002673"	西部证券	8.01	24.69	1.83	24.69	24.70	718381	5070	0.85	         10.45	23.60	25.15	23.02	22.86	    52.80	1752136704	  1.65	证券	陕西	9.32	24.39	351601	366780	  0.96	981	249	--  	
="000593"	大通燃气	7.95	9.37	0.69	9.36	9.37	237220	1554	0.64	         10.63	8.76	9.55	8.58	8.68	   253.01	215842704	  3.40	供气供热	四川	11.18	9.10	114293	122927	  0.93	3775	598	--  	
="000570"	苏常柴Ａ	7.92	10.08	0.74	10.07	10.08	271718	2230	0.00	          6.61	9.35	10.20	9.22	9.34	    83.14	263956320	  4.24	农用机械	江苏	10.49	9.71	121285	150433	  0.81	578	786	--  	
="300306"	远方光电	7.87	36.05	2.63	36.05	36.06	27997	362	0.36	          7.55	33.38	36.53	32.45	33.42	    53.23	96418792	  2.54	电器仪表	浙江	12.21	34.44	13721	14275	  0.96	43	18	--  	
="600008"	首创股份	7.78	9.28	0.67	9.27	9.28	1684211	718	0.21	          7.66	9.03	9.47	8.91	8.61	    69.42	1546262016	  3.72	环境保护	北京	6.50	9.18	808140	876071	  0.92	249	140	--  	
="603993"	洛阳钼业	7.76	9.72	0.70	9.73	9.74	584069	314	0.41	          2.97	8.93	9.92	8.73	9.02	    25.26	555614336	  1.31	小金属	河南	13.19	9.51	257980	326089	  0.79	48	814	--  	
="000029"	深深房Ａ	7.65	6.61	0.47	6.60	6.61	342100	1352	0.15	          3.84	6.15	6.65	6.15	6.14	    87.98	220674736	  3.31	区域地产	深圳	8.14	6.45	165073	177027	  0.93	634	748	--  	
="600208"	新湖中宝	7.63	6.77	0.48	6.75	6.76	2329445	125	-0.29	          3.72	6.31	6.92	6.31	6.29	    71.29	1589345920	  1.89	全国地产	浙江	9.70	6.82	1442087	887357	  1.63	650	95	--  	
="601901"	方正证券	7.63	11.71	0.83	11.69	11.70	6883915	857	1.03	         11.29	10.90	11.97	10.80	10.88	    48.78	7888616448	  1.40	证券	湖南	10.75	11.46	3174369	3709546	  0.86	797	59	--  	
="000960"	锡业股份	7.51	18.17	1.27	18.17	18.18	528722	2170	0.05	          4.59	16.96	18.41	16.81	16.90	    70.18	943880256	  2.61	小金属	云南	9.47	17.85	239844	288878	  0.83	1681	1258	--  	
="300172"	中电环保	7.49	24.24	1.69	24.23	24.24	188766	1727	-0.08	         18.46	23.80	24.49	23.05	22.55	    67.52	448267552	  2.80	环境保护	江苏	6.39	23.75	83346	105419	  0.79	178	258	--  	
="600280"	中央商场	7.49	13.20	0.92	13.19	13.20	265197	10	0.30	          4.62	12.51	13.51	12.50	12.28	    11.50	347063904	  2.53	百货	江苏	8.22	13.09	117919	147278	  0.80	64	644	--  	
="600432"	吉恩镍业	7.47	16.68	1.16	16.68	16.69	501123	453	0.54	          6.18	15.47	16.93	15.18	15.52	--  	820303872	  2.14	小金属	吉林	11.28	16.37	235206	265916	  0.88	734	568	--  	
="600392"	盛和资源	7.42	23.30	1.61	23.30	23.32	261776	34	-0.12	         16.72	21.67	23.86	21.57	21.69	   227.97	603070464	  2.16	小金属	山西	10.56	23.04	112819	148957	  0.76	148	22	--  	
="600158"	中体产业	7.37	16.03	1.10	16.01	16.06	732009	568	0.12	         11.13	14.92	16.20	14.81	14.93	   153.50	1136040960	  1.43	全国地产	天津	9.31	15.52	335184	396824	  0.84	1416	423	--  	
