代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="000881"	大连国际	10.06	9.19	0.84	9.19	--  	216758	1667	0.00	          7.04	8.33	9.19	8.31	8.35	    30.11	192892016	  3.67	综合类	辽宁	10.54	8.90	120267	96490	  1.25	77580	0	--  	      30796.41	
="000017"	深中华A	10.06	7.77	0.71	7.77	--  	106424	92	0.00	          3.51	7.25	7.77	7.20	7.06	   948.31	81363408	  3.10	文教休闲	深圳	8.07	7.65	60019	46404	  1.29	33775	0	--  	      30297.59	
="601299"	中国北车	10.05	10.40	0.95	10.40	--  	137249	83	0.00	          0.14	10.40	10.40	10.40	9.45	    24.16	142738976	  0.19	运输设备	北京	0.00	10.40	127728	9521	 13.42	1671453	0	--  	    1012608.38	
="600626"	申达股份	10.05	9.09	0.83	9.09	--  	800455	5	0.00	         11.27	8.60	9.09	8.59	8.26	    47.04	720241088	  6.18	纺织	上海	6.05	9.00	446520	353934	  1.26	33720	0	--  	      71024.28	
="000662"	索芙特	10.05	9.20	0.84	9.20	--  	6028	283	0.00	          0.21	9.20	9.20	9.20	8.36	--  	5545585	  0.76	日用化工	广西	0.00	9.20	5137	890	  5.77	55496	0	--  	      28798.58	
="601918"	国投新集	10.05	7.12	0.65	7.12	--  	2420930	38	0.00	          9.35	6.49	7.12	6.42	6.47	--  	1655475456	  1.56	煤炭开采	安徽	10.82	6.84	1300571	1120358	  1.16	351025	0	--  	     259054.17	
="002738"	中矿资源	10.03	17.56	1.60	17.56	--  	1164	5	0.00	          0.39	17.56	17.56	17.56	15.96	    48.25	2043984	  4.85	建筑施工	北京	0.00	17.56	1046	118	  8.86	49673	0	--  	       3000.00	
="002339"	积成电子	10.02	13.28	1.21	13.28	--  	100889	635	0.00	          3.55	12.69	13.28	12.51	12.07	    59.89	132929000	  1.82	软件服务	山东	6.38	13.18	74130	26758	  2.77	54197	0	--  	      28414.25	
="600822"	上海物贸	10.02	9.11	0.83	9.11	--  	340570	56	0.00	          8.60	8.41	9.11	8.41	8.28	  7775.89	306153696	  4.93	商贸代理	上海	8.45	8.99	206913	133657	  1.55	41397	0	--  	      39614.78	
="601216"	内蒙君正	10.02	12.63	1.15	12.63	--  	230717	200	0.00	          1.13	12.39	12.63	12.12	11.48	    32.43	287253824	  0.37	化工原料	内蒙	4.44	12.45	120338	110379	  1.09	182281	0	--  	     204800.00	
="300412"	迦南科技	10.02	28.67	2.61	28.67	--  	257	4	0.00	          0.19	28.67	28.67	28.67	26.06	    33.27	736819	0.00	医疗保健	浙江	0.00	28.67	220	37	  5.95	19612	0	--  	       1340.00	
="600599"	熊猫烟花	10.01	26.37	2.40	26.37	--  	135313	5	0.00	         10.74	24.00	26.37	23.63	23.97	   142.47	342659296	  2.19	日用化工	湖南	11.43	25.32	61399	73913	  0.83	29966	0	--  	      12600.00	
="601766"	中国南车	10.01	9.34	0.85	9.34	--  	159374	11	0.00	          0.15	9.34	9.34	9.34	8.49	    24.33	148855424	  0.28	运输设备	北京	0.00	9.34	145568	13806	 10.54	3556320	0	--  	    1041689.63	
="300410"	正业科技	10.01	22.75	2.07	22.75	--  	455	16	0.00	          0.30	22.75	22.75	22.75	20.68	    39.81	1035125	0.00	电器仪表	广东	0.00	22.75	404	51	  7.92	12901	0	--  	       1500.00	
="300085"	银之杰	10.01	47.92	4.36	47.92	--  	81952	2155	0.00	          6.58	44.40	47.92	41.50	43.56	  2796.21	366606464	  1.58	软件服务	深圳	14.74	44.73	36914	45037	  0.82	194	0	--  	      12456.71	
="002651"	利君股份	10.01	24.95	2.27	24.95	--  	22491	1236	0.00	          1.69	22.68	24.95	22.46	22.68	    32.76	53659564	  1.19	专用机械	四川	10.98	23.86	10589	11901	  0.89	1264	0	--  	      13280.00	
="600419"	天润乳业	10.01	21.99	2.00	21.99	--  	61919	69	0.00	          7.72	19.91	21.99	19.75	19.99	   103.44	132195824	  6.62	乳制品	新疆	11.21	21.35	27765	34154	  0.81	10189	0	--  	       8021.08	
="002260"	伊 立 浦	10.00	22.54	2.05	22.54	--  	44496	68	0.00	          2.85	20.62	22.54	20.50	20.49	   264.39	97384136	  2.18	家用电器	广东	9.96	21.89	26161	18335	  1.43	3210	0	--  	      15600.00	
="601016"	节能风电	10.00	11.66	1.06	11.66	--  	382650	6	0.00	         21.52	10.55	11.66	10.43	10.60	   169.19	440772384	  5.57	新型电力	北京	11.60	11.52	220823	161827	  1.36	62499	0	--  	      17778.00	
="600576"	万好万家	10.00	17.71	1.61	17.71	--  	32350	10	1.25	          1.48	16.16	17.71	15.91	16.10	--  	54138820	  1.10	综合类	浙江	11.18	16.74	15143	17206	  0.88	3823	0	--  	      21809.31	
